day,date,home_team,result,away_team
Saturday,April 12,RBNY,0-1,Columbus
Saturday,April 19,RBNY,1-1,LA Galaxy
Saturday,April 26,Columbus,0-1,RBNY
Saturday,May 3,RBNY,2-1,Colorado
Saturday,May 10,RBNY,1-0,D.C. United
Saturday,May 17,Colorado,0-2,RBNY
Saturday,May 24,RBNY,2-1,FC Dallas
Saturday,May 31,Columbus,1-1,RBNY
Saturday,June 7,Sporting KC,2-1,RBNY
Saturday,June 14,RBNY,2-3,Chicago
Saturday,June 21,RBNY,1-0,LA Galaxy
Saturday,June 28,Chicago,2-1,RBNY
Wednesday,July 2,RBNY,4-4,San Jose
Saturday,July 5,D.C. United,2-3,RBNY
Saturday,July 12,New England,3-3,RBNY
Saturday,July 19,FC Dallas,1-2,RBNY
Saturday,July 26,Colorado,1-0,RBNY
Saturday,August 9,Chicago,1-1,RBNY
Wednesday,August 13,RBNY,0-0,Sporting KC
Saturday,August 16,LA Galaxy,1-1,RBNY
Sunday,August 24,RBNY,1-2,Chicago
Saturday,September 6,Sporting KC,1-2,RBNY
Saturday,September 13,RBNY,1-2,New England
Saturday,September 20,RBNY,1-0,Columbus
Thursday,September 25,RBNY,0-2,D.C. United
Sunday,September 28,D.C. United,1-1,RBNY
Sunday,October 5,San Jose,0-2,RBNY
Saturday,October 11,RBNY,0-0,FC Dallas
Saturday,October 18,RBNY,1-2,New England
Saturday,October 25,New England,5-2,RBNY
