day,date,home_team,result,away_team
Saturday,April 12,Sporting KC,3-2,DC
Saturday,April 19,DC,0-0,Chicago
Saturday,April 26,Colorado,1-1,DC
Saturday,May 3,DC,0-0,FC Dallas
Saturday,May 10,NY Red Bulls,1-0,DC
Saturday,May 17,DC,1-1,Sporting KC
Saturday,May 31,FC Dallas,3-2,DC
Saturday,June 7,DC,2-0,Chicago
Wednesday,June 11,Colorado,0-0,DC
Saturday,June 14,DC,3-0,Columbus
Saturday,June 21,DC,1-1,New England
Saturday,June 28,Columbus,3-0,DC
Wednesday,July 2,FC Dallas,1-3,DC
Saturday,July 5,DC,2-3,NY Red Bulls
Saturday,July 12,Chicago,1-2,DC
Saturday,July 19,DC,1-2,San Jose
Sunday,July 27,New England,2-4,DC
Saturday,August 9,DC,1-0,New England
Wednesday,August 13,DC,1-0,Colorado
Saturday,August 16,Chicago,3-1,DC
Sunday,August 24,San Jose,1-0,DC
Saturday,September 6,DC,2-1,LA Galaxy
Saturday,September 13,DC,2-1,San Jose
Saturday,September 20,LA Galaxy,1-0,DC
Thursday,September 25,NY Red Bulls,0-2,DC
Sunday,September 28,DC,1-1,NY Red Bulls
Saturday,October 4,Columbus,1-1,DC
Saturday,October 11,New England,1-0,DC
Sunday,October 19,DC,2-3,Columbus
Saturday,October 25,DC,1-1,Sporting KC
