round,home_team,home_score,away_score,away_team,notes
1,Leverkusen,1,0,Mannheim,(Schreier 37)
1,Uerdingen,0,2,Nürnberg,"(Eckstein 31, Stenzel 88)"
1,Bochum,1,2,M'gladbach,"(Leifeld 88 - H-G.Bruns 31, Rahn 39)[Aug 1]"
1,Dortmund,1,3,Bayern,"(Mill 52 - Rummenigge 35, Wohlfahrt 50, Lunde 78)"
1,Stuttgart,2,1,Homburg,"(Walter 44, Sigurvinsson 48 - Westerbeek 61)"
1,K'lautern,2,2,Frankfurt,"(Kohr 16, 45 - M.Schulz 71, Turowski 73)"
1,Karlsruher,1,1,1. FC Köln,(Harforth 11 p - Geilenkirchen 50)
1,Hannover,0,1,Werder,(Schaaf 17)
1,Hamburger,5,2,Schalke,"(Kastl 58, 61, 77, Hinz 64, Labbadia 88 - Bistram 69, Thon 84)"
2,Mannheim,1,0,Dortmund,(Klotz 74)[Aug 7]
2,1. FC Köln,2,1,K'lautern,"(T.Allofs 37, Janßen 87 p - Kohr 68)(sent off: Kohr (Köln, 86))"
2,Frankfurt,0,1,Bochum,(Leifeld 54)[Aug 8]
2,Werder,2,0,Karlsruher,"(Ordenewitz 36, Meier 85)"
2,M'gladbach,2,1,Uerdingen,"(Criens 52, Frontzeck 80 - Mathy 31)"
2,Nürnberg,0,0,Stuttgart,
2,Homburg,1,1,Leverkusen,(W.Schäfer 27 - de Keyser 75)
2,Bayern,6,0,Hamburger,"(Matthäus 25, 87, J.Wegmann 45, 84, Rummenigge 54,Wohlfahrt 78)"
2,Schalke,0,2,Hannover,"(Drews 47, Dierßen 65)"
3,Dortmund,2,0,Homburg,"(Dickel 21, 27)"
3,Uerdingen,3,0,Frankfurt,"(Mathy 61, 68, Prytz 77)[Aug 15]"
3,Bayern,2,1,Mannheim,"(J.Wegmann 10, Wohlfahrt 25 - Trieb 69)"
3,Leverkusen,1,1,Nürnberg,(Schreier 51 - Schwabl 22)
3,Stuttgart,6,0,M'gladbach,"(Sigurvinsson 2, 86, Klinsmann 24, 50, 57, Walter 88)"
3,Bochum,0,0,1. FC Köln,
3,K'lautern,0,0,Werder,
3,Karlsruher,4,1,Schalke,"(Glesius 8, Süß 38, Patzke 49, Pilipovic 50 -Hermann 90)(sent off: Marquardt (Schalke, 75))[Aug 18]"
3,Hamburger,3,3,Hannover,"(Labbadia 8, Kaltz 31 p, Bein 72 - Kohn 50,Drews 14, 69)"
4,Frankfurt,0,2,Stuttgart,"(Walter 66, 76)[Aug 21]"
4,M'gladbach,2,1,Leverkusen,"(Willaarts 68, Rahn 76 - Täuber 44)"
4,Nürnberg,0,0,Dortmund[Aug 22],
4,Werder,0,0,Bochum,
4,1. FC Köln,2,0,Uerdingen,"(Povlsen 47, Littbarski 63)"
4,Homburg,3,2,Bayern,"(Freiler 30, W.Schäfer 67, 77 - Matthäus 49,J.Wegmann 87)"
4,Mannheim,2,2,Hamburger,"(Lux 73, Trieb 88 - Okonski 59, 68)"
4,Hannover,3,2,Karlsruher,"(Reich 25 p, 72 p, Willmer 90 - Glesius 12, 69)"
4,Schalke,5,0,K'lautern,"(Edelmann 23, 78, Thon 48, 58, Wollitz 79)"
5,Mannheim,0,0,Homburg,
5,Leverkusen,1,3,Frankfurt,"(Buncol 4 - Möller 55, 76, Smolarek 80)"
5,Stuttgart,0,2,1. FC Köln,"(Povlsen 19, T.Allofs 71)"
5,Uerdingen,1,2,Werder,"(Kuntz 69 - Riedle 74, 80) [85 Ordenewitz (Köln)m/pen]"
5,Bochum,1,3,Schalke,"(Kree 80 - Patzke 57, Thon 75, Wollitz 82)(sent off: Jackisch (Bochum, 34))[Aug 26]"
5,Bayern,1,0,Nürnberg,(Pflügler 31)
5,Dortmund,1,1,M'gladbach,(Zorc 46 - Willaarts 17)
5,K'lautern,4,1,Hannover,"(Hartmann 20, 87, Wuttke 64, Foda 75 - Hobday 35)"
5,Hamburger,0,4,Karlsruher,"(Glesius 30, 38, Hermann 68, 82)"
6,Frankfurt,0,0,Dortmund,
6,Homburg,0,2,Hamburger,"(Bein 33, Okonski 78)"
6,Karlsruher,1,0,K'lautern,(Pilipovic 33)
6,Hannover,1,0,Bochum,(Reich 39)
6,Schalke,2,1,Uerdingen,"(Götz 14, 58 - Kuntz 30)[Sep 2]"
6,Werder,5,1,Stuttgart,"(Meier 11, Ordenewitz 45, 61, 85 p, Buchwald 51 o -Allgöwer 83 p)"
6,1. FC Köln,0,0,Leverkusen,
6,M'gladbach,2,0,Bayern,"(Rahn 37, 45 p)"
6,Nürnberg,1,1,Mannheim,(Andersen 27 - Neun 28)
7,Bochum,5,0,Karlsruher,"(Leifeld 12, 77, Nehl 28, 62, Reekers 33)"
7,Hamburger,5,1,K'lautern,"(Dittmer 14, Kroth 59, Labbadia 63, 73, Laubinger83 - Kohr 71)[Sep 5]"
7,Homburg,0,4,Nürnberg,"(Andersen 29, 42, Dittwar 80, Schwabl 89)"
7,Mannheim,0,3,M'gladbach,"(Thiele 12, Criens 25, Hochstätter 51)"
7,Bayern,3,2,Frankfurt,"(Nachtweih 44, Augenthaler 54, Wohlfahrt 62 -Smolarek 2, F.Schulz 37)"
7,Dortmund,1,2,1. FC Köln,"(Dickel 88 - Povlsen 48, T.Allofs 73)"
7,Leverkusen,1,3,Werder,"(Schreier 25 - Ordenewitz 53, 90, Burgsmüller 67)"
7,Stuttgart,4,0,Schalke,"(Walter 36, 71 p, 73, Klinsmann 84)"
7,Uerdingen,1,0,Hannover,(Kuntz 63)
8,Werder,4,0,Dortmund,"(Burgsmüller 18, 25, Riedle 33, Ordenewitz 53 p)"
