Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
T1,11/08/95,Istanbulspor,Eskisehirspor,1,3,A,,,,,,,,,,,,,,,,,,,,,
T1,12/08/95,Fenerbahce,Karsiyaka,4,0,H,,,,,,,,,,,,,,,,,,,,,
T1,12/08/95,Genclerbirligi,Kocaelispor,1,1,D,,,,,,,,,,,,,,,,,,,,,
T1,13/08/95,Altay,Denizlispor,1,2,A,,,,,,,,,,,,,,,,,,,,,
T1,13/08/95,Antalyaspor,Bursaspor,4,2,H,,,,,,,,,,,,,,,,,,,,,
T1,13/08/95,Kayseri,Besiktas,1,1,D,,,,,,,,,,,,,,,,,,,,,
T1,13/08/95,Samsunspor,Gaziantepspor,1,0,H,,,,,,,,,,,,,,,,,,,,,
T1,13/08/95,Trabzonspor,Ankaragucu,3,1,H,,,,,,,,,,,,,,,,,,,,,
T1,13/08/95,Vanspor,Galatasaray,0,1,A,,,,,,,,,,,,,,,,,,,,,
T1,18/08/95,Ankaragucu,Istanbulspor,3,1,H,,,,,,,,,,,,,,,,,,,,,
T1,19/08/95,Eskisehirspor,Fenerbahce,1,2,A,,,,,,,,,,,,,,,,,,,,,
T1,19/08/95,Galatasaray,Altay,3,1,H,,,,,,,,,,,,,,,,,,,,,
T1,20/08/95,Besiktas,Genclerbirligi,2,2,D,,,,,,,,,,,,,,,,,,,,,
T1,20/08/95,Bursaspor,Samsunspor,2,4,A,,,,,,,,,,,,,,,,,,,,,
T1,20/08/95,Gaziantepspor,Trabzonspor,0,0,D,,,,,,,,,,,,,,,,,,,,,
T1,20/08/95,Karsiyaka,Vanspor,2,1,H
T1,20/08/95,Kayseri,Denizlispor,0,0,D
T1,20/08/95,Kocaelispor,Antalyaspor,2,2,D
T1,25/08/95,Samsunspor,Kocaelispor,0,0,D
T1,26/08/95,Istanbulspor,Gaziantepspor,2,0,H
T1,26/08/95,Trabzonspor,Bursaspor,0,0,D
T1,27/08/95,Antalyaspor,Besiktas,0,3,A
T1,27/08/95,Fenerbahce,Ankaragucu,2,0,H
T1,27/08/95,Genclerbirligi,Denizlispor,1,1,D
T1,27/08/95,Karsiyaka,Eskisehirspor,3,2,H
T1,27/08/95,Kayseri,Galatasaray,1,2,A
T1,27/08/95,Vanspor,Altay,2,0,H
T1,08/09/95,Ankaragucu,Karsiyaka,1,0,H
T1,09/09/95,Bursaspor,Istanbulspor,2,1,H
T1,09/09/95,Galatasaray,Genclerbirligi,0,1,A
T1,09/09/95,Gaziantepspor,Fenerbahce,2,2,D
T1,10/09/95,Altay,Kayseri,2,0,H
T1,10/09/95,Antalyaspor,Denizlispor,1,0,H
T1,10/09/95,Besiktas,Samsunspor,4,2,H
T1,10/09/95,Eskisehirspor,Vanspor,2,1,H
T1,10/09/95,Kocaelispor,Trabzonspor,1,3,A
T1,15/09/95,Istanbulspor,Kocaelispor,1,2,A
T1,16/09/95,Fenerbahce,Bursaspor,1,1,D
T1,16/09/95,Samsunspor,Denizlispor,1,3,A
T1,17/09/95,Antalyaspor,Galatasaray,0,2,A
T1,17/09/95,Eskisehirspor,Ankaragucu,2,1,H
T1,17/09/95,Genclerbirligi,Altay,1,2,A
T1,17/09/95,Karsiyaka,Gaziantepspor,2,1,H
T1,17/09/95,Trabzonspor,Besiktas,3,1,H
T1,17/09/95,Vanspor,Kayseri,1,0,H
T1,22/09/95,Galatasaray,Samsunspor,1,0,H
