Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,,,,,,,
T1,06/08/04,Rizespor,Fenerbahce,2,2,D,0,2,A,6,3.4,1.5,6,3.6,1.5,6,3.6,1.5,5.4,3.8,1.45,5.5,3.6,1.53,5.5,3.4,1.57,6,3.4,1.5,1.65,2,2.25,1.5,0.5,,,,,,,,,,,,,,,
T1,07/08/04,Denizlispor,Gaziantepspor,2,1,H,1,0,H,2.2,3.25,2.75,2.1,3.3,3,2.2,3.2,2.9,2,3.1,3.2,2.1,3.25,3,2.25,3.2,2.8,2.1,3.2,3,1.71,1.95,2.2,1.52,-0.5,,,,,,,,,,,,,,,
T1,07/08/04,Genclerbirligi,Sakaryaspor,1,0,H,1,0,H,1.5,3.4,6,1.45,3.7,6.5,1.45,3.7,6.6,1.45,3.8,5.4,1.53,3.6,5.5,1.5,3.5,6,1.4,3.75,7,1.6,2.1,1.45,2.37,-0.5,,,,,,,,,,,,,,,
T1,07/08/04,Kayserispor,Trabzonspor,0,3,A,0,1,A,4.33,3.4,1.66,5,3.5,1.6,4.2,3.5,1.7,4.4,3.3,1.65,4.33,3.6,1.67,4.5,3.4,1.67,4.4,3.4,1.65,1.6,2.1,1.91,1.7,0.5,,,,,,,,,,,,,,,
T1,07/08/04,Malatyaspor,Besiktas,1,1,D,1,0,H,3.2,3.2,2,3.3,3.2,2,3.1,3.2,2.1,3.5,3.1,1.9,3.5,3.25,1.91,3.5,3.25,1.91,2.8,3.2,2.2,1.65,2,1.57,2.1,0.5,,,,,,,,,,,,,,,
T1,08/08/04,A. Sebatspor,Ankaraspor,1,3,A,0,1,A,2.2,3.25,2.75,2.2,3.35,2.75,2.25,3.2,2.85,2.2,3,3.9,2.2,3.25,2.8,2.25,3.25,2.75,2,3.2,3.2,1.71,1.95,2.25,1.51,-0.5,,,,,,,,,,,,,,,
T1,08/08/04,Galatasaray,Konyaspor,3,1,H,2,1,H,1.36,4,7,1.35,4.1,7.75,1.35,4,8.3,1.4,3.9,6,1.33,4.33,7.5,1.36,4,7.5,1.4,3.75,7,1.55,2.2,1.35,2.7,-0.5,,,,,,,,,,,,,,,
T1,08/08/04,Istanbulspor,Diyarbakirspor,1,1,D,0,0,D,2.2,3.25,2.75,2.25,3.15,2.8,2.25,3.2,2.85,2.2,3,2.9,2.2,3.25,2.8,2.2,3.2,2.88,2.2,3.1,2.85,1.71,1.95,2.25,1.51,-0.5,,,,,,,,,,,,,,,
T1,08/08/04,Samsunspor,Ankaragucu,1,1,D,0,1,A,1.83,3.25,3.6,2,3.3,3.2,2,3.2,3.35,1.8,3.3,3.6,2,3.25,3.25,2,3.25,3.25,2.1,3.2,3,1.6,2.1,2,1.64,-0.5,,,,,,,,,,,,,,,
T1,13/08/04,Gaziantepspor,Galatasaray,1,0,H,0,0,D,3,3.2,2.1,3.35,3.3,1.95,2.95,3.25,2.1,3.1,3,2.1,3,3.2,2.1,2.8,3.25,2.2,2.62,3.2,2.3,1.65,2,1.55,2.1,-0.5,,,,,,,,,,,,,,,
T1,14/08/04,Ankaragucu,Istanbulspor,0,0,D,0,0,D,1.72,3.4,4,1.85,3.3,3.7,1.7,3.25,4.4,1.85,3.2,3.5,1.8,3.4,3.6,1.8,3.25,4,1.75,3.3,4,1.65,2,1.7,1.87,-0.5,,,,,,,,,,,,,,,
T1,14/08/04,Ankaraspor,Malatyaspor,1,3,A,1,2,A,2.25,3.2,2.75,2.3,3.35,2.6,2.25,3.25,2.7,2.2,3,2.9,2.25,3.2,2.75,2.3,3.2,2.7,2.15,3.25,2.85,1.65,2,2.25,1.47,-0.5,,,,,,,,,,,,,,,
T1,14/08/04,Diyarbakirspor,Kayserispor,2,1,H,1,0,H,1.72,3.4,4,1.75,3.15,4.45,1.75,3.1,4.35,1.7,3.3,4,1.67,3.6,4,1.75,3.4,4,1.55,3.6,5,1.6,2.1,1.75,1.81,-0.5,,,,,,,,,,,,,,,
T1,14/08/04,Fenerbahce,Samsunspor,2,1,H,0,0,D,1.2,5,11,1.3,4.5,8.25,1.25,5,8,1.3,4.2,8,1.3,4.33,8,1.29,4.75,8,1.25,4.5,10,1.55,2.2,1.25,3.08,-0.5,,,,,,,,,,,,,,,
T1,15/08/04,Genclerbirligi,Besiktas,1,1,D,0,0,D,3,3.2,2.1,2.95,3.4,2.1,3,3,2.2,2.9,3,2.2,2.75,3.25,2.2,3,3.25,2.1,3.75,3.3,1.8,1.55,2.2,1.5,2.2,0.5,,,,,,,,,,,,,,,
T1,15/08/04,Konyaspor,Rizespor,0,0,D,0,0,D,1.9,3.2,3.5,2,3,3.6,1.95,3.15,3.4,1.85,3.2,3.5,1.91,3.25,3.4,2,3.25,3.25,1.95,3.25,3.3,1.65,2,1.95,1.64,-0.5,,,,,,,,,,,
T1,15/08/04,Sakaryaspor,Denizlispor,1,2,A,1,1,D,2.6,3.2,2.37,2.75,3.4,2.2,2.6,3.2,2.35,2.8,3.1,2.2,2.5,3.25,2.4,2.75,3.25,2.25,2.65,3.2,2.3,1.71,1.95,1.43,2.35,0.5,,,,,,,,,,,
T1,15/08/04,Trabzonspor,A. Sebatspor,3,1,H,1,0,H,1.22,5,9,1.3,4.5,8.25,1.25,4.85,8.5,1.3,4.2,8,1.3,4.33,8,1.29,4.5,8.5,1.3,4.3,8,1.55,2.2,1.25,3.09,-0.5,,,,,,,,,,,
T1,21/08/04,Denizlispor,Besiktas,3,1,H,1,0,H,3,3.25,2.1,3.1,3.2,2.1,3.25,3.25,2,2.9,3,2.2,3,3.2,2.1,3.25,3.25,2,3,3.2,2.1,1.65,2,1.63,2,0.5,,,,,,,,,,,
T1,21/08/04,Genclerbirligi,Ankaraspor,1,1,D,0,1,A,1.615,3.5,4.5,1.55,3.5,5.5,1.6,3.55,4.6,1.6,3.4,4.6,1.62,3.4,5,1.57,3.4,5.5,1.7,3.4,4.15,1.65,2,1.6,2,-0.5,,,,,,,,,,,
T1,21/08/04,Istanbulspor,Fenerbahce,0,3,A,0,0,D,6,3.75,1.444,6.75,3.65,1.45,6,3.55,1.48,4.8,3.5,1.55,5,3.6,1.57,6,3.5,1.5,6.5,3.6,1.44,1.55,2.2,2.23,1.48,0.5,,,,,,,,,,,
T1,21/08/04,Malatyaspor,Trabzonspor,3,4,A,1,2,A,3.25,3.25,2,3.55,3.3,1.9,3,3.3,2.05,2.9,3,2.2,3,3.2,2.1,3.25,3.25,2,3,3.2,2.1,1.6,2.1,1.57,2.05,0.5,,,,,,,,,,,
T1,21/08/04,Samsunspor,Konyaspor,1,1,D,1,0,H,1.833,3.25,3.75,1.9,3.4,3.4,1.8,3.3,3.8,1.8,3.1,3.8,1.83,3.4,3.6,1.85,3.25,3.75,1.8,3.3,3.75,1.65,2,1.8,1.77,-0.5,,,,,,,,,,,
T1,22/08/04,A. Sebatspor,Diyarbakirspor,2,2,D,2,2,D,2.25,3.25,2.75,2.4,3.3,2.55,2.35,3.2,2.6,2.5,3,2.5,2.25,3.2,2.75,2.38,3.2,2.62,2.5,3.25,2.4,1.71,1.95,2.35,1.43,-0.5,,,,,,,,,,,
T1,22/08/04,Galatasaray,Rizespor,2,1,H,2,1,H,1.25,5,8.5,1.3,4.5,8.25,1.3,4.75,7,1.3,4.2,8,1.29,4.33,9,1.3,4.33,8.5,1.33,4,8,1.55,2.2,1.87,1.62,-1.5,,,,,,,,,,,
T1,22/08/04,Gaziantepspor,Sakaryaspor,1,0,H,0,0,D,1.4,3.75,7,1.55,3.5,5.5,1.45,3.6,6.5,1.5,3.7,5,1.4,3.75,7,1.44,3.6,7,1.4,3.75,7,1.6,2.1,2.25,1.42,-1.5,,,,,,,,,,,
T1,22/08/04,Kayserispor,Ankaragucu,1,1,D,1,0,H,2.4,3.4,2.4,2.6,3.3,2.35,2.35,3.25,2.55,2.3,3,2.7,2.4,3.2,2.6,2.5,3.2,2.5,2.55,3.25,2.35,1.71,1.95,2.35,1.43,-0.5,,,,,,,,,,,
T1,28/08/04,Ankaraspor,Denizlispor,3,2,H,1,1,D,2.75,3.2,2.2,3,3.3,2.1,2.9,3.2,2.15,2.7,3,2.3,2.75,3.2,2.2,2.75,3.25,2.25,2.9,3.15,2.15,1.65,2,1.52,2.15,0.5,,,,,,,,,,,
T1,28/08/04,Kayserispor,Fenerbahce,0,2,A,0,1,A,7,3.75,1.4,8.25,4.5,1.3,6.2,3.7,1.45,6,3.9,1.4,5,3.75,1.53,6,3.6,1.5,7,3.75,1.4,1.55,2.2,2.32,1.45,0.5,,,,,,,,,,,
T1,28/08/04,Konyaspor,Istanbulspor,2,1,H,0,0,D,1.83,3.2,3.75,1.85,3.4,3.6,1.83,3.25,3.7,1.9,3.1,3.5,2,3.4,3,1.91,3.25,3.5,1.85,3.3,3.6,1.65,2,1.83,1.73,-0.5,,,,,,,,,,,
T1,28/08/04,Rizespor,Samsunspor,2,0,H,2,0,H,2,3.2,3.2,2.1,3.3,3,2.1,3.3,2.9,2.1,3,3.1,2.1,3.4,2.8,2.1,3.25,3,2.1,3.2,3,1.65,2,2.1,1.54,-0.5,,,,,,,,,,,
