Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,,
T1,10/08/01,Besiktas,Trabzonspor,1,2,A,0,1,A,,,,1.6,3.2,4.2,,,,1.67,3.4,4.33,1.6,3.5,4.4,,
T1,11/08/01,Fenerbahce,Samsunspor,3,0,H,2,0,H,,,,1.15,5.5,11,,,,1.25,4.5,10,1.25,4.5,8.5,,
T1,11/08/01,Genclerbirligi,Diyarbakirspor,4,4,D,1,3,A,,,,1.5,3.4,4.7,,,,1.5,3.6,5.5,1.5,3.6,5.1,,
T1,11/08/01,Goztep,Bursaspor,2,0,H,2,0,H,,,,2.1,3,2.6,,,,2.25,3.2,2.75,2,3.2,3.05,,
T1,11/08/01,Rizespor,Kocaelispor,0,0,D,0,0,D,,,,1.8,3,3.5,,,,1.8,3.25,3.75,2,3.2,3.05,,
T1,12/08/01,Antalyaspor,Ankaragucu,1,8,A,1,2,A,,,,2.2,3,2.6,,,,2.38,3,2.7,2.3,3.2,2.55,,
T1,12/08/01,Denizlispor,Yozgatspor,5,0,H,2,0,H,,,,1.8,3,3.5,,,,1.91,3.2,3.5,1.65,3.4,4.2,,
T1,12/08/01,Gaziantepspor,Galatasaray,1,1,D,1,1,D,,,,2.35,3,2.35,,,,2.7,3,2.38,2.45,3.1,2.45,,
T1,12/08/01,Istanbulspor,Malatyaspor,1,0,H,0,0,D,,,,1.6,3.3,4,,,,1.62,3.5,4.5,1.7,3.4,3.9,,
T1,17/08/01,Bursaspor,Besiktas,2,2,D,1,0,H,,,,3.1,3,1.9,,,,3.75,3.2,1.83,3.45,3.4,1.8,,
T1,18/08/01,Diyarbakirspor,Goztep,1,2,A,0,1,A,,,,2,3,2.9,,,,2.3,3.1,2.7,2.35,3.25,2.45,,
T1,18/08/01,Galatasaray,Denizlispor,1,0,H,0,0,D,,,,1.25,4.3,8,,,,1.29,4.5,8,1.3,4,8.5,,
T1,18/08/01,Kocaelispor,Antalyaspor,3,1,H,1,0,H,,,,1.45,3.5,5,,,,1.57,3.5,5,1.45,3.8,5.3,,
T1,18/08/01,Samsunspor,Genclerbirligi,2,2,D,1,1,D,,,,1.7,3.2,3.6,,,,1.83,3.2,3.75,,,,,
T1,19/08/01,Ankaragucu,Malatyaspor,6,0,H,1,0,H,,,,1.4,3.6,5.5,,,,1.4,3.75,7,1.45,3.75,5.5,,
T1,19/08/01,Istanbulspor,Fenerbahce,1,0,H,1,0,H,,,,4.7,3.4,1.5,,,,5,3.5,1.57,4,3.5,1.65,,
T1,19/08/01,Trabzonspor,Gaziantepspor,2,1,H,0,0,D,,,,1.9,3,3.1,,,,1.91,3.2,3.5,1.9,3.4,3.15,,
T1,19/08/01,Yozgatspor,Rizespor,2,1,H,1,1,D,,,,1.75,3.2,3.4,,,,1.8,3.25,3.75,1.7,3.5,3.75,,
T1,24/08/01,Trabzonspor,Bursaspor,5,0,H,1,0,H,,,,1.35,3.8,6.2,,,,1.4,4,6.5,1.35,4.2,6.25,,
T1,25/08/01,Antalyaspor,Yozgatspor,3,3,D,2,0,H,,,,2.2,3.2,2.5,,,,2.38,3.25,2.5,2.2,3.3,2.6,,
T1,25/08/01,Besiktas,Diyarbakirspor,4,0,H,1,0,H,,,,1.2,4.7,9,,,,1.17,5.5,11,1.3,4.5,6.75,,
T1,25/08/01,Genclerbirligi,Istanbulspor,0,1,A,0,0,D,,,,1.7,3.2,3.6,,,,2,3.2,3.2,1.8,3.5,3.35,,
T1,25/08/01,Goztep,Samsunspor,2,1,H,1,0,H,,,,1.75,3.2,3.4,,,,2.25,3.2,2.7,2,3.3,3,,
T1,26/08/01,Fenerbahce,Ankaragucu,4,1,H,3,1,H,,,,1.5,3.4,4.7,,,,1.3,4.33,8,1.4,4,5.75,,
T1,26/08/01,Gaziantepspor,Denizlispor,0,0,D,0,0,D,,,,1.6,3.3,4,,,,1.5,3.6,5.5,1.4,4,5.75,,
T1,26/08/01,Kocaelispor,Malatyaspor,2,0,H,1,0,H,,,,1.4,3.6,5.5,,,,1.4,4,6.5,1.4,4,5.75,,
T1,26/08/01,Rizespor,Galatasaray,3,6,A,0,3,A,,,,3.6,3.2,1.7,,,,4,3.4,1.73,3.25,3.25,1.9,,
T1,07/09/01,Ankaragucu,Genclerbirligi,2,5,A,0,3,A,,,,2.1,3,2.8,1.7,3.25,4,1.67,3.25,4.5,1.65,3.4,4.2,,
T1,08/09/01,Bursaspor,Gaziantepspor,0,2,A,0,2,A,,,,2.35,3,2.35,2.4,3.2,2.4,2.5,3.1,2.5,2.45,3.2,2.4,,
T1,08/09/01,Diyarbakirspor,Trabzonspor,3,1,H,0,1,A,,,,3.6,3.2,1.7,,,,4.33,3.2,1.73,3.8,3.3,1.75,,
T1,08/09/01,Galatasaray,Antalyaspor,2,1,H,1,0,H,,,,1.15,5.5,11,1.15,5.5,10,1.15,5.5,13,1.3,4.25,7.5,,
T1,08/09/01,Kocaelispor,Fenerbahce,3,3,D,2,2,D,,,,3.2,2.9,1.9,3.25,3.2,1.9,3.75,3.2,1.83,2.6,3.2,2.25,,
T1,09/09/01,Denizlispor,Rizespor,1,2,A,0,0,D,,,,1.7,3.1,3.8,1.75,3.2,3.8,1.73,3.4,4,1.65,3.4,4.2,,
T1,09/09/01,Istanbulspor,Goztep,0,0,D,0,0,D,,,,1.8,3,3.5,1.8,3.2,3.6,1.8,3.25,3.75,1.65,3.4,4.2,,
T1,09/09/01,Yozgatspor,Malatyaspor,3,0,H,0,0,D,,,,1.45,3.5,5,,,,1.44,3.75,6,1.4,3.75,6.4,,
T1,14/09/01,Besiktas,Istanbulspor,0,1,A,0,1,A,,,,1.4,3.6,5.5,1.4,3.6,6.5,,,,1.45,3.75,5.5,,
T1,15/09/01,Antalyaspor,Denizlispor,1,0,H,0,0,D,,,,2.2,3,2.6,2.3,3.1,2.6,2.25,3.1,2.8,2.35,3.25,2.45,,
T1,15/09/01,Bursaspor,Diyarbakirspor,2,1,H,2,0,H,,,,1.75,3.1,3.6,,,,1.73,3.4,4,1.9,3.5,3.05,,
T1,15/09/01,Fenerbahce,Yozgatspor,1,0,H,0,0,D,,,,1.25,4.3,8,1.2,5,9,1.2,5,11,1.3,4.5,6.75,,
T1,15/09/01,Malatyaspor,Galatasaray,0,2,A,0,2,A,,,,6,3.9,1.35,,,,7,3.75,1.4,5.2,3.6,1.5,,
T1,16/09/01,Gaziantepspor,Rizespor,0,2,A,0,1,A,,,,1.5,3.4,4.7,1.5,3.4,5.5,1.44,3.75,6,1.5,3.75,4.8,,
T1,16/09/01,Genclerbirligi,Kocaelispor,2,2,D,1,0,H,,,,1.6,3.3,4,1.9,3.1,3.4,2,3.2,3.2,1.85,3.4,3.25,,
T1,16/09/01,Goztep,Ankaragucu,2,1,H,0,0,D,,,,2.1,3,2.8,2.1,3,3,,,,2.2,3.3,2.6,,
T1,16/09/01,Trabzonspor,Samsunspor,1,2,A,0,2,A,,,,1.3,4,7,1.33,4,7,1.36,4,7,1.4,4,5.75,,
T1,21/09/01,Kocaelispor,Goztep,2,0,H,2,0,H,,,,1.8,3,3.5,1.75,3.2,3.8,,,,1.7,3.5,3.75,,
T1,22/09/01,Bursaspor,Samsunspor,2,1,H,1,0,H,,,,,,,1.9,3.2,3.3,,,,2,3.25,3,,
T1,22/09/01,Denizlispor,Malatyaspor,4,1,H,1,0,H,,,,1.35,3.8,6.2,1.44,3.5,6,,,,1.4,4,5.75,,
