day,date,home_team,result,away_team
Saturday,March 7,HOU,1-0,Columbus
Friday,March 13,HOU,0-1,Orlando
Saturday,March 21,LA Galaxy,1-1,HOU
Saturday,March 28,HOU,0-0,Colorado
Saturday,April 4,Seattle,1-0,HOU
Saturday,April 11,HOU,3-0,Montreal
Saturday,April 18,D.C. United,1-1,HOU
Saturday,April 25,HOU,4-4,Sporting KC
Friday,May 1,HOU,1-4,FC Dallas
Tuesday,May 5,HOU,0-1,San Jose
Sunday,May 10,Toronto FC,1-2,HOU
Saturday,May 16,HOU,3-1,Portland
Friday,May 22,LA Galaxy,1-0,HOU
Saturday,May 30,NYCFC,1-1,HOU
Friday,June 5,HOU,4-2,NY Red Bulls
Saturday,June 20,Portland,2-0,HOU
Friday,June 26,FC Dallas,2-0,HOU
Friday,July 3,HOU,1-1,Chicago
Friday,July 10,San Jose,0-2,HOU
Saturday,July 18,Real Salt Lake,2-0,HOU
Saturday,July 25,HOU,3-0,LA Galaxy
Saturday,August 1,Sporting KC,1-1,HOU
Saturday,August 8,HOU,2-1,San Jose
Saturday,August 15,New England,2-0,HOU
Friday,August 21,Portland,2-2,HOU
Wednesday,August 26,Colorado,2-1,HOU
Saturday,August 29,HOU,2-0,Vancouver
Saturday,September 12,HOU,1-3,Real Salt Lake
Sunday,September 20,Philadelphia,2-0,HOU
Wednesday,September 23,HOU,1-0,Sporting KC
Saturday,September 26,HOU,3-2,Colorado
Sunday,October 4,FC Dallas,4-1,HOU
Sunday,October 18,Seattle,1-1,HOU
Sunday,October 25,Vancouver,3-0,HOU
