day,date,home_team,result,away_team
Saturday,March 2,CHV,0-3,Columbus
Sunday,March 10,CHV,3-1,FC Dallas
Sunday,March 17,LA Galaxy,1-1,CHV
Sunday,March 24,Chicago,1-4,CHV
Saturday,March 30,CHV,2-1,Vancouver
Saturday,April 13,CHV,0-1,Colorado
Saturday,April 20,Real Salt Lake,1-0,CHV
Saturday,April 27,CHV,2-2,San Jose
Sunday,May 5,Sporting KC,4-0,CHV
Sunday,May 12,Portland,3-0,CHV
Sunday,May 19,CHV,1-4,Real Salt Lake
Saturday,May 25,Colorado,2-0,CHV
Saturday,June 1,Seattle,0-2,CHV
Wednesday,June 19,Vancouver,3-1,CHV
Sunday,June 23,CHV,0-1,LA Galaxy
Saturday,June 29,CHV,1-1,New England
Thursday,July 4,FC Dallas,0-0,CHV
Sunday,July 7,Montreal,1-1,CHV
Friday,July 12,Philadelphia,3-1,CHV
Wednesday,July 17,CHV,1-0,Toronto FC
Sunday,July 28,Seattle,2-1,CHV
Saturday,August 3,San Jose,2-0,CHV
Sunday,August 11,CHV,1-1,Colorado
Wednesday,August 21,CHV,1-3,FC Dallas
Sunday,August 25,CHV,3-2,NY Red Bulls
Sunday,September 1,Vancouver,2-2,CHV
Wednesday,September 4,Seattle,1-0,CHV
Sunday,September 8,CHV,1-0,D.C. United
Saturday,September 14,CHV,1-1,Portland
Saturday,September 21,Houston,5-1,CHV
Sunday,September 29,CHV,0-1,San Jose
Sunday,October 6,LA Galaxy,5-0,CHV
Wednesday,October 23,Real Salt Lake,2-1,CHV
Saturday,October 26,CHV,0-5,Portland
