day,date,home_team,result,away_team
Sunday,March 3,POR,3-3,NY Red Bulls
Saturday,March 9,POR,1-2,Montreal
Saturday,March 16,Seattle,1-1,POR
Saturday,March 30,Colorado,2-2,POR
Saturday,April 6,POR,2-0,Houston
Sunday,April 14,POR,1-0,San Jose
Sunday,April 21,San Jose,1-1,POR
Saturday,April 27,Sporting KC,2-3,POR
Thursday,May 2,POR,0-0,New England
Wednesday,May 8,FC Dallas,1-1,POR
Sunday,May 12,POR,3-0,Chivas USA
Saturday,May 18,Vancouver,2-2,POR
Saturday,May 25,D.C. United,0-2,POR
Saturday,June 8,Chicago,2-2,POR
Saturday,June 15,POR,1-0,FC Dallas
Wednesday,June 19,LA Galaxy,0-0,POR
Sunday,June 23,POR,3-0,Colorado
Sunday,July 7,Columbus,1-0,POR
Saturday,July 13,POR,2-1,LA Galaxy
Saturday,July 20,Philadelphia,0-0,POR
Saturday,July 27,San Jose,2-1,POR
Saturday,August 3,POR,1-1,Vancouver
Saturday,August 17,POR,2-1,FC Dallas
Wednesday,August 21,POR,3-3,Real Salt Lake
Sunday,August 25,Seattle,1-0,POR
Friday,August 30,Real Salt Lake,4-2,POR
Saturday,September 7,POR,4-0,Toronto FC
Saturday,September 14,Chivas USA,1-1,POR
Friday,September 20,POR,1-0,Colorado
Sunday,September 29,POR,1-0,LA Galaxy
Sunday,October 6,Vancouver,2-2,POR
Sunday,October 13,Seattle,1-0,POR
Saturday,October 19,POR,0-0,Real Salt Lake
Saturday,October 26,Chivas USA,0-5,POR
