day,date,home_team,result,away_team
Sunday,March 3,LA,4-0,Chicago
Sunday,March 17,LA,1-1,Chivas USA
Saturday,March 23,LA,1-0,Colorado
Saturday,March 30,Toronto FC,2-2,LA
Saturday,April 13,FC Dallas,1-0,LA
Saturday,April 20,LA,2-0,Sporting KC
Saturday,April 27,Real Salt Lake,0-2,LA
Sunday,May 5,LA,0-1,Houston
Saturday,May 11,Vancouver,3-1,LA
Wednesday,May 15,Philadelphia,1-4,LA
Sunday,May 19,NY Red Bulls,1-0,LA
Sunday,May 26,Seattle,4-0,LA
Sunday,June 2,New England,5-0,LA
Saturday,June 8,Real Salt Lake,3-1,LA
Wednesday,June 19,LA,0-0,Portland
Sunday,June 23,Chivas USA,0-1,LA
Saturday,June 29,San Jose,3-2,LA
Thursday,July 4,LA,2-1,Columbus
Sunday,July 7,LA,2-0,FC Dallas
Saturday,July 13,Portland,2-1,LA
Saturday,July 20,LA,2-1,Vancouver
Saturday,July 27,Colorado,2-0,LA
Sunday,August 11,FC Dallas,3-3,LA
Saturday,August 17,LA,4-2,Real Salt Lake
Saturday,August 24,Vancouver,0-1,LA
Saturday,August 31,LA,3-0,San Jose
Saturday,September 7,LA,0-1,Colorado
Saturday,September 14,D.C. United,2-2,LA
Saturday,September 21,Seattle,1-1,LA
Sunday,September 29,Portland,1-0,LA
Sunday,October 6,LA,5-0,Chivas USA
Wednesday,October 16,LA,1-0,Montreal
Sunday,October 20,LA,0-0,San Jose
Sunday,October 27,Seattle,1-1,LA
