Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
E1,09/08/03,Bradford,Norwich,2,2,D,0,1,A,Scott Mathieson,16,5,9,3,7,14,8,5,1,2,0,0,2.375,3.2,2.625,2.4,3.2,2.7,2.2,3.1,2.8,2.4,3.25,2.5,2.38,3.2,2.63,2.37,3.2,2.62,2.3,3.2,2.62,1.85,1.85,1.9,1.8,1.8,2,0,2.05,1.8,-0.25,1.8,2.05,0
E1,09/08/03,Burnley,Crystal Palace,2,3,A,2,2,D,C Foy,7,6,2,2,15,17,6,1,2,2,0,2,2.25,3.25,2.75,2.25,3.2,2.9,2.3,3.1,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.2,2.87,2.25,3.2,2.75,1.9,1.79,1.72,2,2,1.8,-0.25,2.05,1.8,-0.25,2.05,1.8,-0.25
E1,09/08/03,Derby,Stoke,0,3,A,0,2,A,Howard Webb,13,11,5,7,11,19,6,5,2,2,0,0,1.8,3.25,4,1.8,3.25,4.15,1.75,3.3,3.8,1.8,3.2,4,1.73,3.25,4.33,1.72,3.25,4.33,1.72,3.25,4.2,1.9,1.79,1.9,1.8,1.8,2,-0.5,1.85,2,-0.5,1.85,2,-0.5
E1,09/08/03,Ipswich,Reading,1,1,D,0,0,D,B Curson,13,7,4,4,8,20,2,6,1,3,0,1,1.833,3.25,3.75,1.9,3.25,3.75,1.8,3.3,3.6,1.909,3.25,3.4,1.8,3.25,4,1.8,3.25,4,1.83,3.2,3.75,1.95,1.75,1.83,1.83,1.9,1.88,-0.5,1.9,1.95,-0.5,2,1.85,-0.5
E1,09/08/03,Millwall,Wigan,2,0,H,0,0,D,Andy Hall,10,11,4,8,17,20,4,6,1,5,0,0,2,3.25,3.25,2,3.25,3.4,2,3.2,3.1,2,3.2,3.2,1.91,3.25,3.5,1.9,3.25,3.5,2,3.2,3.2,1.85,1.85,1.83,1.83,2,1.8,-0.5,1.95,1.9,-0.5,2.1,1.75,-0.5
E1,09/08/03,Nott'm Forest,Sunderland,2,0,H,2,0,H,M Ryan,8,15,6,10,13,17,17,6,0,3,0,0,2.2,3.25,2.8,2.15,3.25,3.05,2.1,3.2,2.9,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.2,3.2,2.8,1.85,1.85,1.9,1.8,1.9,1.9,-0.25,1.9,1.95,-0.25,1.975,1.875,-0.25
E1,09/08/03,Preston,West Ham,1,2,A,1,1,D,P Danson,15,9,6,7,15,10,7,4,0,3,0,0,2.8,3.25,2.2,2.7,3.25,2.35,2.6,3.1,2.3,2.75,3.25,2.2,2.63,3.2,2.38,2.62,3.2,2.37,2.75,3.2,2.25,1.85,1.85,1.72,2,1.75,2.05,0.25,1.8,2.05,0.25,1.8,2.05,0.25
E1,09/08/03,Rotherham,Cardiff,0,0,D,0,0,D,Peter Walton,12,6,5,4,11,7,8,6,1,1,0,0,2.3,3.2,2.7,2.4,3.25,2.65,2.3,3.1,2.6,2.2,3.25,2.75,2.25,3.25,2.75,2.3,3.2,2.75,2.4,3.25,2.5,1.85,1.85,1.9,1.8,1.8,2,0,2,1.85,-0.25,2,1.9,-0.25
E1,09/08/03,Sheffield United,Gillingham,0,0,D,0,0,D,G Laws,12,8,8,1,13,22,4,4,0,2,0,0,1.571,3.4,5.5,1.6,3.4,5.4,1.6,3.4,4.6,1.615,3.25,5,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5,1.95,1.75,1.8,1.9,1.8,2,-0.75,1.8,2.05,-0.75,1.8,2.05,-0.75
E1,09/08/03,Walsall,West Brom,4,1,H,3,0,H,T Bates,11,17,8,7,6,9,4,7,1,1,0,0,2.75,3.25,2.25,2.8,3.25,2.3,2.6,3.1,2.3,2.8,3.2,2.2,2.75,3.25,2.25,2.75,3.2,2.3,2.75,3.2,2.25,1.85,1.85,1.9,1.8,1.75,2.05,0.25,1.8,2.05,0.25,2.05,1.8,0
E1,09/08/03,Wimbledon,Crewe,3,1,H,1,1,D,K Hill,8,7,4,3,6,5,3,5,1,0,0,0,1.909,3.25,3.5,2,3.25,3.4,1.9,3.2,3.4,2,3.4,3,2,3.25,3.25,1.9,3.25,3.5,1.9,3.2,3.5,1.9,1.79,1.8,1.9,2,1.8,-0.5,2,1.85,-0.5,2,1.85,-0.5
E1,16/08/03,Cardiff,Bradford,0,2,A,0,1,A,Lee Cable,21,8,11,5,10,20,10,4,0,3,0,0,1.727,3.5,4,1.85,3.35,3.9,1.8,3.3,3.6,1.8,3.25,3.75,1.83,3.25,3.75,1.83,3.3,3.75,1.8,3.4,3.6,1.9,1.79,1.8,1.9,1.8,2,-0.5,1.85,2,-0.5,1.9,1.95,-0.5
E1,16/08/03,Coventry,Walsall,0,0,D,0,0,D,Chris Foy,25,6,15,1,11,13,2,2,2,0,1,0,1.909,3.25,3.5,2.1,3.25,3.25,1.9,3.3,3.3,2.1,3.2,3,2,3.25,3.25,2,3.25,3.25,1.9,3.25,3.4,1.9,1.79,1.9,1.8,1.75,2.05,-0.25,2,1.85,-0.5,2.05,1.8,-0.5
E1,16/08/03,Crewe,Ipswich,1,0,H,0,0,D,R Pearson,14,18,5,13,9,12,8,8,0,3,0,0,2.7,3.2,2.3,2.75,3.3,2.35,2.7,3.2,2.2,2.75,3.25,2.2,2.75,3.25,2.25,2.75,3.25,2.25,2.75,3.2,2.25,1.95,1.75,1.9,1.8,2,1.8,0.25,2.1,1.75,0,1.825,2.025,0.25
E1,16/08/03,Crystal Palace,Watford,1,0,H,1,0,H,Phil Dowd,5,8,3,4,11,19,3,8,1,2,1,0,1.833,3.25,3.75,1.95,3.3,3.65,2,3.2,3.1,1.909,3.25,3.4,1.91,3.25,3.5,1.9,3.25,3.5,2,3.2,3.2,1.75,1.95,1.9,1.8,1.9,1.9,-0.5,1.85,2,-0.5,1.875,1.975,-0.5
E1,16/08/03,Gillingham,Derby,0,0,D,0,0,D,C Penton,13,10,4,5,17,13,6,5,1,3,0,0,1.909,3.25,3.5,2,3.25,3.5,1.9,3.3,3.3,2,3.2,3.2,2,3.25,3.25,2.1,3.25,3,2.1,3.2,3,1.71,2,2,1.72,1.75,2.05,-0.25,2.05,1.8,-0.5,1.95,1.9,-0.5
E1,16/08/03,Norwich,Rotherham,2,0,H,2,0,H,N Barry,10,11,5,5,12,12,7,3,0,2,0,1,1.727,3.25,4.333,1.75,3.3,4.55,1.65,3.4,4.2,1.615,3.25,5,1.73,3.25,4.33,1.72,3.25,4.33,1.66,3.4,4.33,2,1.71,1.9,1.8,2,1.8,-0.75,1.95,1.9,-0.75,2.05,1.8,-0.75
E1,16/08/03,Reading,Nott'm Forest,3,0,H,0,0,D,R Olivier,16,13,9,2,14,11,9,5,1,1,0,0,2.1,3.25,3,2.15,3.25,3.1,2.1,3.2,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.87,2.1,3.2,3,1.85,1.85,1.9,1.8,1.9,1.9,-0.25,1.8,2.05,0,2.075,1.775,-0.25
E1,16/08/03,Stoke,Wimbledon,2,1,H,1,0,H,P Robinson,19,6,8,2,12,8,12,4,1,3,0,0,2,3.25,3.25,2.15,3.25,3.1,2,3.2,3.1,2,3.4,3,2,3.25,3.25,2.1,3.25,3,2,3.2,3.2,1.75,1.95,1.9,1.8,1.85,1.95,-0.25,2.05,1.8,-0.5,2.075,1.775,-0.5
E1,16/08/03,Sunderland,Millwall,0,1,A,0,1,A,T Leake,10,6,9,4,15,20,8,5,1,2,0,0,2,3.25,3.25,2,3.25,3.4,2,3.2,3.1,2,3.4,3,2.1,3.25,3,2,3.25,3.25,2,3.2,3.2,1.9,1.79,1.83,1.83,1.95,1.85,-0.5,1.95,1.9,-0.5,2.075,1.775,-0.5
E1,16/08/03,West Brom,Burnley,4,1,H,1,1,D,M Clattenburg,12,7,5,4,14,13,5,4,2,4,0,0,1.571,3.6,5,1.6,3.6,5.25,1.65,3.4,4.2,1.5,3.4,6,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5,1.75,1.95,1.61,2.2,2.05,1.75,-1,2.1,1.75,-1,1.75,2.1,-0.75
E1,16/08/03,West Ham,Sheffield United,0,0,D,0,0,D,K Hill,6,5,5,2,20,5,5,6,4,2,0,0,1.8,3.25,4,1.9,3.3,3.8,1.8,3.3,3.6,1.727,3.4,4,1.91,3.25,3.5,1.9,3.25,3.5,1.8,3.3,3.75,1.85,1.85,1.72,2,1.85,1.95,-0.5,1.8,2.05,-0.5,1.9,1.95,-0.5
E1,16/08/03,Wigan,Preston,1,1,D,0,0,D,M Fletcher,17,12,8,7,16,12,8,5,1,4,0,0,1.909,3.25,3.5,2.05,3.25,3.35,1.9,3.3,3.3,2,3.2,3.2,2,3.25,3.25,2,3.25,3.25,1.9,3.25,3.4,1.9,1.79,1.8,1.9,1.75,2.05,-0.25,2,1.85,-0.5,1.875,1.975,-0.25
E1,23/08/03,Bradford,Gillingham,0,1,A,0,0,D,G Salisbury,13,16,6,6,8,9,4,5,2,1,0,0,2,3.25,3.25,2.1,3.2,3.2,2,3.2,3.1,2.25,3.2,2.75,2.2,3.25,2.8,2,3.25,3.25,1.9,3.2,3.5,1.95,1.75,2,1.72,1.85,1.95,-0.25,1.9,1.95,-0.25,1.9,1.95,-0.25
E1,23/08/03,Burnley,Wigan,0,2,A,0,1,A,A Butler,15,9,5,5,12,15,10,2,2,3,0,0,2.3,3.2,2.7,2.3,3.2,2.7,2.2,3,2.9,2.2,3.25,2.75,2.3,3.2,2.7,2.3,3.2,2.7,2.3,3.2,2.62,1.85,1.85,1.8,1.9,2,1.8,-0.25,2,1.85,-0.25,2.1,1.75,-0.25
E1,23/08/03,Derby,Reading,2,3,A,1,3,A,Colin Webster,13,8,8,8,15,9,2,8,3,1,0,0,2.7,3.2,2.3,2.8,3.2,2.3,2.5,3.2,2.3,2.75,3.2,2.25,2.88,3.2,2.2,2.7,3.2,2.3,2.62,3.1,2.37,1.85,1.85,1.9,1.8,1.8,2,0.25,1.8,2.05,0.25,1.85,2,0.25
E1,23/08/03,Ipswich,Coventry,1,1,D,1,1,D,Frazer Stretton,9,14,5,8,12,4,7,10,3,1,0,0,1.727,3.25,4.333,1.75,3.3,4.4,1.7,3.3,4,1.667,3.4,4.333,1.7,3.4,4.33,1.7,3.4,4.33,1.72,3.4,4,1.9,1.79,1.83,1.83,2.05,1.77,-0.75,2,1.85,-0.75,2.1,1.75,-0.75
E1,23/08/03,Millwall,Crewe,1,1,D,0,0,D,S Tomlin,9,11,6,8,22,10,4,6,1,3,0,0,1.615,3.6,4.5,1.65,3.4,5,1.65,3.4,4.2,1.615,3.25,5,1.62,3.4,5,1.61,3.4,5,1.57,3.5,5,1.79,1.9,1.83,1.83,1.9,1.9,-0.75,1.85,2,-0.75,1.775,2.075,-0.75
E1,23/08/03,Nott'm Forest,Cardiff,1,2,A,0,2,A,Howard Webb,10,13,5,6,14,14,7,9,2,2,0,0,1.727,3.5,4,1.75,3.4,4,1.65,3.4,4.2,1.615,3.5,4.5,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.4,4,1.79,1.9,1.8,1.9,1.85,1.95,-0.75,1.8,2.05,-0.75,1.9,1.95,-0.75
E1,23/08/03,Preston,Sunderland,0,2,A,0,2,A,T Bates,17,11,6,7,18,10,10,1,2,4,0,0,2.1,3.25,3,2.15,3.2,3.1,2.1,3.2,2.9,2.2,3.25,2.75,2,3.25,3.25,2.2,3.2,2.87,2.1,3.2,3,1.95,1.75,1.83,1.83,1.9,1.9,-0.25,1.85,2,-0.25,1.85,2,-0.25
E1,23/08/03,Rotherham,West Ham,1,0,H,1,0,H,M Pike,13,11,6,5,7,12,8,2,3,1,0,0,3.5,3.25,1.909,3.45,3.2,2,3.1,3.2,2,3.5,3.2,1.909,3.25,3.25,2,3.25,3.25,2,3.4,3.25,1.9,1.85,1.85,1.8,1.9,2.05,1.77,0.25,2.05,1.8,0.25,2.05,1.8,0.25
E1,23/08/03,Sheffield United,Norwich,1,0,H,1,0,H,C Foy,12,8,9,4,8,19,7,6,0,3,0,0,1.727,3.5,4,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.72,3.25,4.33,1.72,3.4,4,1.85,1.85,1.9,1.8,1.8,2,-0.5,2.1,1.75,-0.75,1.85,2,-0.5
E1,23/08/03,Walsall,Stoke,1,1,D,0,1,A,P Taylor,9,10,6,6,15,12,9,6,4,4,1,0,2,3.25,3.25,2.1,3.2,3.2,1.9,3.2,3.4,2.1,3.2,3,2,3.25,3.25,2,3.25,3.25,1.9,3.25,3.4,1.79,1.9,1.9,1.8,1.8,2,-0.25,1.8,2.05,-0.25,1.75,2.1,-0.25
E1,23/08/03,Watford,West Brom,0,1,A,0,0,D,P Armstrong,13,6,5,1,16,17,12,5,1,1,0,0,2.625,3.2,2.375,2.65,3.2,2.35,2.2,3.2,2.7,2.5,3.25,2.4,2.6,3.2,2.4,2.6,3.2,2.4,2.5,3.25,2.4,1.79,1.9,1.9,1.8,1.95,1.85,0,2,1.85,0,2,1.85,0
E1,23/08/03,Wimbledon,Crystal Palace,1,3,A,1,0,H,Peter Walton,9,12,6,10,7,3,4,9,1,1,0,0,2.7,3.2,2.3,2.8,3.2,2.3,2.7,3.2,2.2,2.8,3.2,2.2,2.7,3.2,2.3,2.7,3.2,2.3,2.75,3.2,2.25,1.9,1.79,1.83,1.83,1.75,2.08,0.25,2.1,1.75,0,2,1.85,0
E1,25/08/03,Cardiff,Derby,4,1,H,2,0,H,N Barry,12,5,8,5,17,17,4,1,2,2,0,1,1.8,3.4,3.75,1.85,3.3,4,1.85,3.2,3.5,1.909,3.25,3.4,1.73,3.25,4.33,1.75,3.3,4.2,1.8,3.3,3.75,1.85,1.85,1.83,1.83,1.8,2,-0.5,1.9,1.95,-0.5,1.85,2,-0.5
E1,25/08/03,Crewe,Walsall,1,0,H,0,0,D,G Cain,16,8,11,4,5,6,10,6,0,2,0,0,2.25,3.25,2.75,2.25,3.25,2.85,2.1,3,3.1,2.25,3.2,2.75,2.2,3.25,2.88,2.2,3.25,2.8,2.25,3.2,2.75,1.9,1.79,1.9,1.8,2,1.8,-0.25,2.05,1.8,-0.25,1.95,1.9,-0.25
E1,25/08/03,Gillingham,Burnley,0,3,A,0,2,A,M Halsey,14,15,5,7,11,13,7,1,1,3,0,0,1.8,3.4,3.75,1.85,3.3,4,1.85,3.2,3.5,1.727,3.4,4,1.73,3.4,4,1.75,3.4,4,1.9,3.25,3.4,1.85,1.85,1.83,1.83,1.83,1.97,-0.5,1.75,2.1,-0.5,1.85,2,-0.5
E1,25/08/03,Reading,Rotherham,0,0,D,0,0,D,D Crick,14,7,6,3,7,23,6,3,1,3,0,0,1.533,3.5,5.5,1.5,3.75,6.25,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6,1.44,3.75,6.5,1.44,3.6,6.5,1.79,1.9,1.8,1.9,1.95,1.85,-1.25,2.05,1.8,-1.25,1.85,2.05,-1
E1,25/08/03,Sunderland,Watford,2,0,H,1,0,H,Andy Hall,11,10,4,2,15,15,5,4,1,2,0,0,1.727,3.5,4,1.75,3.4,4.4,1.8,3.3,3.6,1.8,3.25,3.75,1.73,3.4,4,1.75,3.4,4,1.72,3.4,4,1.85,1.85,1.83,1.83,2,1.8,-0.75,2.1,1.75,-0.75,1.8,2.05,-0.5
E1,25/08/03,West Brom,Preston,1,0,H,1,0,H,A Kaye,8,10,4,4,11,9,6,3,2,2,0,1,1.571,3.6,5,1.55,3.5,6,1.6,3.4,4.6,1.533,3.5,5.5,1.5,3.5,6,1.5,3.5,6,1.57,3.5,5,1.79,1.9,1.8,1.9,1.9,1.9,-1,1.95,1.9,-1,1.85,2,-0.75
E1,26/08/03,Crystal Palace,Sheffield United,1,2,A,0,2,A,S Mathieson,17,12,9,4,16,12,8,7,2,2,0,1,2.3,3.2,2.7,2.3,3.25,2.85,2.2,3.1,2.8,2.1,3.2,3,2.25,3.25,2.75,2.25,3.25,2.75,2.1,3.2,3,1.85,1.85,1.9,1.8,1.95,1.85,-0.25,2,1.85,-0.25,2.05,1.8,-0.25
E1,26/08/03,Norwich,Wimbledon,3,2,H,2,0,H,P Prosser,10,9,4,7,18,15,2,4,3,3,0,1,1.727,3.5,4,1.7,3.5,4.55,1.7,3.3,4,1.667,3.4,4.333,1.62,3.4,5,1.61,3.4,5,1.66,3.3,4.5,1.79,1.9,1.8,1.9,1.87,1.93,-0.75,2.1,1.75,-1,1.85,2,-0.75
E1,26/08/03,Stoke,Millwall,0,0,D,0,0,D,J Winter,18,8,10,5,11,15,5,10,1,3,0,0,2.375,3.2,2.625,2.4,3.25,2.65,2.3,3.1,2.6,2.2,3.25,2.75,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.1,2.62,1.9,1.79,2,1.72,2,1.8,-0.25,2,1.85,-0.25,2.05,1.8,-0.25
E1,26/08/03,West Ham,Bradford,1,0,H,1,0,H,R Beeby,17,10,11,4,10,14,5,3,2,1,0,0,1.444,3.75,6.5,1.47,3.7,7,1.6,3.4,4.6,1.444,3.75,6,1.4,3.75,7.5,1.44,3.75,6.5,1.5,3.4,6,1.79,1.9,1.72,2,1.8,2,-1,1.95,1.9,-1,2,1.85,-1
E1,26/08/03,Wigan,Ipswich,1,0,H,0,0,D,T Parkes,15,7,10,3,11,5,4,6,2,2,0,0,2.3,3.2,2.7,2.4,3.25,2.7,2.3,3.1,2.6,2.4,3.25,2.5,2.38,3.2,2.62,2.37,3.2,2.62,2.3,3.2,2.62,1.95,1.75,1.83,1.83,1.8,2,0,1.8,2.05,0,2.05,1.8,-0.25
E1,27/08/03,Coventry,Nott'm Forest,1,3,A,0,1,A,P Danson,25,8,15,3,16,8,9,6,3,3,0,0,2.4,3.2,2.6,2.4,3.25,2.7,2.3,3.1,2.6,2.5,3.25,2.4,2.25,3.25,2.75,2.3,3.2,2.7,2.3,3.2,2.62,1.9,1.79,1.9,1.8,1.8,2,0,1.8,2.05,0,1.8,2.05,0
E1,30/08/03,Bradford,Sunderland,0,4,A,0,3,A,P Dowd,2,18,1,14,23,16,4,7,4,3,0,0,2.5,3.2,2.5,2.65,3.25,2.4,2.5,3.2,2.3,2.6,3.2,2.375,2.62,3.2,2.38,2.6,3.2,2.4,2.62,3.1,2.37,1.85,1.85,1.9,1.8,1.77,2.05,0.25,1.9,1.95,0,1.95,1.9,0
E1,30/08/03,Burnley,Crewe,1,0,H,0,0,D,G Laws,7,9,3,3,9,6,7,5,1,1,0,0,2.1,3.25,3,2.15,3.25,3.05,2,3.2,3.1,2.1,3.4,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2,3.2,3.2,1.85,1.85,1.83,1.83,1.85,1.95,-0.25,1.9,1.95,-0.25,1.8,2.05,-0.25
E1,30/08/03,Derby,West Brom,0,1,A,0,0,D,M Ryan,17,7,12,5,12,18,2,3,2,2,0,0,3,3.25,2.1,3.05,3.25,2.15,2.9,3.2,2.1,3,3.2,2.1,3.25,3.25,2,3,3.25,2.1,2.8,3.2,2.2,1.79,1.9,2,1.72,1.85,1.95,0.25,1.95,1.9,0.25,1.9,1.95,0.25
E1,30/08/03,Ipswich,West Ham,1,2,A,0,1,A,A Hall,16,11,10,6,10,12,6,7,2,2,0,0,2.625,3.2,2.375,2.52,3.25,2.52,2.4,3.2,2.4,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.79,1.83,1.83,1.9,1.9,0,1.85,2,0,1.925,1.925,0
E1,30/08/03,Millwall,Crystal Palace,1,1,D,0,0,D,Howard Webb,13,7,9,4,18,15,8,5,3,4,0,1,2.1,3.25,3,2.15,3.25,3.05,2.1,3.2,2.9,2.25,3.2,2.75,2.1,3.25,3,2.1,3.25,3,2.2,3.2,2.8,1.79,1.9,1.83,1.83,1.9,1.9,-0.25,1.9,1.95,-0.25,1.8,2.05,-0.25
E1,30/08/03,Nott'm Forest,Norwich,2,0,H,1,0,H,L Cable,15,13,8,7,15,13,10,6,1,2,0,0,1.8,3.4,3.75,1.9,3.3,3.65,1.8,3.3,3.6,1.909,3.25,3.4,1.83,3.25,3.75,1.83,3.3,3.75,1.83,3.2,3.75,1.79,1.9,1.8,1.9,1.9,1.9,-0.5,,,,1.925,1.925,-0.5
E1,30/08/03,Preston,Stoke,1,0,H,1,0,H,P Walton,24,19,14,10,16,13,8,9,5,3,0,0,2,3.25,3.25,2.05,3.25,3.25,2,3.2,3.1,2,3.2,3.2,2.1,3.25,3,2,3.25,3.25,2,3.2,3.2,2,1.71,1.83,1.83,1.85,1.95,-0.25,1.8,2.05,-0.25,1.85,2,-0.25
E1,30/08/03,Rotherham,Wigan,0,3,A,0,0,D,Mark Clattenburg,8,12,2,4,17,15,6,7,3,2,0,0,2.25,3.25,2.75,2.3,3.25,2.8,2.2,3.2,2.7,2,3.4,3,2.38,3.2,2.62,2.3,3.2,2.7,2.3,3.2,2.62,2,1.71,1.9,1.8,2,1.8,-0.25,2,1.85,-0.25,1.925,1.925,-0.25
E1,30/08/03,Sheffield United,Coventry,2,1,H,1,0,H,D Crick,9,17,3,7,10,12,3,10,0,3,0,0,1.667,3.4,4.5,1.7,3.35,4.6,1.7,3.3,4,1.667,3.25,4.5,1.62,3.4,5,1.61,3.4,5,1.66,3.3,4.5,1.79,1.9,1.83,1.83,1.85,1.95,-0.75,2.05,1.8,-1,1.8,2.05,-0.75
E1,30/08/03,Walsall,Cardiff,1,1,D,0,0,D,P Joslin,7,12,3,9,11,4,5,10,1,2,1,1,2.3,3.2,2.7,2.35,3.25,2.7,2.2,3.2,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.3,3.2,2.7,2.3,3.2,2.62,1.85,1.85,1.9,1.8,2,1.8,-0.25,2,1.85,-0.25,2.05,1.8,-0.25
E1,30/08/03,Watford,Gillingham,2,2,D,1,0,H,M Warren,11,8,4,4,12,21,4,2,1,2,1,0,2.1,3.25,3,2.05,3.25,3.25,2.1,3.2,2.9,2,3.2,3.2,2.1,3.25,3,2.1,3.25,3,1.9,3.2,3.5,1.95,1.75,2,1.72,1.85,1.95,-0.25,2,1.85,-0.5,1.85,2,-0.25
E1,30/08/03,Wimbledon,Reading,0,3,A,0,1,A,M Jones,11,13,5,10,5,14,3,9,1,0,0,0,2.875,3.2,2.2,2.95,3.25,2.2,2.4,3.2,2.4,2.75,3.25,2.2,2.8,3.25,2.2,2.75,3.25,2.25,2.8,3.2,2.2,1.79,1.9,1.8,1.9,1.95,1.85,0.25,2.1,1.75,0,2,1.85,0.25
E1,06/09/03,Gillingham,Millwall,4,3,H,2,1,H,K Hill,10,11,8,6,10,19,6,4,2,2,0,0,2.3,3.2,2.7,2.45,3.2,2.7,2.2,3.2,2.7,2.375,3.2,2.6,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.3,2.5,2,1.71,2,1.72,1.8,2,0,,,,2.075,1.775,-0.25
E1,06/09/03,Stoke,Burnley,1,2,A,0,2,A,M Cooper,12,18,7,12,14,14,4,5,3,2,1,0,1.909,3.25,3.5,2,3.25,3.4,2,3.2,3.1,1.909,3.4,3.25,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.25,3.4,1.9,1.79,1.9,1.8,2.02,1.75,-0.5,,,,2,1.85,-0.5
E1,13/09/03,Bradford,Preston,2,1,H,0,1,A,R Pearson,12,18,3,13,13,14,5,11,3,3,0,1,2.3,3.2,2.7,2.3,3.25,2.85,2.2,3.2,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.2,2.62,1.9,1.79,1.9,1.8,2,1.8,-0.25,2,1.85,-0.25,1.825,2.025,-0.75
E1,13/09/03,Cardiff,Gillingham,5,0,H,4,0,H,A Hall,18,9,14,5,13,16,4,6,0,3,0,0,1.83,3.25,3.75,1.8,3.35,4.2,1.8,3.2,3.7,1.909,3.2,3.5,1.83,3.25,3.75,1.83,3.25,3.75,1.72,3.25,4.2,1.85,1.85,1.9,1.8,1.85,1.95,-0.5,2,1.85,-0.5,1.95,1.9,-0.5
E1,13/09/03,Coventry,Stoke,4,2,H,2,1,H,L Mason,25,8,15,6,13,14,9,6,1,3,0,0,2.1,3.25,3,2.1,3.25,3.2,2,3.2,3.1,2.1,3.2,3,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.85,1.85,2,1.72,1.85,1.95,-0.25,1.75,2.1,-0.25,1.85,2,-0.25
E1,13/09/03,Norwich,Burnley,2,0,H,0,0,D,C Penton,16,11,9,7,16,13,9,10,1,4,0,0,1.83,3.25,3.75,1.83,3.4,3.95,1.85,3.2,3.5,1.8,3.25,3.75,1.83,3.25,3.75,1.83,3.25,3.75,1.83,3.3,3.6,1.71,1.95,1.8,1.9,1.85,1.95,-0.5,1.85,2,-0.5,2,1.85,-0.5
E1,13/09/03,Nott'm Forest,Sheffield United,3,1,H,1,0,H,M Pike,12,8,7,5,9,17,8,4,2,0,0,1,2.2,3.25,2.8,2.25,3.3,2.9,2.2,3.2,2.7,2.1,3.2,3,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.2,2.8,1.79,1.9,1.8,1.9,2,1.8,-0.25,1.95,1.9,-0.25,2.075,1.775,-0.25
E1,13/09/03,Rotherham,Crewe,0,2,A,0,1,A,J P Robinson,17,7,11,6,19,16,6,5,3,2,0,0,2,3.25,3.25,2.05,3.3,3.3,2,3.2,3.1,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.95,1.75,2,1.72,1.85,1.95,-0.25,1.8,2.05,-0.25,1.8,2.1,-0.25
