day,date,home_team,result,away_team
Saturday,March 29,FC Dallas,0-1,NE
Sunday,April 6,Tampa Bay Mutiny,4-0,NE
Saturday,April 12,NY Red Bulls,3-1,NE
Sunday,April 20,NE,2-1,Tampa Bay Mutiny
Saturday,April 26,NE,2-1,Colorado
Saturday,May 3,NE,2-1,Sporting KC
Friday,May 9,NE,0-2,Columbus
Friday,May 16,San Jose,1-2,NE
Sunday,May 18,NE,0-1,D.C. United
Saturday,May 24,Colorado,1-2,NE
Friday,May 30,NE,3-1,NY Red Bulls
Sunday,June 1,NE,3-1,FC Dallas
Sunday,June 8,NE,1-0,LA Galaxy
Saturday,June 14,NE,0-1,D.C. United
Sunday,June 22,NE,3-2,FC Dallas
Friday,July 4,LA Galaxy,2-0,NE
Sunday,July 6,San Jose,3-2,NE
Saturday,July 12,NE,2-0,Sporting KC
Friday,July 18,NE,4-2,Tampa Bay Mutiny
Sunday,July 20,Columbus,1-0,NE
Saturday,July 26,Sporting KC,1-0,NE
Sunday,August 3,NE,1-5,San Jose
Saturday,August 9,Colorado,3-0,NE
Thursday,August 14,NE,1-2,LA Galaxy
Saturday,August 23,Columbus,2-1,NE
Wednesday,August 27,D.C. United,3-2,NE
Saturday,August 30,Tampa Bay Mutiny,4-0,NE
Tuesday,September 9,NY Red Bulls,3-1,NE
Friday,September 12,NE,1-0,Columbus
Tuesday,September 16,D.C. United,3-2,NE
Saturday,September 20,NE,3-2,NY Red Bulls
Thursday,September 25,FC Dallas,1-2,NE
