day,date,home_team,result,away_team
Saturday,March 29,TBM,2-1,NY Red Bulls
Sunday,April 6,TBM,4-0,New England
Saturday,April 12,TBM,2-1,Sporting KC
Sunday,April 20,New England,2-1,TBM
Sunday,April 27,Sporting KC,2-3,TBM
Saturday,May 3,Colorado,2-0,TBM
Saturday,May 10,TBM,2-1,Colorado
Saturday,May 17,FC Dallas,2-0,TBM
Friday,May 23,TBM,1-3,FC Dallas
Sunday,May 25,NY Red Bulls,3-2,TBM
Sunday,June 1,Colorado,2-0,TBM
Saturday,June 7,TBM,3-1,Columbus
Sunday,June 15,LA Galaxy,4-1,TBM
Saturday,June 21,TBM,3-1,San Jose
Wednesday,June 25,Sporting KC,3-2,TBM
Saturday,June 28,TBM,3-2,LA Galaxy
Friday,July 4,TBM,1-0,NY Red Bulls
Sunday,July 6,D.C. United,3-2,TBM
Sunday,July 13,San Jose,2-3,TBM
Friday,July 18,New England,4-2,TBM
Sunday,July 20,TBM,3-1,San Jose
Sunday,July 27,Columbus,0-1,TBM
Sunday,August 3,NY Red Bulls,2-3,TBM
Saturday,August 9,TBM,0-2,Sporting KC
Friday,August 15,TBM,2-1,FC Dallas
Saturday,August 30,TBM,4-0,New England
Sunday,September 7,LA Galaxy,6-1,TBM
Saturday,September 13,TBM,1-2,D.C. United
Thursday,September 18,TBM,2-1,Columbus
Sunday,September 21,D.C. United,1-2,TBM
Friday,September 26,TBM,1-5,D.C. United
Sunday,September 28,Columbus,2-1,TBM
