Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Zach Thornton,CHI,GK,30,30,2728,165,123,37,1.23,4/4,15,6,8,8,50.0,74.5
Kevin Hartman,LA,GK,30,30,2796,190,149,35,1.17,3/4,9,12,9,3,30.0,78.4
Tony Meola,KC,GK,30,30,2797,172,121,44,1.47,6/6,11,10,9,4,36.7,70.3
Pat Onstad,SJ,GK,27,27,2510,138,103,29,1.07,1/1,14,5,8,9,51.9,74.6
Scott Garlick,COL,GK,26,26,2346,123,83,38,1.46,5/6,11,10,5,9,42.3,67.5
Nick Rimando,RSL,GK,25,25,2318,131,100,29,1.16,3/5,10,9,6,7,40.0,76.3
Adin Brown,NE,GK,25,25,2347,136,95,37,1.48,2/3,11,6,8,4,44.0,69.9
D.J. Countess,DAL,GK,24,24,2194,173,115,48,2.0,6/10,5,15,4,2,20.8,66.5
Jon Busch,CLB,GK,24,24,2194,144,104,35,1.46,8/8,9,8,6,4,37.5,72.2
Jonny Walker,MET,GK,14,14,1325,70,55,14,1.0,2/3,4,5,5,4,28.6,78.6
Tim Howard,COL,GK,13,13,1223,96,74,18,1.38,1/2,6,3,4,3,46.2,77.1
Jeff Cassar,DAL,GK,7,6,561,40,23,16,2.67,0/0,1,4,1,2,14.3,57.5
Tom Presthus,CLB,GK,7,6,613,30,21,9,1.5,0/0,1,4,2,2,14.3,70.0
Doug Warren,DC,GK,5,4,404,33,26,6,1.5,2/2,0,2,2,0,0.0,78.8
Matt Reis,NE,GK,5,5,460,23,12,10,2.0,2/2,1,3,1,0,20.0,52.2
Scott Vallow,COL,GK,4,4,380,22,14,7,1.75,2/2,0,2,2,0,0.0,63.6
Paul Grafer,MET,GK,3,3,270,24,14,8,2.67,0/0,1,2,0,1,33.3,58.3
Jon Conway,SJ,GK,3,3,280,18,11,6,2.0,0/0,0,2,1,1,0.0,61.1
Bo Oshoniyi,KC,GK,1,0,7,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Kyle Singer,NE,GK,1,0,9,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Henry Ring,CHI,GK,1,0,11,1,1,0,0.0,0/0,0,0,0,0,0.0,100.0
Dan Popik,LA,GK,1,0,16,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Curtis Spiteri,CHI,GK,1,0,44,10,4,6,6.0,0/0,0,1,0,0,0.0,40.0
Joe Cannon,COL,GK,1,0,44,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Clint Baumstark,CLB,GK,1,1,100,1,0,1,1.0,0/0,0,0,1,0,0.0,0.0
Byron Foss,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Jorge Geddes,DC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Mike McGinty,CHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Michael Ueltschey,CLB,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Josh Saunders,SJ,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Taly Goode,KC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
