Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Ante Razov,CHI,F,26,25,2269,14,6,119,67,5/6,11.8,56.3
Preki,KC,M,30,30,2678,12,17,92,34,5/6,13.0,37.0
Damani Ralph,CHI,F,25,22,1982,11,6,91,36,1/1,12.1,39.6
Taylor Twellman,NE,F,22,20,1893,15,4,90,47,0/1,16.7,52.2
Clint Mathis,MET,M,22,22,2019,9,1,84,35,1/3,10.7,41.7
Carlos Ruiz,LA,F,26,25,2330,15,5,84,51,7/8,17.9,60.7
John Spencer,COL,F,27,25,2264,14,5,81,37,4/5,17.3,45.7
Mark Chung,COL,M,29,29,2639,11,6,78,39,0/0,14.1,50.0
Amado Guevara,MET,M,25,25,2264,3,10,72,37,1/2,4.2,51.4
Brian McBride,CLB,F,24,23,2183,12,3,68,34,2/2,17.6,50.0
Edson Buddle,CLB,F,21,16,1509,10,4,59,26,0/0,16.9,44.1
Chris Carrieri,COL,F,30,27,2457,3,8,54,27,0/0,5.6,50.0
Landon Donovan,SJ,M-F,22,21,1882,12,6,53,30,1/1,22.6,56.6
Jeff Cunningham,CLB,F,21,13,1401,5,7,49,23,1/1,10.2,46.9
Chris Albright,LA,D,27,23,1965,3,4,48,24,0/0,6.3,50.0
Chris Henderson,COL,M,26,25,2180,4,6,47,17,1/1,8.5,36.2
Wolde Harris,KC,F,27,15,1412,2,2,46,23,0/0,4.3,50.0
Shalrie Joseph,NE,M,28,27,2465,2,2,46,17,0/0,4.3,37.0
Francisco Gomez,KC,M,26,18,1640,3,3,45,19,0/0,6.7,42.2
DaMarcus Beasley,HOU,D,22,20,1968,7,5,45,16,0/0,15.6,35.6
Pat Noonan,NE,F,28,17,1642,10,7,44,24,0/0,22.7,54.5
Mike Magee,MET,M,29,19,1704,7,2,44,25,0/0,15.9,56.8
Igor Simutenkov,KC,M-F,21,19,1434,7,3,43,25,0/0,16.3,58.1
Joe-Max Moore,NE,F,16,13,1186,4,7,42,19,0/0,9.5,45.2
Jason Kreis,DAL,M,18,18,1543,7,2,42,21,1/2,16.7,50.0
Freddy Garcia,CLB,M,22,12,1275,1,6,41,12,0/0,2.4,29.3
Brad Davis,DAL,M,26,21,1908,6,5,41,16,2/2,14.6,39.0
Brian Ching,SJ,F,15,14,1235,6,2,39,17,0/0,15.4,43.6
John Wolyniec,MET,F,25,14,1383,5,2,39,20,0/0,12.8,51.3
Ramiro Corrales,SJ,M,25,24,2080,1,2,39,14,0/0,2.6,35.9
Simon Elliott,LA,M,24,23,2141,1,2,39,16,0/0,2.6,41.0
Ricardo Clark,CLB,M,28,28,2590,3,1,38,15,0/0,7.9,39.5
Brian Mullan,SJ,D,30,30,2723,6,9,38,19,0/0,15.8,50.0
Brian Kamler,NE,M,28,28,2322,6,5,37,18,0/0,16.2,48.6
Chris Klein,KC,M,27,27,2527,6,4,37,16,0/0,16.2,43.2
Jose Cancela,NE,M,13,12,1142,1,7,36,13,1/1,2.8,36.1
Chris Brown,KC,M-F,21,12,1324,5,2,35,18,0/0,14.3,51.4
Cobi Jones,LA,M,28,28,2574,2,8,34,8,0/0,5.9,23.5
Manny Lagos,SJ,M,27,17,1543,3,5,33,12,0/0,9.1,36.4
Eric Quill,KC,F,27,25,2260,3,7,33,17,0/0,9.1,51.5
Joselito Vaca,DAL,M,27,21,1869,2,4,32,14,0/0,6.3,43.8
Eddie Johnson,DAL,F,22,13,1262,3,0,31,12,0/1,9.7,38.7
Ben Olsen,DC,M,26,26,2239,4,7,31,13,0/0,12.9,41.9
Hristo Stoitchkov,DC,F,21,9,897,5,5,30,12,2/2,16.7,40.0
Ronald Cerritos,DAL,F,25,19,1765,4,2,30,16,1/1,13.3,53.3
Sasha Victorine,LA,M,20,20,1797,2,1,30,17,0/0,6.7,56.7
Ryan Nelsen,DC,D,25,25,2314,1,0,30,12,0/0,3.3,40.0
Kyle Beckerman,RSL,M,28,24,2123,0,5,29,14,0/0,0.0,48.3
Steve Ralston,NE,M,26,25,2347,4,7,29,15,1/1,13.8,51.7
Ali Curtis,DAL,F,25,18,1508,2,6,28,11,0/0,7.1,39.3
Zizi Roberts,COL,F,12,8,728,5,0,27,16,0/0,18.5,59.3
Bobby Convey,DC,M,19,16,1576,2,1,27,11,0/0,7.4,40.7
Marco Etcheverry,DC,M,25,21,2005,6,7,27,13,5/5,22.2,48.1
Ross Paule,CLB,M,25,25,2212,4,7,27,15,0/0,14.8,55.6
Dema Kovalenko,DC,M,26,26,2401,6,0,26,14,0/0,23.1,53.8
Kyle Martino,CLB,M,22,20,1765,2,4,25,13,0/0,8.0,52.0
Kelly Gray,CHI,D-M,28,20,1908,2,1,25,10,0/0,8.0,40.0
Frankie Hejduk,CLB,D,23,23,2128,0,4,25,10,0/0,0.0,40.0
Joe Franchino,NE,M,25,25,2355,1,4,25,8,0/0,4.0,32.0
Jay Heaps,NE,D,28,28,2579,3,1,25,9,0/0,12.0,36.0
Earnie Stewart,DC,M,21,21,1923,1,2,24,8,0/0,4.2,33.3
Chad Deering,DAL,M,27,26,2187,1,5,24,6,0/0,4.2,25.0
Richard Mulrooney,SJ,M,25,25,2330,0,7,24,7,0/0,0.0,29.2
Eliseo Quintanilla,DC,F-M,18,12,1176,3,3,23,13,1/1,13.0,56.5
Toni Nhleko,DAL,F,11,9,791,2,4,22,7,0/0,9.1,31.8
Andy Williams,CHI,M,20,14,1358,2,7,22,7,0/0,9.1,31.8
Bobby Rhine,DAL,M,25,10,1030,2,1,21,10,0/0,9.5,47.6
Dwayne De Rosario,SJ,M,11,6,684,4,3,20,8,0/0,20.0,40.0
Jesse Marsch,CHI,M,19,16,1465,5,0,20,10,1/1,25.0,50.0
Brian West,CLB,M-F,24,17,1541,4,4,20,10,0/0,20.0,50.0
Oscar Pareja,DAL,M,24,23,1982,1,4,20,3,0/0,5.0,15.0
Alejandro Moreno,LA,F,24,10,1112,6,2,19,12,0/0,31.6,63.2
Justin Mapp,CHI,M,21,18,1383,3,3,19,11,0/0,15.8,57.9
Chris Armas,CHI,M,25,25,2267,2,4,19,7,0/0,10.5,36.8
