Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Preki,KC,M,30,30,17,5,13,4,0.57
Mark Lisi,MET,M,24,20,11,3,5,6,0.54
Amado Guevara,MET,M,25,25,10,4,5,5,0.4
Brian Mullan,SJ,D,30,30,9,2,2,7,0.3
Chris Carrieri,COL,F,30,27,8,4,2,6,0.29
Cobi Jones,LA,M,28,28,8,1,6,2,0.28
Jose Cancela,NE,M,13,12,7,2,4,3,0.55
Joe-Max Moore,NE,F,16,13,7,0,6,1,0.53
Andy Williams,CHI,M,20,14,7,2,2,5,0.46
Jeff Cunningham,CLB,F,21,13,7,1,4,3,0.45
Pat Noonan,NE,F,28,17,7,1,3,4,0.38
Marco Etcheverry,DC,M,25,21,7,2,5,2,0.31
Ross Paule,CLB,M,25,25,7,1,6,1,0.28
Ben Olsen,DC,M,26,26,7,2,5,2,0.28
Eric Quill,KC,F,27,25,7,1,3,4,0.28
Richard Mulrooney,SJ,M,25,25,7,3,2,5,0.27
Steve Ralston,NE,M,26,25,7,1,4,3,0.27
Freddy Garcia,CLB,M,22,12,6,1,4,2,0.42
Ali Curtis,DAL,F,25,18,6,1,3,3,0.36
Landon Donovan,SJ,M-F,22,21,6,2,4,2,0.29
Damani Ralph,CHI,F,25,22,6,3,4,2,0.27
Chris Henderson,COL,M,26,25,6,2,4,2,0.25
Ante Razov,CHI,F,26,25,6,3,3,3,0.24
Mark Chung,COL,M,29,29,6,3,3,3,0.2
Todd Dunivant,SJ,D,30,30,6,1,3,3,0.19
Hristo Stoitchkov,DC,F,21,9,5,1,2,3,0.5
Ian Russell,SJ,D,18,16,5,2,2,3,0.34
Manny Lagos,SJ,M,27,17,5,2,2,3,0.29
Brad Davis,DAL,M,26,21,5,1,3,2,0.24
DaMarcus Beasley,HOU,D,22,20,5,1,4,1,0.23
Kyle Beckerman,RSL,M,28,24,5,3,3,2,0.21
Chad Deering,DAL,M,27,26,5,0,3,2,0.21
John Spencer,COL,F,27,25,5,0,2,3,0.2
Brian Kamler,NE,M,28,28,5,0,4,1,0.19
Carlos Ruiz,LA,F,26,25,5,0,5,0,0.19
Toni Nhleko,DAL,F,11,9,4,0,2,2,0.46
Edson Buddle,CLB,F,21,16,4,1,3,1,0.24
Brian West,CLB,M-F,24,17,4,1,3,1,0.23
Kyle Martino,CLB,M,22,20,4,0,4,0,0.2
Joselito Vaca,DAL,M,27,21,4,1,2,2,0.19
Taylor Twellman,NE,F,22,20,4,0,2,2,0.19
Chris Albright,LA,D,27,23,4,1,2,2,0.18
Oscar Pareja,DAL,M,24,23,4,2,3,1,0.18
Frankie Hejduk,CLB,D,23,23,4,1,1,3,0.17
Chris Armas,CHI,M,25,25,4,0,3,1,0.16
Joe Franchino,NE,M,25,25,4,0,2,2,0.15
Chris Klein,KC,M,27,27,4,2,2,2,0.14
Dwayne De Rosario,SJ,M,11,6,3,1,2,1,0.39
Santino Quaranta,DC,M-F,12,8,3,1,1,2,0.37
Eliseo Quintanilla,DC,F-M,18,12,3,0,1,2,0.23
Justin Mapp,CHI,M,21,18,3,0,2,1,0.2
Igor Simutenkov,KC,M-F,21,19,3,1,1,2,0.19
Ronnie Ekelund,SJ,M,22,17,3,2,2,1,0.19
Francisco Gomez,KC,M,26,18,3,1,2,1,0.16
Brian McBride,CLB,F,24,23,3,0,2,1,0.12
Brian Dunseth,CLB,D,28,26,3,0,1,2,0.11
Jake Traeger,CLB,D,1,0,2,0,2,0,15.0
Casey Schmidt,COL,F,13,1,2,0,2,0,0.5
Zach Kingsley,COL,M,12,5,2,0,1,1,0.38
Daniel Hernandez,NE,M,9,4,2,0,1,1,0.35
Diego Serna,LA,F,10,8,2,1,2,0,0.27
Alex Pineda Chacon,CLB,M,14,7,2,1,1,1,0.26
Nate Jaqua,CHI,F,20,5,2,0,0,2,0.25
Alecko Eskandarian,DC,F,23,5,2,1,0,2,0.25
Alejandro Moreno,LA,F,24,10,2,1,2,0,0.16
Brian Ching,SJ,F,15,14,2,2,0,2,0.15
Chris Brown,KC,M-F,21,12,2,1,1,1,0.14
Mauricio Cienfuegos,LA,M,20,15,2,1,2,0,0.13
John Wolyniec,MET,F,25,14,2,1,1,1,0.13
Wolde Harris,KC,F,27,15,2,0,1,1,0.13
Jason Kreis,DAL,M,18,18,2,1,1,1,0.12
Leo Cullen,NE,M,26,18,2,0,1,1,0.12
Chris Gbandi,DAL,D,22,17,2,0,2,0,0.11
Pablo Mastroeni,COL,M,18,18,2,0,0,2,0.11
Mike Magee,MET,M,29,19,2,0,1,1,0.11
Eddie Pope,MET,D,20,20,2,0,1,1,0.1
Ronald Cerritos,DAL,F,25,19,2,0,2,0,0.1
Carlos Bocanegra,CHI,D,19,19,2,1,1,1,0.1
Craig Ziadie,MET,D,22,20,2,0,2,0,0.09
Earnie Stewart,DC,M,21,21,2,1,1,1,0.09
Chris Roner,SJ,M,23,21,2,1,2,0,0.09
Craig Waibel,SJ,D,24,22,2,0,0,2,0.09
Ramiro Corrales,SJ,M,25,24,2,0,0,2,0.09
Simon Elliott,LA,M,24,23,2,1,1,1,0.08
Danny Califf,LA,D,23,23,2,1,2,0,0.08
Hong Myung Bo,LA,D,25,25,2,2,2,0,0.08
Richie Williams,MET,M,26,26,2,0,1,1,0.08
Shalrie Joseph,NE,M,28,27,2,0,1,1,0.07
Kerry Zavagnin,KC,M,29,27,2,0,1,1,0.07
Jeff Agoos,SJ,D,28,28,2,0,2,0,0.07
Wes Hart,COL,D-M,29,29,2,0,1,1,0.07
Jonathan Bolanos,CHI,M,2,1,1,0,0,1,0.98
Dipsy Selolwane,CHI,F,5,1,1,1,1,0,0.55
Jorge Vazquez,KC,M,4,2,1,0,1,0,0.46
Ryan Futagaki,CHI,M,6,2,1,0,1,0,0.41
Rodrigo Faria,CHI,F,9,7,1,0,1,0,0.16
Arturo Alvarez,HOU,M,15,5,1,0,0,1,0.14
Gavin Glinton,DAL,F,19,7,1,0,0,1,0.13
Eddie Gaven,MET,M,12,7,1,1,0,1,0.13
Paul Broome,DAL,M,11,8,1,0,1,0,0.12
Antonio Martinez,DAL,F-M,14,8,1,0,1,0,0.12
Josh Wolff,KC,F,13,9,1,1,1,0,0.1
Bobby Rhine,DAL,M,25,10,1,0,1,0,0.09
Jose Alegria,DC,M,17,13,1,0,1,0,0.08
Seth Trembly,COL,M-D,16,11,1,0,0,1,0.08
Eddie Robinson,SJ,D,13,13,1,0,1,0,0.08
Carey Talley,KC,D,20,13,1,0,0,1,0.07
Bobby Convey,DC,M,19,16,1,0,1,0,0.06
Bryan Namoff,DC,D,22,17,1,0,1,0,0.05
C.J. Brown,CHI,D,21,19,1,0,1,0,0.05
Alexi Lalas,LA,D,22,19,1,0,0,1,0.05
Sasha Victorine,LA,M,20,20,1,0,0,1,0.05
Kelly Gray,CHI,D-M,28,20,1,1,0,1,0.05
Galin Ivanov,DC,D,24,22,1,0,1,0,0.04
Clint Mathis,MET,M,22,22,1,0,1,0,0.04
Ezra Hendrickson,DAL,D,28,25,1,0,1,0,0.04
Evan Whitfield,CHI,D,27,25,1,0,0,1,0.04
Ritchie Kotschau,COL,D,26,25,1,1,1,0,0.04
Eric Denton,CLB,D,26,25,1,0,0,1,0.04
Jay Heaps,NE,D,28,28,1,0,1,0,0.03
Ricardo Clark,CLB,M,28,28,1,0,1,0,0.03
Mike Clark,CLB,D,29,29,1,0,0,1,0.03
Jim Curtin,CHI,D,30,30,1,0,0,1,0.03
Jimmy Conrad,KC,D,30,30,1,0,1,0,0.03
Brian Carroll,DC,M,0,0,0,0,0,0,0.0
Tim Glowienka,MET,D,0,0,0,0,0,0,0.0
Johanes Maliza,SJ,M,0,0,0,0,0,0,0.0
Andres Murriagui,CLB,M,0,0,0,0,0,0,0.0
Michael Piserchio,COL,D-M,0,0,0,0,0,0,0.0
Kevin Friedland,KC,D,0,0,0,0,0,0,0.0
Nick Walls,CHI,M,0,0,0,0,0,0,0.0
David Stokes,DC,D,0,0,0,0,0,0,0.0
Jason Thompson,DAL,F,0,0,0,0,0,0,0.0
Scot Thompson,LA,D,0,0,0,0,0,0,0.0
Andy Rosenband,DAL,M,0,0,0,0,0,0,0.0
Jeff Moore,MET,M,0,0,0,0,0,0,0.0
Nick Downing,NE,D,0,0,0,0,0,0,0.0
Tony Frias,NE,M,0,0,0,0,0,0,0.0
Billy Sleeth,COL,D,0,0,0,0,0,0,0.0
Carl Bussey,DAL,M,0,0,0,0,0,0,0.0
Gilles Grimandi,COL,M-D,0,0,0,0,0,0,0.0
Hérculez Gómez,LA,F,1,0,0,0,0,0,0.0
Taylor Graham,KC,D,2,0,0,0,0,0,0.0
Michael Ritch,CLB,F,3,0,0,0,0,0,0.0
Isaias Bardales Jr.,LA,F,1,0,0,0,0,0,0.0
Alex Blake,COL,F,3,0,0,0,0,0,0.0
Trevor Perea,CLB,M,2,0,0,0,0,0,0.0
Mandi Urbas,DAL,M,3,0,0,0,0,0,0.0
Roger Levesque,SJ,M,3,0,0,0,0,0,0.0
Chris Bagley,NE,F,3,0,0,0,0,0,0.0
Jack Jewsbury,KC,M,2,1,0,0,0,0,0.0
Ibrahim Kante,NE,F,2,0,0,0,0,0,0.0
Mike Nugent,MET,F,1,1,0,0,0,0,0.0
Jose Retiz,LA,M,5,0,0,0,0,0,0.0
Devin Barclay,DC,F,3,1,0,0,0,0,0.0
Craig Capano,CHI,M,5,1,0,0,0,0,0.0
Guillermo Gonzalez,LA,M,6,1,0,0,0,0,0.0
Andrzej Juskowiak,MET,F,5,0,0,0,0,0,0.0
Chris Brunt,KC,D,4,2,0,0,0,0,0.0
Stephen Herdsman,COL,D,3,3,0,0,0,0,0.0
Jacob LeBlanc,MET,M,7,2,0,0,0,0,0.0
Jose Galvan,MET,M,9,2,0,0,0,0,0.0
Jeff Matteo,CLB,M,6,3,0,0,0,0,0.0
Alberto Rizo,COL,D,6,3,0,0,0,0,0.0
Ronnie O'Brien,DAL,M,6,3,0,0,0,0,0.0
Jason Moore,NE,M,13,1,0,0,0,0,0.0
Arturo Torres,LA,F,9,3,0,0,0,0,0.0
Daryl Powell,COL,M,5,4,0,0,0,0,0.0
Jose Burciaga Jr.,KC,D,4,4,0,0,0,0,0.0
Thiago Martins,DC,F,5,4,0,0,0,0,0.0
Jamil Walker,SJ,M-F,19,0,0,0,0,0,0.0
Mark Williams,CLB,D,5,5,0,0,0,0,0.0
Kenny Arena,MET,D,10,5,0,0,0,0,0.0
Nelson Akwari,CLB,D,11,5,0,0,0,0,0.0
Philip Salyer,DAL,D,8,5,0,0,0,0,0.0
Jaime Moreno,MET,F,11,7,0,0,0,0,0.0
Marshall Leonard,NE,M,10,5,0,0,0,0,0.0
Daniel Torres,CLB,D,8,6,0,0,0,0,0.0
Jesus Ochoa,LA,M,10,7,0,0,0,0,0.0
Jeff Stewart,COL,D,8,7,0,0,0,0,0.0
Diego Walsh,CLB,M,14,6,0,0,0,0,0.0
Dario Fabbro,KC,F,16,9,0,0,0,0,0.0
Joseph Addo,MET,D,8,7,0,0,0,0,0.0
Zizi Roberts,COL,F,12,8,0,0,0,0,0.0
Tim Regan,MET,D,15,7,0,0,0,0,0.0
Matt Crawford,COL,M,16,8,0,0,0,0,0.0
Juan Forchetti,MET,D,10,8,0,0,0,0,0.0
Troy Dayak,SJ,D,9,8,0,0,0,0,0.0
Ricky Lewis,LA,D,13,7,0,0,0,0,0.0
Davy Arnaud,KC,M,18,7,0,0,0,0,0.0
Matt Behncke,DAL,D,13,9,0,0,0,0,0.0
Chris Leitch,MET,D,15,10,0,0,0,0,0.0
Edgar Bartolomeu,MET,D,13,11,0,0,0,0,0.0
Jordan Stone,DAL,M,16,9,0,0,0,0,0.0
Stephen Armstrong,KC,M,23,9,0,0,0,0,0.0
Chad McCarty,CLB,D,19,14,0,0,0,0,0.0
Alex Zotinca,KC,D,20,14,0,0,0,0,0.0
Shavar Thomas,DAL,D,15,14,0,0,0,0,0.0
Eddie Johnson,DAL,F,22,13,0,0,0,0,0.0
Daouda Kante,NE,D,16,14,0,0,0,0,0.0
Logan Pause,CHI,M,23.0,15.0,0.0,0.0,0.0,0.0,0.0
Ryan Suarez,DAL,D,15.0,15.0,0.0,0.0,0.0,0.0,0.0
Joey DiGiamarino,MET,M,18.0,16.0,0.0,0.0,0.0,0.0,0.0
Jesse Marsch,CHI,M,19.0,16.0,0.0,0.0,0.0,0.0,0.0
Steve Morrow,DAL,D,17.0,17.0,0.0,0.0,0.0,0.0,0.0
Diego Gutierrez,KC,D,20.0,17.0,0.0,0.0,0.0,0.0,0.0
Orlando Perez,CHI,D,21.0,18.0,0.0,0.0,0.0,0.0,0.0
Duncan Oughton,CLB,D,23.0,18.0,0.0,0.0,0.0,0.0,0.0
Peter Vagenas,LA,M,20.0,18.0,0.0,0.0,0.0,0.0,0.0
Brian Maisonneuve,CLB,M,23.0,20.0,0.0,0.0,0.0,0.0,0.0
Tenywa Bonseu,DAL,D,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Rusty Pierce,NE,D,21.0,21.0,0.0,0.0,0.0,0.0,0.0
Tyrone Marshall,LA,D,25.0,19.0,0.0,0.0,0.0,0.0,0.0
Carlos Llamosa,NE,D,24.0,23.0,0.0,0.0,0.0,0.0,0.0
Nat Borchers,COL,D,23.0,22.0,0.0,0.0,0.0,0.0,0.0
Steve Jolley,MET,D,24.0,23.0,0.0,0.0,0.0,0.0,0.0
Ryan Nelsen,DC,D,25.0,25.0,0.0,0.0,0.0,0.0,0.0
Robin Fraser,COL,D,26.0,26.0,0.0,0.0,0.0,0.0,0.0
Mike Petke,DC,D,25.0,25.0,0.0,0.0,0.0,0.0,0.0
Dema Kovalenko,DC,M,26.0,26.0,0.0,0.0,0.0,0.0,0.0
Brandon Prideaux,DC,D,28.0,27.0,0.0,0.0,0.0,0.0,0.0
Nick Garcia,KC,D,29.0,29.0,0.0,0.0,0.0,0.0,0.0
Milton Reyes,nan,D-M,nan,nan,nan,nan,nan,nan,0.0
Winston Griffiths,nan,M,nan,nan,nan,nan,nan,nan,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan
