Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Carlos Ruiz,LA,F,26,25,2330,15,5,84,51,76,87,46,7,1
Dema Kovalenko,DC,M,26,26,2401,6,0,26,14,67,68,1,6,1
Shalrie Joseph,NE,M,28,27,2465,2,2,46,17,62,54,1,5,0
Oscar Pareja,DAL,M,24,23,1982,1,4,20,3,58,48,5,9,0
Chad Deering,DAL,M,27,26,2187,1,5,24,6,57,23,0,7,1
Evan Whitfield,CHI,D,27,25,2328,1,1,14,8,57,44,6,6,0
Brian Mullan,SJ,D,30,30,2723,6,9,38,19,57,54,15,6,0
Chris Albright,LA,D,27,23,1965,3,4,48,24,56,38,4,5,0
Chris Henderson,COL,M,26,25,2180,4,6,47,17,56,28,23,2,0
Brian Maisonneuve,CLB,M,23,20,1729,1,0,9,3,55,25,1,5,0
Kyle Beckerman,RSL,M,28,24,2123,0,5,29,14,52,29,2,5,1
Richie Williams,MET,M,26,26,2337,0,2,12,4,51,36,2,6,0
Jay Heaps,NE,D,28,28,2579,3,1,25,9,50,28,1,5,1
Kerry Zavagnin,KC,M,29,27,2486,1,2,12,2,49,41,1,6,0
DaMarcus Beasley,HOU,D,22,20,1968,7,5,45,16,48,96,9,5,0
Joe Franchino,NE,M,25,25,2355,1,4,25,8,48,29,0,7,0
Tyrone Marshall,LA,D,25,19,1880,0,0,9,0,47,21,1,6,0
Craig Waibel,SJ,D,24,22,1991,0,2,9,4,47,9,0,7,1
Ben Olsen,DC,M,26,26,2239,4,7,31,13,47,80,6,1,0
Ricardo Clark,CLB,M,28,28,2590,3,1,38,15,46,58,4,5,0
Ramiro Corrales,SJ,M,25,24,2080,1,2,39,14,45,26,0,6,2
Mike Clark,CLB,D,29,29,2673,0,1,10,2,44,22,2,5,1
Jimmy Conrad,KC,D,30,30,2777,4,1,18,8,44,18,2,2,0
Pablo Mastroeni,COL,M,18,18,1655,0,2,6,0,41,25,0,7,1
Brad Davis,DAL,M,26,21,1908,6,5,41,16,41,42,7,1,0
Amado Guevara,MET,M,25,25,2264,3,10,72,37,41,64,4,7,1
Mike Petke,DC,D,25,25,2343,3,0,11,8,41,10,0,9,0
Ante Razov,CHI,F,26,25,2269,14,6,119,67,40,44,37,3,1
Brian Dunseth,CLB,D,28,26,2394,2,3,11,6,40,14,0,6,0
Clint Mathis,MET,M,22,22,2019,9,1,84,35,39,40,14,6,1
Ryan Nelsen,DC,D,25,25,2314,1,0,30,12,39,18,0,5,1
Brandon Prideaux,DC,D,28,27,2586,0,0,1,0,39,37,2,6,0
Ronnie Ekelund,SJ,M,22,17,1454,1,3,15,5,38,18,1,5,0
Carlos Bocanegra,CHI,D,19,19,1784,1,2,10,5,38,22,1,8,1
Danny Califf,LA,D,23,23,2162,0,2,13,5,38,17,0,3,0
Craig Ziadie,MET,D,22,20,1912,1,2,5,2,37,20,0,6,0
Ritchie Kotschau,COL,D,26,25,2333,1,1,17,3,37,27,0,6,0
Ryan Suarez,DAL,D,15,15,1356,1,0,9,3,36,14,2,5,1
Kyle Martino,CLB,M,22,20,1765,2,4,25,13,36,79,3,1,0
John Spencer,COL,F,27,25,2264,14,5,81,37,36,40,24,3,0
Jim Curtin,CHI,D,30,30,2733,0,1,10,3,36,20,1,4,0
Galin Ivanov,DC,D,24,22,2009,1,1,16,8,35,15,1,6,0
Nick Garcia,KC,D,29,29,2689,0,0,7,2,35,32,1,5,1
Seth Trembly,COL,M-D,16,11,1111,1,1,16,6,34,26,0,5,0
Alex Zotinca,KC,D,20,14,1237,1,0,11,5,34,22,0,6,0
Shavar Thomas,DAL,D,15,14,1251,1,0,4,2,34,6,0,2,1
Bobby Convey,DC,M,19,16,1576,2,1,27,11,34,33,6,4,1
Taylor Twellman,NE,F,22,20,1893,15,4,90,47,34,57,23,2,0
Carlos Llamosa,NE,D,24,23,2001,0,0,0,0,34,22,0,9,0
Wes Hart,COL,D-M,29,29,2623,0,2,12,4,34,40,1,5,0
Diego Gutierrez,KC,D,20,17,1558,0,0,12,2,33,31,2,6,0
Mike Magee,MET,M,29,19,1704,7,2,44,25,33,43,11,1,0
Ross Paule,CLB,M,25,25,2212,4,7,27,15,33,22,2,2,0
Chris Armas,CHI,M,25,25,2267,2,4,19,7,33,38,2,3,0
Andy Williams,CHI,M,20,14,1358,2,7,22,7,32,45,2,3,0
Duncan Oughton,CLB,D,23,18,1715,0,0,16,8,32,26,0,6,0
Alexi Lalas,LA,D,22,19,1760,1,1,11,5,32,13,2,4,0
Jose Alegria,DC,M,17,13,1091,0,1,12,5,31,21,0,4,0
Brian Ching,SJ,F,15,14,1235,6,2,39,17,31,44,13,0,0
Wolde Harris,KC,F,27,15,1412,2,2,46,23,31,34,16,0,0
Peter Vagenas,LA,M,20,18,1723,0,0,7,3,31,23,1,3,0
Steve Jolley,MET,D,24,23,2193,4,0,11,9,31,22,0,3,0
Eric Denton,CLB,D,26,25,2336,2,1,10,7,31,25,0,7,0
Ian Russell,SJ,D,18,16,1337,0,5,14,5,30,18,10,3,0
Landon Donovan,SJ,M-F,22,21,1882,12,6,53,30,30,38,6,4,0
Marco Etcheverry,DC,M,25,21,2005,6,7,27,13,30,52,4,6,0
Nat Borchers,COL,D,23,22,2101,0,0,0,0,30,14,0,2,1
John Wolyniec,MET,F,25,14,1383,5,2,39,20,29,32,15,3,0
Mark Lisi,MET,M,24,20,1827,1,11,17,7,29,27,1,5,0
Damani Ralph,CHI,F,25,22,1982,11,6,91,36,29,56,22,1,0
Frankie Hejduk,CLB,D,23,23,2128,0,4,25,10,29,43,2,6,0
Richard Mulrooney,SJ,M,25,25,2330,0,7,24,7,29,54,1,2,0
Chris Carrieri,COL,F,30,27,2457,3,8,54,27,29,45,27,5,0
Bryan Namoff,DC,D,22,17,1663,0,1,3,1,28,20,1,3,0
Rusty Pierce,NE,D,21,21,1878,0,0,2,1,28,27,0,7,1
Eddie Robinson,SJ,D,13,13,1121,1,1,5,3,27,17,0,2,0
Eliseo Quintanilla,DC,F-M,18,12,1176,3,3,23,13,27,24,5,3,0
Igor Simutenkov,KC,M-F,21,19,1434,7,3,43,25,27,36,11,3,0
Joey DiGiamarino,MET,M,18,16,1445,0,0,4,2,27,22,0,2,1
Jesse Marsch,CHI,M,19,16,1465,5,0,20,10,27,23,2,2,0
Chris Gbandi,DAL,D,22,17,1569,1,2,4,3,27,22,3,4,0
Eddie Pope,MET,D,20,20,1724,0,2,15,6,27,20,1,3,0
Hong Myung Bo,LA,D,25,25,2296,0,2,7,0,27,17,0,4,0
Brian Kamler,NE,M,28,28,2322,6,5,37,18,27,30,2,1,1
Robin Fraser,COL,D,26,26,2335,0,0,1,0,27,21,0,2,1
Stephen Armstrong,KC,M,23,9,1098,2,0,17,9,26,20,4,2,0
Eddie Johnson,DAL,F,22,13,1262,3,0,31,12,26,31,16,2,0
Chris Roner,SJ,M,23,21,1939,2,2,16,8,26,15,0,2,0
Eric Quill,KC,F,27,25,2260,3,7,33,17,26,33,14,6,0
Daouda Kante,NE,D,16,14,1319,0,0,2,2,25,3,0,5,1
Orlando Perez,CHI,D,21,18,1634,2,0,12,5,25,9,2,2,0
Sasha Victorine,LA,M,20,20,1797,2,1,30,17,25,23,1,3,0
Simon Elliott,LA,M,24,23,2141,1,2,39,16,25,25,1,1,0
Ezra Hendrickson,DAL,D,28,25,2303,1,1,18,4,25,13,0,4,1
Chad McCarty,CLB,D,19,14,1224,0,0,4,0,24,12,0,5,0
Ali Curtis,DAL,F,25,18,1508,2,6,28,11,24,47,10,2,0
Edson Buddle,CLB,F,21,16,1509,10,4,59,26,24,20,21,2,0
Brian West,CLB,M-F,24,17,1541,4,4,20,10,24,18,7,2,0
Joselito Vaca,DAL,M,27,21,1869,2,4,32,14,24,29,6,1,0
Kelly Gray,CHI,D-M,28,20,1908,2,1,25,10,24,14,1,3,0
Toni Nhleko,DAL,F,11,9,791,2,4,22,7,23,12,19,2,0
Carey Talley,KC,D,20,13,1341,0,1,3,0,23,19,1,5,0
Tenywa Bonseu,DAL,D,20,20,1789,0,0,4,2,23,13,0,2,1
Mark Chung,COL,M,29,29,2639,11,6,78,39,23,39,6,1,1
Bobby Rhine,DAL,M,25,10,1030,2,1,21,10,22,20,8,3,0
Alejandro Moreno,LA,F,24,10,1112,6,2,19,12,22,40,8,1,0
Logan Pause,CHI,M,23,15,1351,0,0,4,1,22,15,0,3,0
Steve Morrow,DAL,D,17,17,1484,0,0,6,2,22,5,0,0,0
Manny Lagos,SJ,M,27,17,1543,3,5,33,12,22,25,8,3,1
Pat Noonan,NE,F,28,17,1642,10,7,44,24,22,37,5,0,0
Earnie Stewart,DC,M,21,21,1923,1,2,24,8,22,12,9,3,0
Zizi Roberts,COL,F,12,8,728,5,0,27,16,21,15,10,0,0
Jason Kreis,DAL,M,18,18,1543,7,2,42,21,21,22,17,3,0
C.J. Brown,CHI,D,21,19,1728,0,1,7,2,21,17,0,2,1
Cobi Jones,LA,M,28,28,2574,2,8,34,8,21,65,7,4,0
Jeff Agoos,SJ,D,28,28,2593,2,2,17,4,21,25,0,6,0
Daniel Hernandez,NE,M,9,4,520,0,2,8,2,20,10,0,0,0
Nate Jaqua,CHI,F,20,5,708,2,2,17,7,20,13,4,1,0
Davy Arnaud,KC,M,18,7,812,3,0,11,5,20,20,9,3,0
Francisco Gomez,KC,M,26,18,1640,3,3,45,19,20,26,1,3,0
Brian McBride,CLB,F,24,23,2183,12,3,68,34,20,78,15,3,0
Preki,KC,M,30,30,2678,12,17,92,34,20,60,3,5,0
Diego Walsh,CLB,M,14,6,610,1,0,9,4,19,4,3,2,1
Jeff Cunningham,CLB,F,21,13,1401,5,7,49,23,19,30,26,2,0
Chris Klein,KC,M,27,27,2527,6,4,37,16,19,25,14,1,0
Josh Wolff,KC,F,13,9,868,2,1,14,9,18,12,10,1,0
Hristo Stoitchkov,DC,F,21,9,897,5,5,30,12,18,27,8,6,0
Steve Ralston,NE,M,26,25,2347,4,7,29,15,18,24,2,1,0
Arturo Alvarez,HOU,M,15,5,651,1,1,6,2,17,11,0,2,0
Justin Mapp,CHI,M,21,18,1383,3,3,19,11,17,38,2,0,0
Ronald Cerritos,DAL,F,25,19,1765,4,2,30,16,17,20,19,0,0
Todd Dunivant,SJ,D,30,30,2778,1,6,19,11,17,18,2,2,0
Thiago Martins,DC,F,5,4,359,0,0,7,3,16,11,1,1,0
Mark Williams,CLB,D,5,5,391,0,0,3,0,16,2,0,5,0
Jeff Stewart,COL,D,8,7,607,0,0,1,1,16,5,0,3,0
Tim Regan,MET,D,15,7,745,0,0,5,2,16,6,0,0,0
Edgar Bartolomeu,MET,D,13,11,999,0,0,6,0,16,23,0,1,0
Paul Broome,DAL,M,11,8,748,0,1,3,1,15,12,1,2,1
Matt Behncke,DAL,D,13,9,826,0,0,6,1,15,13,1,1,0
Joe-Max Moore,NE,F,16,13,1186,4,7,42,19,15,28,5,0,1
Daryl Powell,COL,M,5,4,335,0,0,1,1,14,9,0,2,0
Diego Serna,LA,F,10,8,660,3,2,8,5,14,14,1,1,0
Juan Forchetti,MET,D,10,8,775,0,0,1,1,14,11,0,1,0
Jordan Stone,DAL,M,16,9,1055,0,0,1,0,14,9,0,1,1
Mauricio Cienfuegos,LA,M,20,15,1342,0,2,13,6,14,21,1,3,1
Jose Cancela,NE,M,13,12,1142,1,7,36,13,13,64,0,0,0
Ronnie O'Brien,DAL,M,6,3,317,1,0,10,5,12,5,0,0,0
Kenny Arena,MET,D,10,5,458,0,0,3,1,12,4,1,1,1
Dwayne De Rosario,SJ,M,11,6,684,4,3,20,8,12,10,13,0,0
Alecko Eskandarian,DC,F,23,5,724,3,2,15,7,12,16,2,3,1
Freddy Garcia,CLB,M,22,12,1275,1,6,41,12,12,23,5,0,0
Leo Cullen,NE,M,26,18,1563,0,2,7,2,12,12,1,1,0
Arturo Torres,LA,F,9,3,333,0,0,6,4,11,5,0,1,0
Jamil Walker,SJ,M-F,19,0,361,4,0,18,13,11,8,5,1,0
Daniel Torres,CLB,D,8,6,561,0,0,0,0,11,5,1,1,0
Rodrigo Faria,CHI,F,9,7,578,0,1,18,4,11,11,9,0,0
Eddie Gaven,MET,M,12,7,691,1,1,13,9,11,19,5,0,0
Jose Galvan,MET,M,9,2,264,0,0,2,0,10,22,0,1,0
Dario Fabbro,KC,F,16,9,689,2,0,10,5,10,10,11,1,1
Troy Dayak,SJ,D,9,8,784,0,0,2,0,10,4,0,2,0
Ricky Lewis,LA,D,13,7,794,0,0,0,0,10,10,1,1,0
Jeff Matteo,CLB,M,6,3,285,1,0,2,1,9,9,0,1,0
Marshall Leonard,NE,M,10,5,549,0,0,2,0,9,11,0,1,0
Santino Quaranta,DC,M-F,12,8,738,1,3,14,8,9,14,4,0,0
Chris Leitch,MET,D,15,10,991,0,0,3,1,9,8,0,0,0
Dipsy Selolwane,CHI,F,5,1,164,1,1,5,2,8,1,0,1,0
Zach Kingsley,COL,M,12,5,477,0,2,4,3,8,19,1,0,0
Gavin Glinton,DAL,F,19,7,669,1,1,16,10,8,19,8,1,0
Matt Crawford,COL,M,16,8,746,1,0,3,2,8,14,0,0,0
Chris Brown,KC,M-F,21,12,1324,5,2,35,18,8,7,2,0,0
Nelson Akwari,CLB,D,11,5,486,0,0,1,1,7,3,0,1,0
Jaime Moreno,MET,F,11,7,517,2,0,10,6,7,15,3,0,0
Joseph Addo,MET,D,8,7,699,0,0,1,1,7,5,0,0,0
Antonio Martinez,DAL,F-M,14,8,775,1,1,13,5,7,19,2,0,0
Ryan Futagaki,CHI,M,6,2,218,0,1,3,0,6,4,0,0,0
Jose Burciaga Jr.,KC,D,4,4,347,0,0,2,2,6,5,0,1,0
Casey Schmidt,COL,F,13,1,359,0,2,4,0,6,7,0,0,0
Philip Salyer,DAL,D,8,5,491,0,0,3,0,6,4,0,1,0
Jose Retiz,LA,M,5,0,111,0,0,0,0,5,10,0,2,0
Devin Barclay,DC,F,3,1,113,0,0,0,0,5,3,2,1,0
Jason Moore,NE,M,13,1,326,0,0,4,2,5,9,5,1,0
Chris Brunt,KC,D,4,2,165,1,0,2,1,4,3,0,0,0
Jorge Vazquez,KC,M,4,2,197,0,1,1,0,4,9,0,0,0
Alberto Rizo,COL,D,6,3,296,0,0,2,2,4,2,2,1,0
Alex Pineda Chacon,CLB,M,14,7,700,0,2,15,8,4,8,4,0,0
Andrzej Juskowiak,MET,F,5,0,158,1,0,7,3,3,5,0,0,0
Stephen Herdsman,COL,D,3,3,198,0,0,0,0,3,1,0,1,0
Jacob LeBlanc,MET,M,7,2,221,2,0,3,2,3,2,0,1,0
Jesus Ochoa,LA,M,10,7,569,0,0,5,0,3,10,0,0,0
Isaias Bardales Jr.,LA,F,1,0,21,0,0,0,0,2,0,0,0,0
Alex Blake,COL,F,3,0,23,0,0,1,0,2,1,0,0,0
Chris Bagley,NE,F,3,0,59,0,0,0,0,1,1,0,0,0
Jonathan Bolanos,CHI,M,2,1,92,0,1,2,0,1,5,1,0,0
Craig Capano,CHI,M,5,1,120,0,0,0,0,1,2,0,0,0
Jeff Moore,MET,M,0,0,0,0,0,0,0,0,0,0,0,0
Nick Downing,NE,D,0,0,0,0,0,0,0,0,0,0,0,0
Tony Frias,NE,M,0,0,0,0,0,0,0,0,0,0,0,0
Billy Sleeth,COL,D,0,0,0,0,0,0,0,0,0,0,0,0
Carl Bussey,DAL,M,0,0,0,0,0,0,0,0,0,0,0,0
Gilles Grimandi,COL,M-D,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Friedland,KC,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Piserchio,COL,D-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Stokes,DC,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Thompson,DAL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scot Thompson,LA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andres Murriagui,CLB,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johanes Maliza,SJ,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Glowienka,MET,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Carroll,DC,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Rosenband,DAL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Walls,CHI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hérculez Gómez,LA,F,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Graham,KC,D,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Traeger,CLB,D,1.0,0.0,12.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Michael Ritch,CLB,F,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Perea,CLB,M,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandi Urbas,DAL,M,3.0,0.0,40.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Roger Levesque,SJ,M,3.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jack Jewsbury,KC,M,2.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Kante,NE,F,2.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Mike Nugent,MET,F,1.0,1.0,90.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0
Guillermo Gonzalez,LA,M,6.0,1.0,129.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
Winston Griffiths,nan,M,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Milton Reyes,nan,D-M,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
