day,date,home_team,result,away_team
Sunday,April 13,Chicago,1-1,NE
Saturday,April 19,NE,1-2,Columbus
Saturday,April 26,FC Dallas,1-2,NE
Saturday,May 3,NE,0-2,San Jose
Saturday,May 10,NE,2-0,LA Galaxy
Wednesday,May 14,Sporting KC,1-1,NE
Saturday,May 17,NE,3-0,Chicago
Saturday,May 24,Columbus,2-3,NE
Saturday,May 31,NE,2-2,Sporting KC
Saturday,June 14,Colorado,4-1,NE
Saturday,June 21,D.C. United,1-1,NE
Saturday,June 28,NE,3-2,Colorado
Friday,July 4,LA Galaxy,2-2,NE
Saturday,July 12,NE,3-3,NY Red Bulls
Wednesday,July 16,NE,1-2,FC Dallas
Saturday,July 19,Chicago,3-1,NE
Wednesday,July 23,Columbus,1-1,NE
Sunday,July 27,NE,2-4,D.C. United
Saturday,August 9,D.C. United,1-0,NE
Saturday,August 16,NE,1-1,San Jose
Saturday,August 23,LA Galaxy,2-1,NE
Saturday,August 30,NE,5-1,Chicago
Sunday,September 7,San Jose,2-1,NE
Saturday,September 13,NY Red Bulls,1-2,NE
Thursday,September 18,NE,0-0,Colorado
Sunday,September 28,NE,3-2,Columbus
Saturday,October 4,FC Dallas,1-4,NE
Saturday,October 11,NE,1-0,D.C. United
Saturday,October 18,NY Red Bulls,1-2,NE
Saturday,October 25,NE,5-2,NY Red Bulls
