Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Scott Garlick,COL,GK,26,26,2346,38,1.46,5/6,11,10,5,9,42.3
Pat Onstad,SJ,GK,27,27,2510,29,1.07,1/1,14,5,8,9,51.9
Zach Thornton,CHI,GK,30,30,2728,37,1.23,4/4,15,6,8,8,50.0
Nick Rimando,RSL,GK,25,25,2318,29,1.16,3/5,10,9,6,7,40.0
Jonny Walker,MET,GK,14,14,1325,14,1.0,2/3,4,5,5,4,28.6
Jon Busch,CLB,GK,24,24,2194,35,1.46,8/8,9,8,6,4,37.5
Adin Brown,NE,GK,25,25,2347,37,1.48,2/3,11,6,8,4,44.0
Tony Meola,KC,GK,30,30,2797,44,1.47,6/6,11,10,9,4,36.7
Tim Howard,COL,GK,13,13,1223,18,1.38,1/2,6,3,4,3,46.2
Kevin Hartman,LA,GK,30,30,2796,35,1.17,3/4,9,12,9,3,30.0
Jeff Cassar,DAL,GK,7,6,561,16,2.67,0/0,1,4,1,2,14.3
Tom Presthus,CLB,GK,7,6,613,9,1.5,0/0,1,4,2,2,14.3
D.J. Countess,DAL,GK,24,24,2194,48,2.0,6/10,5,15,4,2,20.8
Paul Grafer,MET,GK,3,3,270,8,2.67,0/0,1,2,0,1,33.3
Jon Conway,SJ,GK,3,3,280,6,2.0,0/0,0,2,1,1,0.0
Josh Saunders,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Byron Foss,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jorge Geddes,DC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mike McGinty,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Michael Ueltschey,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Taly Goode,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Bo Oshoniyi,KC,GK,1,0,7,0,0.0,0/0,0,0,0,0,0.0
Henry Ring,CHI,GK,1,0,11,0,0.0,0/0,0,0,0,0,0.0
Joe Cannon,COL,GK,1,0,44,0,0.0,0/0,0,0,0,0,0.0
Dan Popik,LA,GK,1,0,16,0,0.0,0/0,0,0,0,0,0.0
Kyle Singer,NE,GK,1,0,9,0,0.0,0/0,0,0,0,0,0.0
Curtis Spiteri,CHI,GK,1,0,44,6,6.0,0/0,0,1,0,0,0.0
Clint Baumstark,CLB,GK,1,1,100,1,1.0,0/0,0,0,1,0,0.0
Scott Vallow,COL,GK,4,4,380,7,1.75,2/2,0,2,2,0,0.0
Doug Warren,DC,GK,5,4,404,6,1.5,2/2,0,2,2,0,0.0
Matt Reis,NE,GK,5,5,460,10,2.0,2/2,1,3,1,0,20.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
