day,date,home_team,result,away_team
Saturday,March 21,LA,4-3,San Jose
Saturday,March 28,LA,3-2,NY Red Bulls
Saturday,April 4,Colorado,0-1,LA
Saturday,April 11,NY Red Bulls,2-3,LA
Saturday,April 18,Sporting KC,1-2,LA
Saturday,April 25,LA,5-1,Tampa Bay Mutiny
Wednesday,April 29,Sporting KC,0-2,LA
Wednesday,May 6,LA,7-4,Colorado
Sunday,May 17,Columbus,2-4,LA
Wednesday,May 20,Chicago,3-1,LA
Saturday,May 23,LA,4-1,FC Dallas
Saturday,May 30,LA,1-2,Chicago
Thursday,June 4,FC Dallas,1-8,LA
Sunday,June 7,LA,5-1,New England
Thursday,June 18,LA,2-1,Colorado
Saturday,June 27,San Jose,1-2,LA
Saturday,July 4,LA,2-0,Sporting KC
Friday,July 10,D.C. United,3-0,LA
Wednesday,July 15,Tampa Bay Mutiny,1-3,LA
Saturday,July 18,LA,2-3,Fusion
Saturday,July 25,LA,0-1,D.C. United
Wednesday,July 29,FC Dallas,3-0,LA
Wednesday,August 5,Colorado,1-6,LA
Saturday,August 8,Chicago,1-2,LA
Thursday,August 13,LA,3-0,Sporting KC
Saturday,August 22,New England,1-5,LA
Saturday,August 29,LA,0-3,Columbus
Wednesday,September 2,LA,3-0,FC Dallas
Saturday,September 5,Fusion,3-5,LA
Wednesday,September 16,San Jose,0-1,LA
Sunday,September 20,LA,0-1,San Jose
Sunday,September 27,LA,1-0,Chicago
