day,date,home_team,result,away_team
Sunday,March 15,MIA,0-2,D.C. United
Saturday,March 21,MIA,0-2,Chicago
Thursday,March 26,Tampa Bay Mutiny,0-1,MIA
Saturday,April 4,MIA,2-1,New England
Saturday,April 11,MIA,2-1,Sporting KC
Saturday,April 18,Columbus,5-1,MIA
Saturday,April 25,New England,3-0,MIA
Saturday,May 2,MIA,3-2,Colorado
Saturday,May 9,MIA,2-0,Columbus
Saturday,May 16,San Jose,2-0,MIA
Saturday,May 23,NY Red Bulls,4-2,MIA
Thursday,May 28,Colorado,3-0,MIA
Sunday,May 31,FC Dallas,2-0,MIA
Sunday,June 7,MIA,1-2,NY Red Bulls
Saturday,June 13,NY Red Bulls,3-1,MIA
Saturday,June 27,MIA,2-1,Tampa Bay Mutiny
Thursday,July 2,D.C. United,3-1,MIA
Wednesday,July 15,MIA,3-2,San Jose
Saturday,July 18,LA Galaxy,2-3,MIA
Sunday,July 26,New England,1-2,MIA
Wednesday,July 29,MIA,3-2,Columbus
Thursday,August 6,Tampa Bay Mutiny,3-1,MIA
Saturday,August 15,MIA,3-1,NY Red Bulls
Wednesday,August 19,MIA,2-1,FC Dallas
Sunday,August 23,Sporting KC,2-0,MIA
Sunday,August 30,MIA,3-2,New England
Wednesday,September 2,Chicago,3-2,MIA
Saturday,September 5,MIA,3-5,LA Galaxy
Wednesday,September 9,Columbus,1-0,MIA
Sunday,September 13,MIA,4-3,D.C. United
Saturday,September 19,D.C. United,1-3,MIA
Sunday,September 27,MIA,1-3,Tampa Bay Mutiny
