match_num,round/group,date,time,stadium,where,home,home_score,away_score,away,home_scorers,away_scorers
1,Group A,Jun 12,17:00, Arena de São Paulo,São Paulo,Brazil,3,1,Croatia,"Neymar 29', 71' (pen.) Oscar 90+1'", Marcelo 11' (o.g.)
2,Group A,Jun 13,13:00, Estádio das Dunas,Natal,Mexico,1,0,Cameroon,Oribe Peralta 61',
17,Group A,Jun 17,16:00, Estádio Castelão,Fortaleza,Brazil,0,0,Mexico,,
18,Group A,Jun 18,18:00, Arena Amazônia,Manaus,Cameroon,0,4,Croatia,," Ivica Olić 11' Ivan Perišić 48' Mario Mandžukić 61', 73'"
33,Group A,Jun 23,17:00, Estádio Nacional Mané Garrincha,Brasília,Cameroon,1,4,Brazil,Joel Matip 26'," Neymar 17', 35' Fred 49' Fernandinho 84'"
34,Group A,Jun 23,17:00, Arena Pernambuco,Recife,Croatia,1,3,Mexico,Ivan Perišić 87', Rafael Márquez 72' Andres Guardado 75' Javier Hernández 82'
3,Group B,Jun 13,16:00, Arena Fonte Nova,Salvador,Spain,1,5,Netherlands,Xabi Alonso 27' (pen.)," Robin Van Persie 44', 72' Arjen Robben 53', 80' Stefan De Vrij 65'"
4,Group B,Jun 13,18:00, Arena Pantanal,Cuiabá,Chile,3,1,Australia,Alexis Sánchez 12' Jorge Valdívia 14' Jean Beausejour 90+2', Cahill 35'
19,Group B,Jun 18,16:00, Estádio do Maracanã,Rio de Janeiro,Spain,0,2,Chile,, Eduardo Vargas 20' Charles Aránguiz 43'
20,Group B,Jun 18,13:00, Estádio Beira-Rio,Porto Alegre,Australia,2,3,Netherlands,Tim Cahill 21' Mile Jedinak 54' (pen.), Arjen Robben 20' Robin Van Persie 58' Memphis Depay 68'
35,Group B,Jun 23,13:00, Arena da Baixada,Curitiba,Australia,0,3,Spain,, David Villa 36' Fernando Torres 69' Juan Mata 82'
36,Group B,Jun 23,13:00, Arena de São Paulo,São Paulo,Netherlands,2,0,Chile,Leroy Fer 77' Memphis Depay 90+2',
5,Group C,Jun 14,13:00, Estádio Mineirão,Belo Horizonte,Colombia,3,0,Greece,Pablo Armero 5' Teofilo Gutiérrez 58' James Rodríguez 90+3',
6,Group C,Jun 14,22:00, Arena Pernambuco,Recife,Côte d'Ivoire,2,1,Japan,Wilfried Bony 64' Gervinho 66', Keisuke Honda 16'
21,Group C,Jun 19,13:00, Estádio Nacional Mané Garrincha,Brasília,Colombia,2,1,Côte d'Ivoire,"James Rodríguez 64', Juan Quintero 70'", Gervinho 73'
22,Group C,Jun 19,19:00, Estádio das Dunas,Natal,Japan,0,0,Greece,,
37,Group C,Jun 24,16:00, Arena Pantanal,Cuiabá,Japan,1,4,Colombia,Shinji Okazaki 45+1'," Juan Cuadrado 17' (pen.) Jackson Martínez 55', 82' James Rodríguez 90'"
38,Group C,Jun 24,17:00, Estádio Castelão,Fortaleza,Greece,2,1,Côte d'Ivoire,Andreas Samaris 42' Georgios Samaras 90+3' (pen.), Wilfried Bony 74'
7,Group D,Jun 14,16:00, Estádio Castelão,Fortaleza,Uruguay,1,3,Costa Rica,Edinson Cavani 24' (pen.), Joel Campbell 54' Oscar Duarte 57' Marcos Ureña 84'
8,Group D,Jun 14,18:00, Arena Amazônia,Manaus,England,1,2,Italy,Daniel Sturridge 37', Claudio Marchisio 35' Mario Balotelli 50'
