Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Jimmy Nielsen,KC,GK,34,34,3060,27,0.79,3/4,18,7,9,15,52.9
Nick Rimando,RSL,GK,31,31,2790,33,1.06,2/4,16,11,4,12,51.6
Tally Hall,DC,GK,33,33,2946,39,1.18,5/5,14,8,11,12,42.4
Josh Saunders,LA,GK,27,27,2430,36,1.33,0/1,16,7,4,9,59.3
Michael Gspurning,SEA,GK,21,21,1845,15,0.71,2/2,12,4,5,8,57.1
Bill Hamid,DC,GK,24,24,2087,24,1.0,1/1,13,6,4,8,54.2
Joe Cannon,VAN,GK,26,26,2277,34,1.31,2/2,8,10,7,8,30.8
Zac MacMath,COL,GK,32,32,2880,43,1.34,3/4,10,17,5,8,31.3
Andy Gruenebaum,CLB,GK,33,33,2920,41,1.24,3/4,13,12,7,8,39.4
Troy Perkins,MTL,GK,31,31,2767,43,1.39,4/4,8,14,8,7,25.8
Matt Pickens,COL,GK,32,32,2859,49,1.53,1/2,9,19,4,7,28.1
Jon Busch,SJ,GK,32,32,2835,40,1.25,4/5,17,5,9,7,53.1
Dan Kennedy,CHV,GK,32,32,2880,54,1.69,2/2,7,17,8,7,21.9
Matt Reis,NE,GK,27,27,2430,39,1.44,3/3,6,14,7,6,22.2
Kevin Hartman,DAL,GK,30,30,2700,42,1.4,2/5,9,11,10,6,30.0
Sean Johnson,NYC,GK,31,31,2766,38,1.23,2/3,16,10,5,5,51.6
Donovan Ricketts,MTL,GK,33,33,2913,52,1.58,8/8,12,14,5,5,36.4
Bobby Shuttleworth,MIN,GK,7,7,630,5,0.71,0/0,3,3,1,3,42.9
Brad Knighton,NE,GK,10,8,782,7,0.88,0/1,3,3,3,3,30.0
Bryan Meredith,SEA,GK,12,10,990,14,1.4,0/0,3,3,5,3,25.0
Bill Gaudette,LA,GK,15,15,1350,20,1.33,1/1,5,5,5,3,33.3
Ryan Meara,RBNY,GK,18,18,1620,27,1.5,1/1,9,5,4,3,50.0
Milos Kocic,TOR,GK,27,27,2430,47,1.74,0/1,5,16,6,3,18.5
Kyle Reynish,RSL,GK,3,3,270,2,0.67,0/0,1,0,2,2,33.3
Steward Ceus,COL,GK,3,2,201,1,0.5,0/0,2,0,0,2,66.7
Luis Robles,RBNY,GK,4,4,360,3,0.75,0/0,2,1,1,2,50.0
Joe Willis,HOU,GK,11,10,972,19,1.9,2/2,4,4,3,2,36.4
Paolo Tornaghi,CHI,GK,3,3,270,3,1.0,0/0,1,1,1,1,33.3
Freddy Hall,TOR,GK,7,7,630,15,2.14,1/1,0,5,2,1,0.0
Josh Ford,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brian Sylvestre,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Tim Murray,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Brian Rowe,VAN,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jeremy Vuolo,NY,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Erich Marscheider,HOU,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Patrick McLain,CHV,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Scott Angevine,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Evan Newton,SJ,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Stefan Frei,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andrew Dykstra,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Ian Joyce,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
William Hesmer,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jay Nolly,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Marcus Hahnemann,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Greg Sutton,MTL,GK,1,0,24,1,1.0,0/0,0,1,0,0,0.0
Chris Konopka,PHI,GK,1,1,90,1,1.0,0/0,0,1,0,0,0.0
Tyler Deric,HOU,GK,1,1,90,2,2.0,0/0,0,1,0,0,0.0
Chase Harrison,PHI,GK,1,1,90,1,1.0,0/0,0,0,1,0,0.0
Evan Bush,MTL,GK,1,1,90,3,3.0,0/0,0,1,0,0,0.0
Tim Melia,SKC,GK,2,2,180,4,2.0,0/0,0,1,1,0,0.0
Matt Lampson,MIN,GK,3,1,140,3,3.0,1/1,2,0,0,0,66.7
David Bingham,LA,GK,3,2,225,3,1.5,0/0,2,1,0,0,66.7
Andrew Weber,SEA,GK,3,3,225,4,1.33,0/0,0,1,1,0,0.0
Brian Perk,LA,GK,4,4,360,7,1.75,2/2,0,3,1,0,0.0
Chris Seitz,HOU,GK,4,4,360,5,1.25,0/1,0,2,2,0,0.0
Joe Bendik,ORL,GK,5,3,326,8,2.67,2/2,0,2,3,0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
