Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Kei Kamara,VAN,F,33,32,2871,11,8,134,49,2/3,8.2,36.6
Chris Wondolowski,SJ,F,32,31,2813,27,7,127,55,5/7,21.3,43.3
Fredy Montero,SEA,F,33,28,2576,13,8,126,46,0/0,10.3,36.5
Robbie Keane,LA,F,28,28,2519,16,9,94,43,1/2,17.0,45.7
Thierry Henry,NY,F,25,24,2108,15,12,88,37,0/0,17.0,42.0
Alvaro Saborio,RSL,F,31,26,2390,17,3,87,40,3/3,19.5,46.0
Kenny Cooper,NY,F,33,26,2505,18,3,84,46,3/3,21.4,54.8
Graham Zusi,SKC,D-M,32,31,2788,5,15,82,24,1/1,6.1,29.3
Dwayne De Rosario,DC,M,26,25,2195,7,12,81,26,0/1,8.6,32.1
Will Bruin,SEA,F,32,31,2510,12,4,78,35,0/0,15.4,44.9
Omar Cummings,COL,F,28,23,2000,6,2,76,28,0/1,7.9,36.8
Saer Sene,NE,M,25,23,1934,11,3,75,35,1/1,14.7,46.7
Eddie Johnson,SEA,F,28,24,2119,14,3,72,25,0/0,19.4,34.7
Chris Pontius,LA,F,31,26,2339,12,4,71,29,1/1,16.9,40.8
Marco Pappa,CHI,M,22,20,1615,6,5,69,21,0/0,8.7,30.4
Fabian Espindola,RSL,F,30,27,2293,9,7,69,30,0/0,13.0,43.5
Miller Bolaños,ECU,M,24,21,1858,3,4,68,20,0/0,4.4,29.4
Ryan Johnson,TOR,F,31,31,2769,7,5,67,23,0/1,10.4,34.3
Simon Dawkins,SJ,M,27,21,1847,8,1,65,24,0/0,12.3,36.9
Landon Donovan,LA,M-F,26,25,2256,9,14,65,29,2/2,13.8,44.6
Maicon Santos,DC,F,26,16,1470,7,3,64,19,0/0,10.9,29.7
Steven Lenhart,SJ,F,26,18,1623,10,2,64,33,0/0,15.6,51.6
Camilo Sanvezzo,VAN,F,28,19,1719,5,7,64,24,0/0,7.8,37.5
Kris Boyd,POR,F,26,22,1893,7,1,63,28,0/0,11.1,44.4
CJ Sapong,PHI,F,31,24,2210,9,2,61,24,0/0,14.8,39.3
Martin Rivero,COL,M,30,30,2597,2,8,61,19,0/0,3.3,31.1
Jeff Larentowicz,ATL,M,32,32,2779,3,0,61,16,2/2,4.9,26.2
Lee Nguyen,NE,M,30,27,2386,5,2,60,18,1/1,8.3,30.0
Lionard Pajoy,DC,F,32,28,2475,8,3,59,20,1/1,13.6,33.9
Felipe,VAN,M,30,30,2652,4,10,59,23,0/0,6.8,39.0
Sanna Nyassi,MTL,M,28,17,1716,6,3,58,31,0/0,10.3,53.4
Chris Rolfe,CHI,F,22,19,1760,8,3,58,20,1/1,13.8,34.5
Jackson Goncalves,DAL,M,21,18,1732,4,7,56,14,0/0,7.1,25.0
Mike Magee,LA,M,29,24,2078,5,4,56,22,0/0,8.9,39.3
