day,date,home_team,result,away_team
Sunday,March 11,Chivas USA,0-1,HOU
Saturday,March 17,San Jose,0-1,HOU
Friday,March 23,Seattle,2-0,HOU
Sunday,April 15,Chicago,1-1,HOU
Saturday,April 21,Columbus,2-2,HOU
Saturday,April 28,D.C. United,3-2,HOU
Wednesday,May 9,NY Red Bulls,1-0,HOU
Saturday,May 12,HOU,1-0,D.C. United
Tuesday,May 15,HOU,0-0,Portland
Saturday,May 19,New England,2-2,HOU
Saturday,May 26,HOU,2-1,LA Galaxy
Sunday,June 10,Vancouver,3-1,HOU
Saturday,June 16,HOU,2-1,FC Dallas
Wednesday,June 20,HOU,3-3,Toronto FC
Saturday,June 23,Montreal,4-2,HOU
Saturday,June 30,HOU,2-1,Philadelphia
Tuesday,July 3,HOU,0-0,Chicago
Saturday,July 7,Sporting KC,0-0,HOU
Sunday,July 15,HOU,4-0,D.C. United
Wednesday,July 18,HOU,2-1,Sporting KC
Saturday,July 21,HOU,3-0,Montreal
Saturday,July 28,Toronto FC,0-2,HOU
Friday,August 3,HOU,2-0,NY Red Bulls
Friday,August 10,NY Red Bulls,2-0,HOU
Sunday,August 19,HOU,2-2,Columbus
Saturday,August 25,HOU,1-1,Toronto FC
Sunday,September 2,Chicago,3-1,HOU
Thursday,September 6,HOU,1-0,Real Salt Lake
Friday,September 14,Sporting KC,1-1,HOU
Sunday,September 23,Philadelphia,3-1,HOU
Saturday,September 29,HOU,2-0,New England
Saturday,October 6,HOU,1-1,Montreal
Saturday,October 20,HOU,3-1,Philadelphia
Saturday,October 27,Colorado,2-0,HOU
