day,date,home_team,result,away_team
Saturday,March 17,SEA,3-1,Toronto FC
Friday,March 23,SEA,2-0,Houston
Saturday,March 31,SEA,0-1,San Jose
Saturday,April 7,D.C. United,0-0,SEA
Saturday,April 14,SEA,1-0,Colorado
Saturday,April 28,Chicago,1-2,SEA
Wednesday,May 2,SEA,2-0,LA Galaxy
Saturday,May 5,SEA,1-0,Philadelphia
Wednesday,May 9,FC Dallas,0-2,SEA
Saturday,May 12,SEA,0-1,Real Salt Lake
Saturday,May 19,Vancouver,2-2,SEA
Wednesday,May 23,SEA,0-2,Columbus
Saturday,May 26,Chivas USA,1-1,SEA
Saturday,June 16,Montreal,4-1,SEA
Wednesday,June 20,SEA,1-1,Sporting KC
Sunday,June 24,Portland,2-1,SEA
Saturday,June 30,New England,2-2,SEA
Wednesday,July 4,Real Salt Lake,0-0,SEA
Saturday,July 7,SEA,2-1,Colorado
Sunday,July 15,NY Red Bulls,2-2,SEA
Saturday,July 28,Colorado,1-2,SEA
Sunday,August 5,SEA,4-0,LA Galaxy
Saturday,August 11,San Jose,2-1,SEA
Saturday,August 18,SEA,2-0,Vancouver
Saturday,August 25,Chivas USA,2-6,SEA
Sunday,September 2,FC Dallas,1-1,SEA
Saturday,September 8,SEA,2-1,Chivas USA
Saturday,September 15,Portland,1-1,SEA
Saturday,September 22,SEA,1-2,San Jose
Saturday,September 29,Vancouver,0-0,SEA
Sunday,October 7,SEA,3-0,Portland
Wednesday,October 17,SEA,0-0,Real Salt Lake
Sunday,October 21,SEA,3-1,FC Dallas
Sunday,October 28,LA Galaxy,1-0,SEA
