Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
Jimmy Nielsen,KC,GK,34,34,3060,102,77,27,0.79,3/4,18,7,9,15,52.9,75.5
Donovan Ricketts,MTL,GK,33,33,2913,143,87,52,1.58,8/8,12,14,5,5,36.4,60.8
Andy Gruenebaum,CLB,GK,33,33,2920,166,124,41,1.24,3/4,13,12,7,8,39.4,74.7
Tally Hall,DC,GK,33,33,2946,129,88,39,1.18,5/5,14,8,11,12,42.4,68.2
Jon Busch,SJ,GK,32,32,2835,123,77,40,1.25,4/5,17,5,9,7,53.1,62.6
Matt Pickens,COL,GK,32,32,2859,155,107,49,1.53,1/2,9,19,4,7,28.1,69.0
Dan Kennedy,CHV,GK,32,32,2880,167,109,54,1.69,2/2,7,17,8,7,21.9,65.3
Zac MacMath,COL,GK,32,32,2880,139,93,43,1.34,3/4,10,17,5,8,31.3,66.9
Sean Johnson,NYC,GK,31,31,2766,143,108,38,1.23,2/3,16,10,5,5,51.6,75.5
Troy Perkins,MTL,GK,31,31,2767,148,101,43,1.39,4/4,8,14,8,7,25.8,68.2
Nick Rimando,RSL,GK,31,31,2790,116,83,33,1.06,2/4,16,11,4,12,51.6,71.6
Kevin Hartman,DAL,GK,30,30,2700,148,98,42,1.4,2/5,9,11,10,6,30.0,66.2
Matt Reis,NE,GK,27,27,2430,133,92,39,1.44,3/3,6,14,7,6,22.2,69.2
Josh Saunders,LA,GK,27,27,2430,118,80,36,1.33,0/1,16,7,4,9,59.3,67.8
Milos Kocic,TOR,GK,27,27,2430,129,82,47,1.74,0/1,5,16,6,3,18.5,63.6
Joe Cannon,VAN,GK,26,26,2277,109,73,34,1.31,2/2,8,10,7,8,30.8,67.0
Bill Hamid,DC,GK,24,24,2087,113,88,24,1.0,1/1,13,6,4,8,54.2,77.9
Michael Gspurning,SEA,GK,21,21,1845,77,59,15,0.71,2/2,12,4,5,8,57.1,76.6
Ryan Meara,RBNY,GK,18,18,1620,90,59,27,1.5,1/1,9,5,4,3,50.0,65.6
Bill Gaudette,LA,GK,15,15,1350,62,38,20,1.33,1/1,5,5,5,3,33.3,61.3
Bryan Meredith,SEA,GK,12,10,990,36,20,14,1.4,0/0,3,3,5,3,25.0,55.6
Joe Willis,HOU,GK,11,10,972,50,31,19,1.9,2/2,4,4,3,2,36.4,62.0
Brad Knighton,NE,GK,10,8,782,36,27,7,0.88,0/1,3,3,3,3,30.0,75.0
Bobby Shuttleworth,MIN,GK,7,7,630,29,23,5,0.71,0/0,3,3,1,3,42.9,79.3
Freddy Hall,TOR,GK,7,7,630,42,27,15,2.14,1/1,0,5,2,1,0.0,64.3
Joe Bendik,ORL,GK,5,3,326,21,11,8,2.67,2/2,0,2,3,0,0.0,52.4
Brian Perk,LA,GK,4,4,360,13,7,7,1.75,2/2,0,3,1,0,0.0,53.8
Chris Seitz,HOU,GK,4,4,360,15,10,5,1.25,0/1,0,2,2,0,0.0,66.7
Luis Robles,RBNY,GK,4,4,360,12,9,3,0.75,0/0,2,1,1,2,50.0,75.0
Matt Lampson,MIN,GK,3,1,140,10,7,3,3.0,1/1,2,0,0,0,66.7,70.0
Steward Ceus,COL,GK,3,2,201,5,4,1,0.5,0/0,2,0,0,2,66.7,80.0
Andrew Weber,SEA,GK,3,3,225,9,5,4,1.33,0/0,0,1,1,0,0.0,55.6
David Bingham,LA,GK,3,2,225,12,8,3,1.5,0/0,2,1,0,0,66.7,66.7
Paolo Tornaghi,CHI,GK,3,3,270,17,14,3,1.0,0/0,1,1,1,1,33.3,82.4
Kyle Reynish,RSL,GK,3,3,270,8,6,2,0.67,0/0,1,0,2,2,33.3,75.0
Tim Melia,SKC,GK,2,2,180,13,9,4,2.0,0/0,0,1,1,0,0.0,69.2
Greg Sutton,MTL,GK,1,0,24,1,0,1,1.0,0/0,0,1,0,0,0.0,0.0
Chris Konopka,PHI,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7
Tyler Deric,HOU,GK,1,1,90,9,7,2,2.0,0/0,0,1,0,0,0.0,77.8
Chase Harrison,PHI,GK,1,1,90,3,2,1,1.0,0/0,0,0,1,0,0.0,66.7
Evan Bush,MTL,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1
Brian Rowe,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jeremy Vuolo,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Patrick McLain,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Scott Angevine,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
Evan Newton,SJ,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Josh Ford,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Brian Sylvestre,LA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Jake Gleeson,POR,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Richard Sanchez,CHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Ian Joyce,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Stefan Frei,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Andrew Dykstra,COL,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
William Hesmer,CLB,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Jay Nolly,CHI,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Eric Kronberg,KC,GK,0,0,0,0,0,0,0,0/0,0,0,0,0,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
