day,date,home_team,result,away_team
Monday,March 12,POR,3-1,Philadelphia
Saturday,March 17,FC Dallas,1-1,POR
Saturday,March 24,New England,1-0,POR
Saturday,March 31,POR,2-3,Real Salt Lake
Saturday,April 7,POR,1-2,Chivas USA
Saturday,April 14,LA Galaxy,3-1,POR
Saturday,April 21,POR,1-0,Sporting KC
Saturday,April 28,Montreal,2-0,POR
Saturday,May 5,POR,0-0,Columbus
Tuesday,May 15,Houston,0-0,POR
Sunday,May 20,POR,2-1,Chicago
Saturday,May 26,POR,1-1,Vancouver
Sunday,June 17,LA Galaxy,1-0,POR
Sunday,June 24,Seattle,2-1,POR
Saturday,June 30,Colorado,3-0,POR
Tuesday,July 3,POR,2-1,San Jose
Saturday,July 7,Real Salt Lake,3-0,POR
Saturday,July 14,POR,3-5,LA Galaxy
Wednesday,July 18,Chivas USA,1-0,POR
Saturday,July 21,FC Dallas,5-0,POR
Saturday,July 28,POR,0-1,Chivas USA
Sunday,August 5,POR,1-1,FC Dallas
Wednesday,August 15,Toronto FC,2-2,POR
Sunday,August 19,NY Red Bulls,3-2,POR
Saturday,August 25,POR,2-1,Vancouver
Friday,August 31,POR,1-0,Colorado
Wednesday,September 5,Colorado,3-0,POR
Saturday,September 15,Seattle,1-1,POR
Wednesday,September 19,San Jose,2-2,POR
Saturday,September 22,Real Salt Lake,2-1,POR
Saturday,September 29,POR,1-1,D.C. United
Sunday,October 7,Seattle,3-0,POR
Sunday,October 21,Vancouver,0-1,POR
Saturday,October 27,POR,1-1,San Jose
