Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Michael Farfan,PHI,M,32,31,2802,1,5,54,15,74,64,2,7,0
Diego Chara,POR,M,28,28,2473,0,0,9,2,72,38,3,10,1
Eric Hassli,TOR,F,25,16,1469,5,5,49,16,63,22,24,8,0
Fredy Montero,SEA,F,33,28,2576,13,8,126,46,63,68,24,5,1
Jeff Larentowicz,ATL,M,32,32,2779,3,0,61,16,61,41,0,8,1
Dane Richards,NY,M,29,26,2402,4,3,30,11,60,26,11,9,0
Gershon Koffie,VAN,M,29,28,2503,3,2,39,11,59,70,1,9,0
Marcelo Sarvas,LA,M,27,22,1951,2,2,41,11,57,49,1,5,0
Aurélien Collin,RBNY,D,29,28,2490,3,1,28,7,57,28,5,6,0
Kyle Beckerman,RSL,M,30,29,2592,4,4,35,8,57,23,1,6,1
Alan Gordon,SJ,F,23,13,1297,13,7,43,25,54,35,15,7,1
Steven Lenhart,SJ,F,26,18,1623,10,2,64,33,52,46,27,7,1
Terry Dunfield,TOR,M,30,30,2493,3,0,24,11,49,19,7,7,0
Felipe,VAN,M,30,30,2652,4,10,59,23,48,70,3,5,0
Sanna Nyassi,MTL,M,28,17,1716,6,3,58,31,47,28,20,9,0
Roger Espinoza,SKC,M,26,26,2275,0,2,35,9,47,46,1,5,1
Andrew Jacobson,DAL,M,31,31,2597,1,1,40,8,47,46,3,6,0
Macoumba Kandji,HOU,F,29,21,1630,4,2,34,16,46,26,23,3,0
Jackson Goncalves,DAL,M,21,18,1732,4,7,56,14,46,36,6,4,0
Fabian Espindola,RSL,F,30,27,2293,9,7,69,30,46,36,21,7,1
Ryan Johnson,TOR,F,31,31,2769,7,5,67,23,46,44,21,6,0
Kei Kamara,VAN,F,33,32,2871,11,8,134,49,46,63,12,3,0
Miller Bolaños,ECU,M,24,21,1858,3,4,68,20,45,43,3,5,0
Collen Warner,MIN,M,29,27,2431,0,1,32,2,44,43,0,6,0
Patrice Bernier,MTL,M,27,25,2194,9,8,32,15,43,16,0,5,0
Martín Bonjour,VAN,D,28,27,2396,1,1,8,2,43,16,2,7,0
Perry Kitchen,LA,M,32,32,2804,0,1,12,0,43,33,1,2,0
Javier Morales,RSL,M,29,23,2119,3,9,31,12,42,69,4,5,0
Shalrie Joseph,CHV,M,30,27,2561,3,4,22,6,42,31,0,7,0
Juninho,LA,M,32,30,2666,7,4,52,20,42,27,0,6,0
Davy Arnaud,MTL,M,33,31,2765,4,3,40,13,42,74,5,7,0
Camilo Sanvezzo,VAN,F,28,19,1719,5,7,64,24,41,49,23,4,0
Oswaldo Minda,CHV,M,22,20,1748,1,0,17,3,41,21,0,13,0
Jaime Castrillón,COL,M,30,29,2417,8,4,50,18,41,29,0,3,1
A.J. DeLaGarza,HOU,D,30,30,2644,0,0,1,0,41,32,0,4,0
Patrick Nyarko,CHI,F-M,34,31,2756,4,7,40,13,41,84,8,3,0
