day,date,home_team,result,away_team
Saturday,March 10,SJ,1-0,New England
Saturday,March 17,SJ,0-1,Houston
Saturday,March 24,Toronto FC,0-3,SJ
Saturday,March 31,Seattle,0-1,SJ
Saturday,April 7,SJ,3-1,Vancouver
Saturday,April 14,NY Red Bulls,2-2,SJ
Saturday,April 21,SJ,3-1,Real Salt Lake
Saturday,April 28,Philadelphia,1-2,SJ
Wednesday,May 2,SJ,5-3,D.C. United
Saturday,May 5,Vancouver,2-1,SJ
Sunday,May 13,SJ,1-1,Chivas USA
Saturday,May 19,SJ,1-1,Columbus
Wednesday,May 23,LA Galaxy,2-3,SJ
Sunday,May 27,Sporting KC,2-1,SJ
Wednesday,June 20,Colorado,1-2,SJ
Saturday,June 23,Real Salt Lake,1-2,SJ
Saturday,June 30,SJ,4-3,LA Galaxy
Tuesday,July 3,Portland,2-1,SJ
Saturday,July 7,FC Dallas,0-0,SJ
Saturday,July 14,SJ,5-0,Real Salt Lake
Wednesday,July 18,SJ,2-1,FC Dallas
Sunday,July 22,Vancouver,2-1,SJ
Saturday,July 28,SJ,1-1,Chicago
Saturday,August 11,Seattle,2-1,SJ
Saturday,August 18,Montreal,3-1,SJ
Saturday,August 25,SJ,4-1,Colorado
Sunday,September 2,SJ,4-0,Chivas USA
Saturday,September 15,Chivas USA,0-2,SJ
Wednesday,September 19,SJ,2-2,Portland
Saturday,September 22,Seattle,1-2,SJ
Saturday,September 29,SJ,3-3,FC Dallas
Saturday,October 6,Colorado,1-4,SJ
Sunday,October 21,SJ,2-2,LA Galaxy
Saturday,October 27,Portland,1-1,SJ
