day,date,home_team,result,away_team
Sunday,March 11,CHV,0-1,Houston
Saturday,March 17,CHV,0-1,Vancouver
Saturday,March 24,Real Salt Lake,0-1,CHV
Sunday,April 1,CHV,0-1,Sporting KC
Saturday,April 7,Portland,1-2,CHV
Saturday,April 14,Toronto FC,0-1,CHV
Saturday,April 21,CHV,0-1,Philadelphia
Saturday,April 28,Colorado,4-0,CHV
Friday,May 4,CHV,1-2,Chicago
Sunday,May 13,San Jose,1-1,CHV
Saturday,May 19,CHV,1-0,LA Galaxy
Wednesday,May 23,NY Red Bulls,1-1,CHV
Saturday,May 26,Seattle,1-1,CHV
Saturday,June 16,CHV,0-3,Real Salt Lake
Wednesday,June 20,CHV,2-1,Montreal
Saturday,June 23,FC Dallas,0-0,CHV
Saturday,July 7,CHV,0-0,Vancouver
Wednesday,July 18,CHV,1-0,Portland
Saturday,July 21,LA Galaxy,3-1,CHV
Saturday,July 28,Portland,0-1,CHV
Sunday,August 12,CHV,0-4,LA Galaxy
Saturday,August 18,Colorado,1-1,CHV
Saturday,August 25,Seattle,2-6,CHV
Wednesday,August 29,New England,3-3,CHV
Sunday,September 2,San Jose,4-0,CHV
Saturday,September 8,Seattle,2-1,CHV
Saturday,September 15,CHV,0-2,San Jose
Wednesday,September 19,Columbus,1-0,CHV
Sunday,September 23,D.C. United,1-0,CHV
Saturday,September 29,CHV,0-4,Real Salt Lake
Wednesday,October 3,Vancouver,4-0,CHV
Sunday,October 7,CHV,1-1,FC Dallas
Saturday,October 20,CHV,0-2,Colorado
Sunday,October 28,FC Dallas,2-2,CHV
