day,date,home_team,result,away_team
Saturday,April 7,NY Red Bulls,2-1,NE
Saturday,April 14,NE,0-1,Fusion
Saturday,April 21,D.C. United,2-1,NE
Saturday,April 28,Fusion,1-0,NE
Saturday,May 5,San Jose,3-2,NE
Wednesday,May 9,D.C. United,5-0,NE
Saturday,May 12,NE,2-1,Chicago
Wednesday,May 16,NE,2-1,Columbus
Saturday,May 19,Colorado,0-1,NE
Saturday,May 26,LA Galaxy,2-0,NE
Sunday,June 3,NE,1-1,NY Red Bulls
Saturday,June 9,NE,3-0,Tampa Bay Mutiny
Wednesday,June 20,NE,3-3,Colorado
Saturday,June 23,Chicago,1-1,NE
Saturday,June 30,NE,0-0,San Jose
Wednesday,July 4,FC Dallas,1-1,NE
Saturday,July 7,NE,1-2,Sporting KC
Saturday,July 14,NE,1-3,D.C. United
Tuesday,July 17,NE,3-2,LA Galaxy
Saturday,July 21,Fusion,1-1,NE
Sunday,July 29,Sporting KC,2-0,NE
Saturday,August 4,NE,5-1,FC Dallas
Wednesday,August 8,NE,1-5,San Jose
Saturday,August 11,NE,1-4,Fusion
Saturday,August 18,NE,2-1,D.C. United
Sunday,August 26,Tampa Bay Mutiny,0-0,NE
Saturday,September 1,Columbus,4-1,NE
Friday,September 7,NY Red Bulls,3-1,NE
