Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Diego Serna,MIA,F,22,22,15,7,10,5,0.68
John Wilmar Perez,CLB,M,25,23,15,5,10,5,0.64
Preki,MIA,M,24,24,14,6,6,8,0.59
Jeff Cunningham,CLB,F,22,20,13,3,10,3,0.66
Ian Bishop,MIA,M,23,23,13,0,9,4,0.55
Marco Etcheverry,DC,M,23,23,12,2,4,8,0.53
Oscar Pareja,DAL,M,24,24,12,4,7,5,0.51
Ross Paule,COL,M,25,13,11,2,4,7,0.67
Simon Elliott,LA,M,21,21,11,2,6,5,0.52
Peter Nowak,CHI,M,18,18,10,3,5,5,0.58
Landon Donovan,SJ,M-F,22,17,10,2,5,5,0.54
Cobi Jones,LA,M,22,22,10,4,4,6,0.48
Jason Kreis,DAL,M,25,25,10,1,7,3,0.41
Antonio Martinez,DAL,F-M,17,10,9,2,6,3,0.8
Richard Mulrooney,SJ,M,21,20,9,4,5,4,0.43
Alex Pineda Chacon,MIA,M,25,23,9,1,7,2,0.39
Carlos Valderrama,COL,M,24,24,9,1,5,4,0.38
Ian Russell,SJ,D,26,26,9,4,4,5,0.37
Jim Rooney,MIA,M,25,25,9,3,6,3,0.35
Cate,NE,M,22,20,8,2,6,2,0.4
Eric Quill,TB,F,24,23,8,2,6,2,0.39
Chris Henderson,MIA,M,25,25,8,3,4,4,0.33
Ariel Graziani,DAL,F,25,24,8,0,5,3,0.33
Manny Lagos,SJ,M,26,26,8,2,6,2,0.31
Bobby Rhine,DAL,M,18,10,7,2,6,1,0.65
Bobby Convey,DC,M,12,11,7,0,7,0,0.64
Bryan Namoff,DC,D,15,13,7,1,2,5,0.55
Daniel Hernandez,MET,M,16,15,7,2,3,4,0.46
Andy Williams,NE,M,20,17,7,1,7,0,0.43
John Spencer,COL,F,23,22,7,2,3,4,0.3
Mauricio Cienfuegos,LA,M,25,25,7,2,3,4,0.28
Dema Kovalenko,CHI,M,25,25,7,2,5,2,0.27
Jesse Marsch,CHI,M,27,27,7,1,4,3,0.26
Francisco Gomez,KC,M,24,16,6,4,4,2,0.41
Brian McBride,CLB,F,15,14,6,3,4,2,0.41
Jair,TB,M,25,18,6,0,4,2,0.35
Imad Baba,COL,M,22,18,6,0,3,3,0.33
Jaime Moreno,DC,F,24,23,6,1,5,1,0.29
Ronald Cerritos,SJ,F,25,23,6,0,3,3,0.28
Chris Klein,KC,M,24,23,6,4,4,2,0.26
Marcelo Balboa,COL,D,24,22,6,0,1,5,0.25
Wade Barrett,SJ,D,24,23,6,2,2,4,0.25
DaMarcus Beasley,HOU,D,24,24,6,1,1,5,0.25
Steve Ralston,TB,M,25,25,6,1,5,1,0.24
Mark Chung,MET,M,26,24,6,2,2,4,0.24
Clint Mathis,MET,M,10,10,5,1,3,2,0.5
Hristo Stoitchkov,CHI,F,17,10,5,3,2,3,0.49
Gary Glasgow,KC,F,18,11,5,2,4,1,0.4
Eric Wynalda,CHI,F,24,13,5,1,0,5,0.33
Johnny Torres,MIA,F,23,15,5,2,5,0,0.31
Tab Ramos,MET,M,18,17,5,1,4,1,0.31
Wolde Harris,NE,F,21,17,5,2,3,2,0.28
Brian West,CLB,M-F,21,19,5,0,2,3,0.27
Mark Lisi,DC,M,25,20,5,2,4,1,0.26
Sasha Victorine,LA,M,24,21,5,1,1,4,0.26
Petter Villegas,MET,M,22,22,5,2,2,3,0.25
Mamadou Diallo,TB,F,22,20,5,1,2,3,0.25
Diego Gutierrez,CHI,D,24,24,5,1,3,2,0.21
Brian Maisonneuve,CLB,M,25,25,5,1,2,3,0.21
Kerry Zavagnin,KC,M,27,27,5,3,5,0,0.18
David Vaudreuil,CHI,D,9,4,4,1,1,3,0.87
Raul Diaz Arce,COL,F,14,12,4,1,3,1,0.38
Dwayne De Rosario,SJ,M,21,11,4,1,2,2,0.34
Chris Carrieri,COL,F,19,11,4,1,1,3,0.33
Adolfo Valencia,MET,F,17,14,4,2,2,2,0.31
Joselito Vaca,DAL,M,21,17,4,0,1,3,0.25
Jason Moore,COL,M,26,19,4,0,2,2,0.2
Paul Caligiuri,LA,D,24,21,4,2,3,1,0.19
Eric Denton,DC,D,24,21,4,3,3,1,0.19
Jay Heaps,MIA,D,28,17,4,0,4,0,0.19
Jorge Rodriguez,DAL,M-D,24,24,4,0,1,3,0.16
Chad Deering,DAL,M,25,25,4,2,1,3,0.16
Scott Bower,SJ,M,12,3,3,1,0,3,0.69
Jamar Beasley,CHI,M,19,8,3,0,0,3,0.36
Sergi Daniv,CHI,M,14,9,3,1,3,0,0.33
Maurice Johnston,KC,M-F,11,10,3,0,1,2,0.31
Lazo Alavanja,DAL,M,16,11,3,1,3,0,0.3
Onandi Lowe,KC,F,13,10,3,1,1,2,0.26
Braeden Cloutier,NE,M,13,12,3,0,2,1,0.26
Mike Burns,KC,M,19,14,3,1,3,0,0.23
Junior Agogo,COL,F,24,11,3,0,3,0,0.23
Luis Hernandez,LA,F,14,12,3,2,3,0,0.23
Dante Washington,CLB,F,21,13,3,1,2,1,0.22
Craig Ziadie,DC,D,18,13,3,1,1,2,0.21
Ryan Suarez,DAL,D,20,19,3,0,1,2,0.16
John Harkes,CLB,M,23,20,3,1,1,2,0.15
Evan Whitfield,CHI,D,26,21,3,1,1,2,0.14
Carey Talley,DC,D,22,20,3,0,3,0,0.14
Mike Lapper,CLB,D,24,21,3,1,2,1,0.14
Greg Vanney,LA,D,22,22,3,3,1,2,0.13
Richard Farrer,DAL,D,25,24,3,0,1,2,0.13
Ezra Hendrickson,LA,D,23,23,3,0,2,1,0.13
Zak Ibsen,SJ,M,24,24,3,0,1,2,0.13
Tenywa Bonseu,CLB,D,24,24,3,1,1,2,0.13
Peter Vagenas,LA,M,26,25,3,1,1,2,0.12
Steve Jolley,MET,D,26,26,3,1,3,0,0.11
Ian Woan,CLB,M,4,0,2,1,2,0,1.68
Greg Simmonds,MIA,F,9,5,2,0,2,0,0.43
Edson Buddle,CLB,F,17,5,2,0,1,1,0.32
Robert Warzycha,CLB,M,11,9,2,0,2,0,0.25
Marvin Quijano,LA,F,12,9,2,0,2,0,0.25
Alex Comas,MET,M,12,10,2,0,2,0,0.24
Alexi Lalas,LA,D,11,9,2,0,1,1,0.24
Brian Mullan,LA,D,10,9,2,0,0,2,0.22
Andrew Gregor,KC,M,13,7,2,0,2,0,0.22
Matt Okoh,NE,F,18,9,2,1,2,0,0.2
Mark Watson,DC,D,11,10,2,1,2,0,0.2
Shaker Asad,MIA,M,20,9,2,0,2,0,0.18
Lubos Kubik,DAL,D,11,11,2,0,2,0,0.18
Adam Frye,LA,D,22,9,2,0,1,1,0.17
Brian Kamler,DC,M,17,11,2,0,2,0,0.16
Carlos Bocanegra,CHI,D,15,13,2,2,1,1,0.14
Ivan McKinley,MIA,D-M,19,17,2,1,1,1,0.14
Devin Barclay,TB,F,23,12,2,0,0,2,0.14
Rodrigo Faria,MET,F,21,11,2,1,1,1,0.13
Ronnie Ekelund,SJ,M,16,16,2,0,2,0,0.13
Paul Broome,DAL,M,22,16,2,1,2,0,0.12
Eddie Pope,DC,D,19,18,2,0,2,0,0.12
Steve Trittschuh,TB,D,18,18,2,1,2,0,0.11
Ryan Nelsen,DC,D,19,19,2,1,2,0,0.11
John Maessner,TB,M-D,24,17,2,1,1,1,0.11
Robin Fraser,COL,D,20,19,2,0,1,1,0.11
Jeff Agoos,SJ,D,20,20,2,0,1,1,0.1
Peter Vermes,KC,D,20,20,2,2,2,0,0.1
Tyrone Marshall,MIA,D,23,20,2,1,0,2,0.1
Richie Williams,MET,M,21,21,2,1,2,0,0.1
Chris Brown,KC,M-F,27,23,2,1,0,2,0.09
Mike Duhaney,CLB,D,25,25,2,1,2,0,0.08
Pablo Mastroeni,MIA,M,25,25,2,1,1,1,0.08
Matt McKeon,KC,D,26,26,2,0,1,1,0.08
Mario Longo,CLB,M,4,0,1,0,1,0,2.81
Michael Green,KC,D,3,2,1,1,1,0,0.58
Wes Hart,COL,D-M,5,2,1,0,0,1,0.51
Gilmar,MET,M-F,4,1,1,0,0,1,0.47
Brian Ching,LA,F,8,1,1,0,1,0,0.39
Todd Yeagley,CLB,M,5,3,1,0,1,0,0.35
Jose Alegria,DC,M,7,2,1,0,1,0,0.32
Craig Waibel,LA,D,9,2,1,0,1,0,0.32
Aleksey Korol,DAL,F,15,3,1,0,0,1,0.24
Miles Joseph,DAL,M,9,3,1,0,1,0,0.23
Kevin Anderson,TB,M-D,10,6,1,1,0,1,0.2
Jeff Bilyk,MIA,M,15,5,1,0,1,0,0.17
Yari Allnutt,NE,F,9,8,1,0,0,1,0.13
Leo Cullen,MIA,M,14,8,1,1,1,0,0.11
Steve Shak,COL,D,14,8,1,0,0,1,0.11
Mark Santel,KC,M,21,7,1,0,0,1,0.11
Santino Quaranta,DC,M-F,16,10,1,0,1,0,0.09
Ramiro Corrales,SJ,M,14,11,1,0,0,1,0.09
Brian Dunseth,MIA,D,18,10,1,1,0,1,0.08
William Sunsing,NE,F,22,11,1,0,0,1,0.08
Lance Key,COL,D,13,13,1,0,1,0,0.08
Jim Curtin,CHI,D,18,12,1,0,1,0,0.08
Ali Curtis,TB,F,20,12,1,0,1,0,0.07
Duncan Oughton,CLB,D,20,12,1,0,0,1,0.07
Ted Chronopoulos,NE,D,16,15,1,0,1,0,0.07
Chris Albright,DC,D,23,14,1,1,0,1,0.06
Joseph Addo,TB,D,20,17,1,0,1,0,0.06
Pedro Alvarez,MET,M,21,17,1,0,1,0,0.06
Scott Vermillion,COL,D,21,18,1,0,1,0,0.06
Eric Dade,DAL,D,21,20,1,0,0,1,0.05
Roy Lassiter,KC,F,23,19,1,0,1,0,0.05
Abdul Thompson Conteh,DC,F,25,17,1,0,0,1,0.05
Craig Demmin,TB,D,19,19,1,0,1,0,0.05
Leonel Alvarez,NE,M,22,22,1,0,1,0,0.05
C.J. Brown,CHI,D,22,22,1,0,0,1,0.05
Chris Armas,CHI,M,21,21,1,1,1,0,0.05
Josh Keller,TB,M,22,22,1,0,1,0,0.05
Ritchie Kotschau,COL,D,22,21,1,0,1,0,0.05
Joe Franchino,NE,M,23,23,1,0,0,1,0.04
Brandon Prideaux,KC,D,23,22,1,1,1,0,0.04
Danny Califf,LA,D,24,23,1,0,1,0,0.04
Mike Petke,MET,D,25,25,1,0,1,0,0.04
Mike Clark,CLB,D,25,25,1,0,1,0,0.04
Tony Frias,NE,M,0,0,0,0,0,0,0.0
Jason Farrell,LA,F,0,0,0,0,0,0,0.0
John Jones,CLB,M,0,0,0,0,0,0,0.0
Ali Ngon,MIA,F,0,0,0,0,0,0,0.0
Antonio Otero,MIA,M,0,0,0,0,0,0,0.0
Jeff Rigby,MET,D,0,0,0,0,0,0,0.0
Miguel Saavedra,DAL,M,0,0,0,0,0,0,0.0
Fernando Ortiz-Solis,NE,M,0,0,0,0,0,0,0.0
Keyeno Thomas,COL,M-D,0,0,0,0,0,0,0.0
Jeremy Aldrich,CHI,D,0,0,0,0,0,0,0.0
Ray Goodlett,DC,D,0,0,0,0,0,0,0.0
Matt Fundenberger,CLB,F,0,0,0,0,0,0,0.0
Stephen Danbusky,NE,D,0,0,0,0,0,0,0.0
Fred DeGand,DC,D,0,0,0,0,0,0,0.0
John Carroll,COL,M-D,0,0,0,0,0,0,0.0
Peter Byaruhanga,KC,F,0,0,0,0,0,0,0.0
Steve Bernal,CHI,D,0,0,0,0,0,0,0.0
Don Gramenz,TB,D,1,0,0,0,0,0,0.0
Micah Cooks,DC,M-D,1,0,0,0,0,0,0.0
Amos Magee,CHI,F,1,0,0,0,0,0,0.0
Dario Brose,SJ,M,1,0,0,0,0,0,0.0
Chad Prince,CHI,D,1,0,0,0,0,0,0.0
Randy Merkel,MIA,D,1,0,0,0,0,0,0.0
Narciso Fernandes,KC,M-F,1,0,0,0,0,0,0.0
Paul Schneider,TB,F,1,0,0,0,0,0,0.0
Rivers Guthrie,COL,M,1,0,0,0,0,0,0.0
Mersim Beskovic,MET,D,3,0,0,0,0,0,0.0
Brian Kelly,LA,M,2,0,0,0,0,0,0.0
Fausto Klinger,MET,M-D,1,0,0,0,0,0,0.0
Kyle Beckerman,RSL,M,1,0,0,0,0,0,0.0
Pete Marino,MIA,F,2,0,0,0,0,0,0.0
Alberto Munoz,TB,M,2,0,0,0,0,0,0.0
Michael Butler,MET,F,1,0,0,0,0,0,0.0
Judah Cooks,DC,M,2,0,0,0,0,0,0.0
Josue Mayard,DAL,D,3,0,0,0,0,0,0.0
Cordt Weinstein,MET,F,2,0,0,0,0,0,0.0
Kevin Adams,CLB,D,5,0,0,0,0,0,0.0
Kalin Bankov,TB,M,1,1,0,0,0,0,0.0
John DeBrito,CLB,D,2,0,0,0,0,0,0.0
Alex Bengard,LA,M,3,0,0,0,0,0,0.0
Brian Johnson,KC,M,3,0,0,0,0,0,0.0
Matt Chulis,CHI,D,1,1,0,0,0,0,0.0
Roland Aguilera,CLB,M,3,0,0,0,0,0,0.0
Chad McCarty,TB,D,2,2,0,0,0,0,0.0
David Hayes,CHI,F,3,1,0,0,0,0,0.0
Geoff Aunger,COL,D,1,1,0,0,0,0,0.0
Eddie Robinson,SJ,D,1,1,0,0,0,0,0.0
Jose Burciaga Jr.,KC,D,3,2,0,0,0,0,0.0
Wojtek Krakowiak,SJ,M,5,1,0,0,0,0,0.0
Neathan Gibson,COL,F,8,1,0,0,0,0,0.0
Roy Myers,MET,M-F,3,3,0,0,0,0,0.0
Tim Sahaydak,MIA,D,4,2,0,0,0,0,0.0
A.J. Wood,DC,F,7,1,0,0,0,0,0.0
Seth Trembly,COL,M-D,4,1,0,0,0,0,0.0
Josh Wolff,CHI,F,3,3,0,0,0,0,0.0
