Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Tim Howard,COL,GK,26,26,2370,190,146,35,1.35,3/3,76.8
Scott Garlick,COL,GK,26,26,2400,205,138,56,2.15,6/6,67.3
Tom Presthus,CLB,GK,25,25,2309,178,136,35,1.4,2/3,76.4
Adin Brown,COL,GK,22,22,2018,179,118,51,2.32,4/5,65.9
Nick Rimando,RSL,GK,25,25,2300,155,116,33,1.32,3/5,74.8
Zach Thornton,CHI,GK,27,27,2496,145,111,30,1.11,3/3,76.6
Joe Cannon,SJ,GK,25,25,2306,134,101,28,1.12,3/4,75.4
Matt Jordan,DAL,GK,26,26,2388,138,91,45,1.73,2/6,65.9
Tony Meola,KC,GK,17,17,1534,111,80,28,1.65,2/3,72.1
Mike Ammann,DC,GK,19,19,1739,111,73,38,2.0,3/5,65.8
Jeff Causey,NE,GK,11,10,1003,91,58,23,2.3,1/1,63.7
Matt Reis,LA,GK,16,15,1405,76,52,22,1.47,2/2,68.4
Juergen Sommer,NE,GK,10,10,911,68,50,17,1.7,0/1,73.5
Kevin Hartman,LA,GK,11,11,1007,66,48,14,1.27,0/1,72.7
Bo Oshoniyi,KC,GK,11,10,938,74,48,25,2.5,0/0,64.9
Mark Simpson,DC,GK,7,7,630,44,30,12,1.71,1/1,68.2
Jose Fernandez,NE,GK,7,7,578,45,30,12,1.71,1/2,66.7
David Kramer,COL,GK,5,5,466,34,25,8,1.6,1/1,73.5
Mark Dougherty,CLB,GK,2,1,100,6,5,1,1.0,0/0,83.3
Jeff Cassar,MIA,GK,1,1,90,9,5,3,3.0,0/0,55.6
Jon Conway,SJ,GK,1,1,90,5,3,1,1.0,0/0,60.0
Rich Cullen,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Randy Dedini,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Anthony Latronica,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Jon Lowery,TB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Dan Moss,KC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Matt Napoleon,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Matt Nyman,TB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Ronnie Pascale,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Eric Pogue,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Dan Popik,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Henry Ring,CHI,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Taly Goode,KC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Paul Grafer,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
D.J. Countess,MET,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
T.J. Hannig,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Preston Burpo,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Cole Burgman,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Adam Throop,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Joe Warren,TB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
David Winner,MIA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Alex Deegan,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Chris Snitko,DAL,GK,1.0,0.0,24.0,2.0,0.0,2.0,2.0,0/0,0.0
Jon Busch,nan,GK,nan,nan,nan,nan,nan,nan,nan,/,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
