Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Matt McKeon,KC,D,26,26,2372,5,2,48,22,76,28,6,6,0
Diego Serna,MIA,F,22,22,1978,15,15,90,37,73,72,27,8,2
Oscar Pareja,DAL,M,24,24,2113,2,12,42,16,59,56,3,6,0
Danny Califf,LA,D,24,23,2161,3,1,14,7,58,23,0,9,0
Brian Maisonneuve,CLB,M,25,25,2184,8,5,26,14,57,28,3,1,0
Carey Talley,DC,D,22,20,1890,2,3,20,12,55,35,0,9,1
Diego Gutierrez,CHI,D,24,24,2123,1,5,13,10,52,37,1,4,1
Peter Vagenas,LA,M,26,25,2197,3,3,22,7,52,29,1,2,0
Scott Vermillion,COL,D,21,18,1546,0,1,7,0,50,12,1,4,0
Leonel Alvarez,NE,M,22,22,1849,1,1,10,6,50,20,0,5,0
Richie Williams,MET,M,21,21,1868,0,2,4,2,48,33,0,6,0
Rusty Pierce,NE,D,23,22,1988,0,0,5,2,48,44,0,6,0
Mike Petke,MET,D,25,25,2194,0,1,5,0,48,19,1,5,1
Chad Deering,DAL,M,25,25,2317,2,4,30,12,47,22,0,5,0
Jay Heaps,MIA,D,28,17,1917,0,4,31,9,46,38,9,5,0
Pedro Alvarez,MET,M,21,17,1494,1,1,13,4,45,21,1,9,2
Ezra Hendrickson,LA,D,23,23,2132,5,3,34,13,45,14,6,5,0
Jim Rooney,MIA,M,25,25,2294,6,9,40,23,45,25,3,6,0
Craig Ziadie,DC,D,18,13,1307,0,3,4,3,44,25,0,6,0
Jesse Marsch,CHI,M,27,27,2429,3,7,18,8,44,41,3,6,0
Steve Trittschuh,TB,D,18,18,1600,1,2,19,7,43,10,0,5,0
Chris Armas,CHI,M,21,21,1940,0,1,16,10,43,42,1,3,0
John Spencer,COL,F,23,22,2083,14,7,76,36,43,50,24,5,0
Chris Martinez,COL,D,26,26,2189,0,0,10,7,43,10,0,3,0
C.J. Brown,CHI,D,22,22,1882,0,1,7,2,42,25,0,5,1
Chris Henderson,MIA,M,25,25,2184,3,8,41,17,42,45,26,3,0
Ian Russell,SJ,D,26,26,2216,3,9,27,12,42,43,5,6,0
Joe Franchino,NE,M,23,23,2027,0,1,11,2,41,19,1,10,1
Kerry Zavagnin,KC,M,27,27,2472,1,5,27,6,41,47,0,5,0
