day,date,home_team,result,away_team
Saturday,April 7,LA,2-3,San Jose
Saturday,April 14,Sporting KC,2-1,LA
Saturday,April 21,LA,1-0,Colorado
Saturday,April 28,Colorado,2-3,LA
Saturday,May 5,LA,2-1,Sporting KC
Wednesday,May 9,Tampa Bay Mutiny,4-4,LA
Saturday,May 12,NY Red Bulls,2-0,LA
Saturday,May 19,LA,0-0,FC Dallas
Saturday,May 26,LA,2-0,New England
Wednesday,May 30,Chicago,3-4,LA
Saturday,June 2,Columbus,1-1,LA
Saturday,June 9,San Jose,3-1,LA
Wednesday,June 13,LA,4-0,Sporting KC
Saturday,June 16,Fusion,3-3,LA
Saturday,June 23,LA,2-0,NY Red Bulls
Saturday,June 30,FC Dallas,0-0,LA
Wednesday,July 4,LA,0-2,Columbus
Saturday,July 7,D.C. United,0-3,LA
Saturday,July 14,LA,3-0,Fusion
Tuesday,July 17,New England,3-2,LA
Saturday,August 11,LA,1-0,D.C. United
Wednesday,August 15,Sporting KC,1-2,LA
Saturday,August 18,LA,5-1,Tampa Bay Mutiny
Saturday,August 25,LA,1-3,Chicago
Saturday,September 1,LA,3-2,Colorado
Saturday,September 8,Colorado,0-2,LA
