Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Mamadou Diallo,TB,F,22,20,1818,9,5,94,41,3/4,9.6,43.6
Diego Serna,MIA,F,22,22,1978,15,15,90,37,0/0,16.7,41.1
Ariel Graziani,DAL,F,25,24,2208,11,8,83,40,0/0,13.3,48.2
Preki,MIA,M,24,24,2139,8,14,80,40,2/3,10.0,50.0
Jason Kreis,DAL,M,25,25,2175,7,10,77,32,0/0,9.1,41.6
John Spencer,COL,F,23,22,2083,14,7,76,36,2/2,18.4,47.4
Jeff Cunningham,CLB,F,22,20,1770,10,13,72,32,1/1,13.9,44.4
Abdul Thompson Conteh,DC,F,25,17,1676,14,1,71,45,0/0,19.7,63.4
Onandi Lowe,KC,F,13,10,1034,4,3,66,27,0/0,6.1,40.9
Manny Lagos,SJ,M,26,26,2310,8,8,65,39,0/0,12.3,60.0
Alex Pineda Chacon,MIA,M,25,23,2055,19,9,63,36,0/0,30.2,57.1
Jaime Moreno,DC,F,24,23,1888,9,6,60,40,2/3,15.0,66.7
Mark Chung,MET,M,26,24,2226,3,6,56,25,0/1,5.4,44.6
Rodrigo Faria,MET,F,21,11,1344,8,2,55,30,0/0,14.5,54.5
Hristo Stoitchkov,CHI,F,17,10,916,6,5,53,28,2/3,11.3,52.8
Eric Wynalda,CHI,F,24,13,1349,10,5,53,25,1/1,18.9,47.2
Marcelo Balboa,COL,D,24,22,2119,5,6,52,22,0/0,9.6,42.3
Junior Agogo,COL,F,24,11,1186,5,3,50,23,0/0,10.0,46.0
Simon Elliott,LA,M,21,21,1909,1,11,48,18,0/0,2.1,37.5
Matt McKeon,KC,D,26,26,2372,5,2,48,22,2/2,10.4,45.8
Cate,NE,M,22,20,1807,8,8,47,23,5/5,17.0,48.9
Dwayne De Rosario,SJ,M,21,11,1072,5,4,46,24,0/1,10.9,52.2
Landon Donovan,SJ,M-F,22,17,1666,7,10,46,26,1/1,15.2,56.5
Sasha Victorine,LA,M,24,21,1758,7,5,46,24,0/0,15.2,52.2
Luis Hernandez,LA,F,14,12,1189,8,3,45,29,1/1,17.8,64.4
Andy Williams,NE,M,20,17,1465,3,7,45,16,0/0,6.7,35.6
Ronald Cerritos,SJ,F,25,23,1954,11,6,45,30,1/2,24.4,66.7
Dema Kovalenko,CHI,M,25,25,2311,8,7,45,21,1/1,17.8,46.7
Clint Mathis,MET,M,10,10,905,7,5,44,17,0/0,15.9,38.6
