day,date,home_team,result,away_team
Saturday,April 7,DC,3-2,Sporting KC
Saturday,April 14,Chicago,2-0,DC
Saturday,April 21,DC,2-1,New England
Saturday,May 5,NY Red Bulls,3-2,DC
Wednesday,May 9,DC,5-0,New England
Saturday,May 12,DC,2-3,San Jose
Saturday,May 19,Columbus,2-1,DC
Wednesday,May 30,Fusion,2-1,DC
Saturday,June 2,DC,1-2,Chicago
Saturday,June 9,FC Dallas,3-0,DC
Wednesday,June 13,DC,2-1,NY Red Bulls
Saturday,June 16,Sporting KC,0-3,DC
Saturday,June 23,Tampa Bay Mutiny,3-2,DC
Saturday,June 30,DC,1-1,Colorado
Wednesday,July 4,Colorado,3-1,DC
Saturday,July 7,DC,0-3,LA Galaxy
Saturday,July 14,New England,1-3,DC
Wednesday,July 18,San Jose,4-0,DC
Saturday,July 21,NY Red Bulls,2-1,DC
Wednesday,August 1,DC,2-2,Fusion
Saturday,August 11,LA Galaxy,1-0,DC
Wednesday,August 15,DC,1-2,NY Red Bulls
Saturday,August 18,New England,2-1,DC
Saturday,August 25,DC,2-1,Columbus
Saturday,September 1,DC,5-1,Tampa Bay Mutiny
Saturday,September 8,Fusion,3-1,DC
