round,home_team,home_score,away_score,away_team,notes
1,K'lautern,3,1,Karlsruher,"(Reitgaßl 2, Geisert 57, Rummel 81 - Zaczyk 47)"
1,1. FC Köln,2,0,TSV 1860,"(Peter 26 o, Overath 27)"
1,Bayern,1,2,Frankfurt,"(G.Müller 14 - Grabowski 53 p, Huberts 75)"
1,B'schweig,2,0,Werder,"(Maas 23, Saborowski 81)"
1,Dortmund,1,2,Fortuna,"(Held 72 - Schult 63, Meyer 89)"
1,Hamburger,2,1,Hannover,"(B.Dörfel 39, U.Seeler 42 - Gräber 10) [85Pohlschmidt (Hamburger) m/pen]"
1,Duisburg,2,0,Rot-Weiß,"(van Haaren 30, Lotz 78)"
1,Schalke,0,0,M'gladbach,
1,Stuttgart,1,0,Nürnberg,(Peters 64)
2,Nürnberg,3,1,Duisburg,"(Volkert 70, Hilpert 79, Strehl 86 - Rühl 67)(sent off: Lotz (Duisburg, 62))"
2,M'gladbach,1,1,K'lautern,(Heynckes 8 - Braner 36)
2,Frankfurt,4,0,1. FC Köln,"(Bronnert 14, 45, 58, Solz 78)"
2,Fortuna,0,0,Bayern,
2,Hannover,2,0,Dortmund,"(Siemensmeyer 48, Poulsen 49)"
2,Karlsruher,1,1,Hamburger,(Berking 60 - G.Dörfel 38)
2,R,ot,W,eiß,"4-1 Schalke  (Hasebrink 65, 80, Weinberg 87, Borgmann 89)"
2,TSV 1860,2,1,B'schweig,"(Küppers 27, Brunnenmeier 79 - Saborowski 63)"
2,Werder,1,2,Stuttgart,"(Zebrowski 81 - Peters 4, Gress 31)"
3,K'lautern,5,2,Rot-Weiß,"(Rummel 34, 75, Koopenhöfer 43, Reitgaßl 45,Kapitulski 47 - Lippens 23, Simmet 54)"
3,B'schweig,1,0,1. FC Köln,(Ulsaß 63)
3,Bayern,0,0,Hannover,
3,Dortmund,2,1,Karlsruher,"(A.Schmidt 28, Emmerich 54 p - C.Müller 16)"
3,Fortuna,2,4,Frankfurt,"(Gerhardt 28, Lungwitz 36 p - Lotz 9, 40,Grabowski 7, Friedrich 19)"
3,Hamburger,2,0,M'gladbach,"(Pohlschmidt 38, U.Seeler 71)"
3,Duisburg,1,0,Werder,(Rühl 89) [22 Heidemann (Duisburg) m/pen]
3,Schalke,1,0,Nürnberg,(W.Kraus 43)
3,Stuttgart,2,0,TSV 1860,"(Entenmann 34, Peters 50)"
4,Frankfurt,0,1,B'schweig,(Gerwien 68)[Sep 10]
4,Nürnberg,1,2,K'lautern,"(Brungs 60 - L.Müller 81, Reitgaßl 85)"
4,1. FC Köln,3,1,Stuttgart,"(Regh 3, Hemmersbach 46, Löhr 52 - Peters 85)"
4,Hannover,0,2,Fortuna,"(Koch 50, 79)"
4,Werder,2,1,Schalke,"(Schütz 22, Görts 34 - Klose 60)"
4,M'gladbach,4,0,Dortmund,"(Laumen 7, 32, Elfert 48, Rupp 70)"
4,Karlsruher,1,6,Bayern,"(C.Müller 69 - G.Müller 33, 82, Rigotti 9, Roth 58,Brenninger 71, Nowak 80)"
4,R,ot,W,eiß,1-1 Hamburger  (Hasebrink 15 - B.Dörfel 71)
4,TSV 1860,3,3,Duisburg,"(Konietzka 34, 68, Rebele 35 - Krämer 5, Heidemann 7,van Haaren 58)"
5,K'lautern,2,0,Werder,"(Geisert 50, Reitgaßl 57)"
5,Bayern,4,3,M'gladbach,"(Olk 15, Brenninger 39, G.Müller 63, 68 - Heynckes 31, Wimmer 41, Laumen 47)"
5,Dortmund,0,0,Rot-Weiß,
5,Fortuna,1,0,Karlsruher,(Schult 57)
5,Hamburger,0,1,Nürnberg,(Leopold 53)
5,Hannover,2,1,Frankfurt,"(Breuer 3, Gräber 48 - Bronnert 58) [80 Grabowski(Frankfurt) m/pen]"
5,Duisburg,1,0,1. FC Köln,(Rühl 16)
5,Schalke,1,0,TSV 1860,(W.Kraus 60)
5,Stuttgart,1,2,B'schweig,"(Köppel 66 - Ulsaß 78, Maas 79)"
6,1. FC Köln,2,1,Schalke,"(Hornig 31, Löhr 52 - Bechmann 54)"
6,Nürnberg,2,0,Dortmund,"(Brungs 42, Volkert 48)"
6,M'gladbach,3,1,Fortuna,"(Rupp 41, 48, Heynckes 84 - Gerhardt 29)"
6,B'schweig,0,0,Duisburg,
6,Frankfurt,4,0,Stuttgart,"(Grabowski 4, Solz 47, 58 p, Huberts 54)"
6,Karlsruher,0,0,Hannover,
6,R,ot,W,eiß,"3-1 Bayern (Koslowski 12, Hasebrink 78, Simmet 85 - Ohlhauser 62)"
6,TSV 1860,3,0,K'lautern,"(Brunnenmeier 11, 23, Kohlars 54)"
6,Werder,5,1,Hamburger,"(Höttges 7 p, Zebrowski 8, Schütz 42, Schweghöfer 52,Danielsen 63 - Kurbjuhn 55)"
7,K'lautern,0,0,1. FC Köln,
7,Bayern,0,1,Nürnberg,(Greif 35)
7,Hamburger,3,2,TSV 1860,"(U.Seeler 21, Sandmann 65 p, G.Dörfel 86 -Brunnenmeier 17, Küppers 18)"
7,Hannover,1,1,M'gladbach,(Siemensmeyer 67 - Laumen 3)
7,Dortmund,2,0,Werder,"(Emmerich 45 p, 60)"
7,Fortuna,2,0,Rot-Weiß,"(Schulz 52, Meyer 63)"
7,Karlsruher,3,2,Frankfurt,"(C.Müller 17, Zaczyk 29, 53 - Huberts 63, Solz 72)"
7,Duisburg,0,0,Stuttgart,[35 van Haaren (Duisburg) m/pen]
7,Schalke,0,0,B'schweig,
8,1. FC Köln,0,0,Hamburger,
8,M'gladbach,3,1,Karlsruher,"(Heynckes 18, Rupp 38, Laumen 45 - H.Wild 43 p)"
8,B'schweig,2,0,K'lautern,"(Dulz 25, Maas 59)"
8,Nürnberg,4,2,Fortuna,"(Brungs 24, 67, Strehl 2, T.Wild 54 - Straus 42, Meyer 87)"
8,Frankfurt,1,0,Duisburg,(Huberts 61 p)
8,R,ot,W,eiß,"3-0 Hannover (Lippens 45, 85, Hasebrink 18)"
8,TSV 1860,1,2,Dortmund,"(Emmerich 75 - Brunnenmeier 38, Held 80) [36Brunnenmeier (TSV) m/pen](sent off: Konietzka (Dortmund, 81), Wagner(TSV, 81))"
8,Stuttgart,1,1,Schalke,(Köppel 14 - Neuser 51)
8,Werder,4,1,Bayern,"(Piontek 18, Ferner 28, Schweighöfer 74, Schütz 90 -Ohlhauser 60)"
9,K'lautern,3,3,Stuttgart,"(Rummel 6, Reitgaßl 41, Rehhagel 44 p - Sieloff 56, 59, Peters 81)"
9,Dortmund,6,1,1. FC Köln,"(Emmerich 54, 71, 76, Wosab 13, 62, Held 26 -Jendrossek 63)"
