Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Scott Garlick,TB,GK,32,32,2934,247,184,50,1.56,2/2,74.5
Joe Cannon,SJ,GK,26,26,2420,181,137,40,1.54,3/3,75.7
Tony Meola,KC,GK,31,31,2826,162,129,29,0.94,3/6,79.6
Matt Jordan,DAL,GK,31,31,2830,188,124,53,1.71,4/5,66.0
Mark Dougherty,CLB,GK,25,25,2269,170,111,46,1.84,6/6,65.3
Mike Ammann,MET,GK,22,22,1960,162,108,35,1.59,5/7,66.7
Nick Rimando,RSL,GK,22,22,2002,150,102,41,1.86,3/5,68.0
Kevin Hartman,LA,GK,26,26,2422,126,91,27,1.04,2/4,72.2
Zach Thornton,CHI,GK,25,25,2319,127,91,33,1.32,3/3,71.7
David Kramer,COL,GK,20,19,1804,125,79,33,1.74,1/1,63.2
Tom Presthus,DC,GK,20,20,1741,127,78,42,2.1,3/3,61.4
Adin Brown,COL,GK,13,13,1146,102,72,26,2.0,2/3,70.6
Jeff Causey,NE,GK,22,21,1975,110,67,34,1.62,1/5,60.9
Juergen Sommer,NE,GK,11,11,977,62,40,15,1.36,1/1,64.5
Tim Howard,COL,GK,9,8,794,63,40,14,1.75,1/1,63.5
Mark Simpson,DC,GK,13,12,1179,59,38,21,1.75,3/3,64.4
Jon Conway,SJ,GK,6,6,550,43,31,10,1.67,1/1,72.1
Jeff Cassar,MIA,GK,9,9,773,41,28,10,1.11,0/1,68.3
Matt Napoleon,CLB,GK,8,7,671,38,26,12,1.71,0/1,68.4
Matt Reis,LA,GK,6,6,559,31,21,10,1.67,1/2,67.7
Chris Snitko,CHI,GK,5,5,450,31,20,10,2.0,0/0,64.5
Paul Grafer,MET,GK,2,2,180,17,12,5,2.5,1/1,70.6
Greg Sutton,CHI,GK,2,2,180,21,12,8,4.0,0/0,57.1
Garth Lagerwey,MIA,GK,2,1,167,17,11,5,5.0,1/1,64.7
Johann Noetzel,DAL,GK,1,1,90,8,7,1,1.0,0/0,87.5
Bo Oshoniyi,KC,GK,1,1,90,3,2,0,0.0,0/0,66.7
Russell Payne,LA,GK,1,0,8,5,1,2,2.0,1/1,20.0
Tom Tate,TB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Scott Vallow,CHI,GK,0,0,0,0,0,0,0.0,0/0,0.0
Peter Van Deven,LA,GK,0,0,0,0,0,0,0.0,0/0,0.0
David Winner,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Preston Burpo,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Chuck Browder,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Scott Budnick,NE,GK,0,0,0,0,0,0,0.0,0/0,0.0
Matt Nyman,TB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Matt Nelson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Anthony Latronica,MET,GK,0,0,0,0,0,0,0.0,0/0,0.0
Paul Marcoullier,DC,GK,1,0,2,0,0,0,0.0,0/0,0.0
Andy Kirk,TB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Greg Connel,CLB,GK,0,0,0,0,0,0,0.0,0/0,0.0
Rich Cullen,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Randy Dedini,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Jon Busch,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
