Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Tony Meola,KC,GK,31,31,2826,29,0.94,3/6,15,7,9,16,48.4
Kevin Hartman,LA,GK,26,26,2422,27,1.04,2/4,12,7,7,7,46.2
Joe Cannon,SJ,GK,26,26,2420,40,1.54,3/3,6,13,7,7,23.1
Matt Jordan,DAL,GK,31,31,2830,53,1.71,4/5,13,14,4,7,41.9
Scott Garlick,TB,GK,32,32,2934,50,1.56,2/2,16,12,4,6,50.0
Zach Thornton,CHI,GK,25,25,2319,33,1.32,3/3,15,4,6,5,60.0
Tim Howard,COL,GK,9,8,794,14,1.75,1/1,5,2,2,4,55.6
David Kramer,COL,GK,20,19,1804,33,1.74,1/1,9,8,3,4,45.0
Jeff Causey,NE,GK,22,21,1975,34,1.62,1/5,8,8,5,3,36.4
Mark Dougherty,CLB,GK,25,25,2269,46,1.84,6/6,10,12,3,3,40.0
Jon Conway,SJ,GK,6,6,550,10,1.67,1/1,1,4,1,2,16.7
Jeff Cassar,MIA,GK,9,9,773,10,1.11,0/1,2,2,4,2,22.2
Juergen Sommer,NE,GK,11,11,977,15,1.36,1/1,5,5,1,2,45.5
Adin Brown,COL,GK,13,13,1146,26,2.0,2/3,4,7,1,2,30.8
Tom Presthus,DC,GK,20,20,1741,42,2.1,3/3,4,13,2,2,20.0
Nick Rimando,RSL,GK,22,22,2002,41,1.86,3/5,10,11,1,2,45.5
Mike Ammann,MET,GK,22,22,1960,35,1.59,5/7,11,9,1,2,50.0
Bo Oshoniyi,KC,GK,1,1,90,0,0.0,0/0,1,0,0,1,100.0
Chris Snitko,CHI,GK,5,5,450,10,2.0,0/0,2,3,0,1,40.0
Matt Reis,LA,GK,6,6,559,10,1.67,1/2,2,3,1,1,33.3
Matt Napoleon,CLB,GK,8,7,671,12,1.71,0/1,1,4,2,1,12.5
Mark Simpson,DC,GK,13,12,1179,21,1.75,3/3,4,5,4,1,30.8
Tom Tate,TB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Scott Vallow,CHI,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Peter Van Deven,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
David Winner,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Nelson,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Nyman,TB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Anthony Latronica,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Andy Kirk,TB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Preston Burpo,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chuck Browder,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Scott Budnick,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Greg Connel,CLB,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Rich Cullen,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Randy Dedini,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Paul Marcoullier,DC,GK,1,0,2,0,0.0,0/0,0,0,0,0,0.0
Russell Payne,LA,GK,1,0,8,2,2.0,1/1,0,0,0,0,0.0
Johann Noetzel,DAL,GK,1,1,90,1,1.0,0/0,1,0,0,0,100.0
Garth Lagerwey,MIA,GK,2,1,167,5,5.0,1/1,0,2,0,0,0.0
Greg Sutton,CHI,GK,2,2,180,8,4.0,0/0,0,2,0,0,0.0
Paul Grafer,MET,GK,2,2,180,5,2.5,1/1,1,1,0,0,50.0
Jon Busch,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
