Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Carlos Valderrama,TB,M,32,32,26,6,16,10,0.81
Steve Ralston,TB,M,30,30,17,8,12,5,0.58
Martin Machon,MIA,M,24,21,16,5,8,8,0.74
Preki,KC,M,31,29,15,4,12,3,0.54
Peter Nowak,CHI,M,28,28,14,3,9,5,0.52
Clint Mathis,LA,M,29,28,14,3,6,8,0.5
Diego Gutierrez,CHI,D,24,23,13,4,8,5,0.6
Jason Kreis,DAL,M,27,27,13,4,9,4,0.49
Robert Warzycha,CLB,M,30,29,13,3,10,3,0.44
Eric Quill,TB,F,30,25,11,2,6,5,0.45
Mark Chung,MET,M,30,28,11,5,8,3,0.39
Matt McKeon,KC,D,30,30,11,5,7,4,0.38
Diego Serna,MIA,F,31,25,10,3,5,5,0.4
Oscar Pareja,DAL,M,29,27,10,4,4,6,0.38
Anders Limpar,COL,M,18,12,9,5,4,5,0.73
Roy Lassiter,MIA,F,27,20,9,2,5,4,0.44
Chad Deering,DAL,M,29,24,9,2,9,0,0.37
Adolfo Valencia,MET,F,31,25,9,2,6,3,0.35
Dante Washington,CLB,F,30,28,9,1,6,3,0.32
Richard Mulrooney,SJ,M,29,29,9,3,7,2,0.31
Chris Henderson,KC,M,31,30,9,5,5,4,0.3
Dominic Kinnear,TB,M,23,12,8,3,7,1,0.56
Mauricio Ramos,NE,M,21,21,8,4,4,4,0.43
Jeff Cunningham,CLB,F,29,16,8,3,6,2,0.41
Marco Etcheverry,DC,M,22,20,8,1,4,4,0.4
Henry Gutierrez,MIA,M,27,23,8,2,5,3,0.36
Chris Klein,KC,M,27,26,8,4,4,4,0.33
Imad Baba,NE,M,30,29,8,3,7,1,0.29
Jesse Marsch,CHI,M,30,29,8,2,4,4,0.27
Hristo Stoitchkov,CHI,F,18,12,7,1,5,2,0.64
Paul Broome,DAL,M,20,12,7,1,5,2,0.57
Evan Whitfield,CHI,D,25,11,7,3,3,4,0.49
Welton,MIA,F,26,14,7,1,2,5,0.46
Manny Lagos,TB,M,27,17,7,2,3,4,0.42
Roy Myers,LA,M-F,25,19,7,1,4,3,0.37
Maurice Johnston,KC,M-F,25,22,7,3,5,2,0.32
Junior Agogo,CHI,F,23,22,7,1,1,6,0.32
Jaime Moreno,DC,F,25,25,7,2,3,4,0.28
Mauricio Cienfuegos,LA,M,28,28,7,1,2,5,0.24
Wolde Harris,NE,F,31,31,7,1,5,2,0.24
Josh Keller,TB,M,31,31,7,2,4,3,0.23
Lubos Kubik,CHI,D,13,12,6,2,1,5,0.55
Matt Okoh,COL,F,21,12,6,2,3,3,0.52
Bobby Rhine,DAL,M,23,17,6,3,3,3,0.39
Luis Hernandez,LA,F,16,15,6,3,1,5,0.38
Alex Comas,MET,M,25,17,6,0,1,5,0.34
Tab Ramos,MET,M,20,18,6,2,4,2,0.33
Sasha Victorine,LA,M,26,21,6,2,1,5,0.28
Jorge Rodriguez,DAL,M-D,25,22,6,1,4,2,0.26
Ante Razov,CHI,F,24,24,6,2,3,3,0.25
Brian West,CLB,M-F,28,24,6,3,5,1,0.24
Cobi Jones,LA,M,25,25,6,2,2,4,0.24
Petter Villegas,MET,M,29,27,6,1,1,5,0.23
John Harkes,NE,M,28,27,6,1,3,3,0.22
Jay Heaps,MIA,D,29,29,6,0,5,1,0.21
Lazo Alavanja,DAL,M,24,15,5,1,3,2,0.31
Chris Armas,CHI,M,16,16,5,1,2,3,0.3
Brian McBride,CLB,F,18,17,5,1,2,3,0.3
Josh Wolff,CHI,F,25,20,5,2,3,2,0.23
Jason Moore,COL,M,27,27,5,3,2,3,0.19
Dema Kovalenko,CHI,M,31,28,5,1,2,3,0.19
Marcelo Balboa,COL,D,28,28,5,1,3,2,0.18
Simon Elliott,LA,M,28,27,5,1,2,3,0.18
Henry Zambrano,COL,F,18,13,4,1,2,2,0.33
Andy Williams,MIA,M,20,14,4,0,4,0,0.28
Johnny Torres,NE,F,20,14,4,1,3,1,0.27
Zak Ibsen,LA,M,27,15,4,1,1,3,0.24
Khodadad Azizi,SJ,F,20,18,4,0,2,2,0.23
Mark Santel,DAL,M,25,18,4,2,4,0,0.21
Chad McCarty,TB,D,22,22,4,0,4,0,0.2
Geoff Aunger,DC,D,26,22,4,1,1,3,0.17
Dario Brose,SJ,M,28,21,4,1,4,0,0.17
Paul Caligiuri,LA,D,28,24,4,1,1,3,0.16
Mamadou Diallo,TB,F,28,26,4,0,3,1,0.15
Jim Rooney,MIA,M,30,27,4,0,4,0,0.15
Antonio Martinez,DAL,F-M,15,3,3,0,3,0,0.51
Joey DiGiamarino,COL,M,18,6,3,1,1,2,0.33
Jamar Beasley,NE,M,19,6,3,1,2,1,0.32
Nelson Vargas,MIA,M,14,10,3,2,2,1,0.3
Ben Olsen,DC,M,13,13,3,0,2,1,0.26
Aleksey Korol,DAL,F,21,11,3,0,3,0,0.26
Mike Sorber,CHI,M,19,13,3,1,3,0,0.25
A.J. Wood,DC,F,24,12,3,0,1,2,0.22
William Sunsing,NE,F,26,9,3,2,3,0,0.21
Lothar Matthaus,MET,D,16,16,3,1,1,2,0.2
Paul Dougherty,COL,F,24,19,3,1,0,3,0.17
Ezra Hendrickson,LA,D,22,20,3,2,2,1,0.14
Ian Russell,SJ,D,28,20,3,0,2,1,0.14
Brian Kamler,MIA,M,28,20,3,1,2,1,0.14
Paul Bravo,COL,M,27,24,3,1,2,1,0.13
Jeff Agoos,DC,D,23,23,3,1,2,1,0.13
Ariel Graziani,DAL,F,24,24,3,2,2,1,0.13
Abdul Thompson Conteh,SJ,F,31,27,3,1,3,0,0.11
Mike Clark,CLB,D,28,28,3,0,1,2,0.11
David Vaudreuil,COL,D,28,28,3,0,1,2,0.11
John Wilmar Perez,CLB,M,30,30,3,1,2,1,0.1
Ritchie Kotschau,TB,D,32,29,3,1,2,1,0.1
Kerry Zavagnin,KC,M,31,31,3,1,3,0,0.1
Peter Vermes,KC,D,32,32,3,1,0,3,0.09
Peter Byaruhanga,KC,F,6,2,2,1,0,2,1.06
Gary Glasgow,KC,F,11,5,2,0,0,2,0.38
Jamie Clark,SJ,D,8,5,2,0,1,1,0.36
Brian Johnson,KC,M,18,4,2,0,1,1,0.31
Eric Wynalda,MIA,F,11,6,2,0,1,1,0.28
Kevin Anderson,COL,M-D,21,9,2,0,1,1,0.2
DaMarcus Beasley,HOU,D,18,11,2,1,1,1,0.17
Mike Duhaney,CLB,D,20,14,2,0,2,0,0.15
Jason Farrell,CLB,F,24,13,2,1,0,2,0.14
Thomas Dooley,MET,D,20,17,2,0,1,1,0.14
Sergi Daniv,DAL,M,18,16,2,1,1,1,0.14
Daniel Hernandez,MET,M,17,15,2,2,0,2,0.13
