day,date,home_team,result,away_team
Saturday,March 18,DAL,4-2,Chicago
Saturday,March 25,DAL,0-1,Colorado
Saturday,April 1,DAL,1-0,Tampa Bay Mutiny
Saturday,April 8,DAL,2-1,New England
Saturday,April 15,LA Galaxy,2-1,DAL
Saturday,April 22,San Jose,5-0,DAL
Saturday,April 29,DAL,2-1,Columbus
Saturday,May 6,Tampa Bay Mutiny,3-1,DAL
Saturday,May 13,DAL,1-1,LA Galaxy
Saturday,May 20,Columbus,2-1,DAL
Wednesday,May 24,Chicago,4-3,DAL
Saturday,May 27,D.C. United,3-2,DAL
Saturday,June 3,DAL,2-3,Tampa Bay Mutiny
Wednesday,June 7,DAL,3-2,Columbus
Saturday,June 10,Columbus,1-1,DAL
Saturday,June 17,DAL,4-1,Sporting KC
Wednesday,June 21,Sporting KC,0-0,DAL
Saturday,June 24,D.C. United,2-0,DAL
Wednesday,June 28,Colorado,1-0,DAL
Saturday,July 1,DAL,4-2,LA Galaxy
Wednesday,July 5,NY Red Bulls,2-1,DAL
Saturday,July 8,DAL,3-0,D.C. United
Saturday,July 15,Fusion,0-3,DAL
Wednesday,July 19,DAL,1-1,Fusion
Wednesday,August 2,New England,1-2,DAL
Saturday,August 5,Tampa Bay Mutiny,2-1,DAL
Saturday,August 12,DAL,1-0,D.C. United
Wednesday,August 16,DAL,3-0,Chicago
Saturday,August 26,DAL,4-6,NY Red Bulls
Wednesday,August 30,Chicago,4-0,DAL
Wednesday,September 6,LA Galaxy,0-1,DAL
Saturday,September 9,DAL,2-1,San Jose
