Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Diego Serna,MIA,F,31,25,2236,16,10,87,41,83,77,22,8,0
Chris Henderson,KC,M,31,30,2694,9,9,50,24,79,60,36,4,0
Carey Talley,DC,D,29,28,2458,3,1,27,12,76,41,1,8,0
Matt McKeon,KC,D,30,30,2631,3,11,74,23,75,50,0,7,1
Mamadou Diallo,TB,F,28,26,2405,26,4,152,76,74,72,82,9,0
Chris Martinez,COL,D,30,30,2662,0,2,11,5,70,16,0,6,0
Josh Keller,TB,M,31,31,2775,2,7,22,8,69,40,1,6,1
Richie Williams,DC,M,29,27,2445,0,2,11,4,68,37,2,9,0
Geoff Aunger,DC,D,26,22,2081,1,4,21,7,67,25,1,11,0
Rusty Pierce,NE,D,29,29,2600,0,0,6,1,66,55,0,7,0
Jason Kreis,DAL,M,27,27,2409,11,13,82,41,61,51,14,4,0
Leonel Alvarez,NE,M,28,28,2474,1,2,11,4,60,37,0,5,1
Ariel Graziani,DAL,F,24,24,2138,15,3,74,45,58,62,37,6,1
Oscar Pareja,DAL,M,29,27,2354,3,10,37,15,58,77,3,6,0
Jay Heaps,MIA,D,29,29,2627,5,6,36,15,58,46,10,6,2
Petter Villegas,MET,M,29,27,2341,5,6,55,19,57,59,10,5,0
Wolde Harris,NE,F,31,31,2640,15,7,101,46,57,65,26,1,0
Eric Dade,DAL,D,31,30,2666,4,2,12,9,57,24,1,3,0
Jimmy Conrad,SJ,D,26,25,2377,0,2,9,2,56,24,0,6,1
Carlos Llamosa,DC,D,23,20,1974,2,1,8,3,55,36,0,8,1
Scott Vermillion,COL,D,28,25,2244,2,1,24,9,55,25,2,6,0
Pablo Mastroeni,MIA,M,29,29,2661,0,1,5,2,55,39,2,8,2
Adolfo Valencia,MET,F,31,25,2295,16,9,60,32,54,61,49,3,1
Jesse Marsch,CHI,M,30,29,2658,2,8,29,8,54,31,5,8,0
Ricardo Iribarren,DAL,D,22,21,1675,0,2,1,1,53,14,0,10,0
Roy Myers,LA,M-F,25,19,1712,1,7,27,12,53,46,5,3,2
Jason Moore,COL,M,27,27,2385,0,5,18,6,53,83,10,5,0
Carlos Bocanegra,CHI,D,27,27,2402,1,1,10,2,51,42,0,5,0
Steve Jolley,LA,D,28,27,2496,2,2,15,5,51,19,0,4,0
Joe Franchino,LA,M,30,29,2604,2,2,16,5,50,34,1,6,0
Ante Razov,CHI,F,24,24,2145,18,6,127,63,49,68,23,3,2
Abdul Thompson Conteh,SJ,F,31,27,2356,8,3,71,41,49,64,33,2,0
Junior Agogo,CHI,F,23,22,1993,10,7,103,48,48,40,37,3,0
Kerry Zavagnin,KC,M,31,31,2743,2,3,22,6,48,61,1,6,0
Chris Albright,DC,D,25,21,1823,3,0,48,17,45,37,14,2,0
Ted Eck,DAL,M-F,29,22,1918,3,2,16,7,45,46,0,5,0
Dema Kovalenko,CHI,M,31,28,2429,10,5,52,35,45,51,8,8,0
Brian West,CLB,M-F,28,24,2249,6,6,30,17,44,42,19,5,0
Jim Rooney,MIA,M,30,27,2429,6,4,48,14,44,28,1,5,0
Alex Comas,MET,M,25,17,1571,13,6,48,34,43,26,15,3,0
Chad Deering,DAL,M,29,24,2195,2,9,34,16,43,29,4,8,0
Robert Warzycha,CLB,M,30,29,2646,6,13,63,26,43,55,1,6,1
Steve Trittschuh,TB,D,32,32,2878,4,1,19,10,43,36,1,2,0
C.J. Brown,CHI,D,27,27,2497,0,1,4,1,42,44,0,7,0
Mark Chung,MET,M,30,28,2539,3,11,60,28,42,64,11,2,0
Steve Shak,MET,D,23,14,1393,1,1,6,2,41,9,2,4,1
John Doyle,SJ,D,20,20,1776,4,2,20,11,41,19,5,3,1
Peter Nowak,CHI,M,28,28,2402,5,14,36,17,41,70,2,7,1
Mike Clark,CLB,D,28,28,2448,0,3,12,5,41,22,1,6,0
Matt Okoh,COL,F,21,12,1039,2,6,36,5,40,34,9,4,0
Ezra Hendrickson,LA,D,22,20,1867,1,3,18,5,40,26,1,3,3
Greg Vanney,LA,D,27,27,2526,6,2,25,14,40,27,0,6,0
Mike Petke,MET,D,30,29,2672,3,1,19,10,40,24,0,4,1
A.J. Wood,DC,F,24,12,1237,3,3,45,21,39,29,11,3,0
Ivan McKinley,MIA,D-M,23,22,1918,3,1,16,8,39,13,0,10,2
Maurice Johnston,KC,M-F,25,22,1982,4,7,46,18,39,49,10,6,0
Dario Brose,SJ,M,28,21,2088,5,4,63,27,39,35,0,5,0
Dante Washington,CLB,F,30,28,2541,15,9,80,44,39,58,17,1,0
Peter Vermes,KC,D,32,32,2916,2,3,14,5,39,35,0,5,0
Luis Hernandez,LA,F,16,15,1407,4,6,64,24,38,36,27,5,0
Imad Baba,NE,M,30,29,2508,9,8,70,37,38,40,9,3,0
Mauricio Cienfuegos,LA,M,28,28,2612,4,7,45,18,38,57,6,4,0
Brandon Prideaux,KC,D,31,31,2809,0,0,3,2,38,58,0,4,0
Wojtek Krakowiak,SJ,M,24,11,1282,5,0,21,11,37,22,6,4,0
Ansil Elcock,CLB,D,19,18,1679,1,2,16,8,37,35,0,5,0
Billy Walsh,MET,M,24,19,1756,3,1,18,11,37,10,0,6,1
Mike Lapper,CLB,D,24,20,1923,1,1,14,3,37,22,0,4,0
Sasha Victorine,LA,M,26,21,1953,3,6,35,17,37,37,11,0,0
Evan Whitfield,CHI,D,25,11,1278,2,7,15,7,36,29,5,8,1
Johnny Torres,NE,F,20,14,1328,1,4,28,21,36,30,14,4,0
Diego Gutierrez,CHI,D,24,23,1959,2,13,28,12,36,42,6,3,1
Paul Bravo,COL,M,27,24,2009,7,3,51,22,36,28,7,3,0
Paul Caligiuri,LA,D,28,24,2212,3,4,18,9,36,29,2,3,0
Richard Mulrooney,SJ,M,29,29,2646,0,9,30,15,36,56,2,3,1
Chris Armas,CHI,M,16,16,1479,0,5,11,5,35,17,0,2,0
Danny Califf,LA,D,18,16,1518,1,1,9,4,35,15,2,6,0
Lance Key,COL,D,21,21,1940,0,1,14,2,35,27,0,6,0
Jaime Moreno,DC,F,25,25,2213,12,7,68,37,35,81,19,0,0
