Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Mamadou Diallo,TB,F,28,26,2405,26,4,152,76,1/3,17.1,50.0
Ante Razov,CHI,F,24,24,2145,18,6,127,63,2/3,14.2,49.6
Junior Agogo,CHI,F,23,22,1993,10,7,103,48,1/3,9.7,46.6
Wolde Harris,NE,F,31,31,2640,15,7,101,46,0/0,14.9,45.5
Preki,KC,M,31,29,2485,3,15,95,31,0/0,3.2,32.6
Clint Mathis,LA,M,29,28,2520,16,14,94,47,1/2,17.0,50.0
Diego Serna,MIA,F,31,25,2236,16,10,87,41,1/1,18.4,47.1
Jason Kreis,DAL,M,27,27,2409,11,13,82,41,0/0,13.4,50.0
Dante Washington,CLB,F,30,28,2541,15,9,80,44,0/0,18.8,55.0
Ariel Graziani,DAL,F,24,24,2138,15,3,74,45,0/0,20.3,60.8
Matt McKeon,KC,D,30,30,2631,3,11,74,23,0/0,4.1,31.1
Abdul Thompson Conteh,SJ,F,31,27,2356,8,3,71,41,0/0,11.3,57.7
Imad Baba,NE,M,30,29,2508,9,8,70,37,4/4,12.9,52.9
Jaime Moreno,DC,F,25,25,2213,12,7,68,37,2/3,17.6,54.4
Luis Hernandez,LA,F,16,15,1407,4,6,64,24,1/1,6.3,37.5
Raul Diaz Arce,DC,F,23,21,1874,9,2,64,32,1/1,14.1,50.0
Dario Brose,SJ,M,28,21,2088,5,4,63,27,2/2,7.9,42.9
Robert Warzycha,CLB,M,30,29,2646,6,13,63,26,2/2,9.5,41.3
Adolfo Valencia,MET,F,31,25,2295,16,9,60,32,4/4,26.7,53.3
Mark Chung,MET,M,30,28,2539,3,11,60,28,0/0,5.0,46.7
Petter Villegas,MET,M,29,27,2341,5,6,55,19,0/0,9.1,34.5
Hristo Stoitchkov,CHI,F,18,12,987,9,7,54,24,3/4,16.7,44.4
Roy Lassiter,MIA,F,27,20,1838,8,9,54,38,1/1,14.8,70.4
Eric Quill,TB,F,30,25,2205,5,11,54,24,0/0,9.3,44.4
Miklos Molnar,KC,F,17,16,1353,12,1,53,28,0/0,22.6,52.8
Dema Kovalenko,CHI,M,31,28,2429,10,5,52,35,0/1,19.2,67.3
Paul Bravo,COL,M,27,24,2009,7,3,51,22,2/2,13.7,43.1
Simon Elliott,LA,M,28,27,2497,5,5,51,22,0/0,9.8,43.1
Jorge Dely Valdes,COL,F,20,13,1352,7,1,50,25,0/0,14.0,50.0
Chris Henderson,KC,M,31,30,2694,9,9,50,24,0/0,18.0,48.0
Josh Wolff,CHI,F,25,20,1917,7,5,49,26,0/1,14.3,53.1
Alex Comas,MET,M,25,17,1571,13,6,48,34,3/3,27.1,70.8
Jeff Cunningham,CLB,F,29,16,1755,2,8,48,19,0/0,4.2,39.6
Chris Albright,DC,D,25,21,1823,3,0,48,17,0/0,6.3,35.4
Jim Rooney,MIA,M,30,27,2429,6,4,48,14,0/0,12.5,29.2
Brian McBride,CLB,F,18,17,1523,6,5,47,22,1/1,12.8,46.8
Maurice Johnston,KC,M-F,25,22,1982,4,7,46,18,0/0,8.7,39.1
Cobi Jones,LA,M,25,25,2291,7,6,46,24,0/0,15.2,52.2
A.J. Wood,DC,F,24,12,1237,3,3,45,21,0/0,6.7,46.7
Welton,MIA,F,26,14,1365,4,7,45,22,0/0,8.9,48.9
Manny Lagos,TB,M,27,17,1500,8,7,45,20,0/0,17.8,44.4
Mauricio Cienfuegos,LA,M,28,28,2612,4,7,45,18,0/0,8.9,40.0
Martin Machon,MIA,M,24,21,1952,2,16,42,16,0/0,4.8,38.1
Marcelo Balboa,COL,D,28,28,2495,4,5,42,20,0/0,9.5,47.6
Mauricio Ramos,NE,M,21,21,1677,3,8,41,15,0/0,7.3,36.6
Harut Karapetyan,SJ,F,24,22,1744,2,2,41,19,0/0,4.9,46.3
William Sunsing,NE,F,26,9,1263,1,3,38,17,0/0,2.6,44.7
Bobby Convey,DC,M,22,18,1614,0,2,38,20,0/0,0.0,52.6
Steve Ralston,TB,M,30,30,2631,5,17,38,18,0/1,13.2,47.4
Oscar Pareja,DAL,M,29,27,2354,3,10,37,15,0/0,8.1,40.5
Matt Okoh,COL,F,21,12,1039,2,6,36,5,0/0,5.6,13.9
Andy Williams,MIA,M,20,14,1297,4,4,36,16,0/0,11.1,44.4
Peter Nowak,CHI,M,28,28,2402,5,14,36,17,0/0,13.9,47.2
Jay Heaps,MIA,D,29,29,2627,5,6,36,15,0/0,13.9,41.7
Sasha Victorine,LA,M,26,21,1953,3,6,35,17,0/0,8.6,48.6
Marco Etcheverry,DC,M,22,20,1810,4,8,34,16,1/1,11.8,47.1
Chad Deering,DAL,M,29,24,2195,2,9,34,16,0/0,5.9,47.1
Jamar Beasley,NE,M,19,6,848,3,3,32,16,0/0,9.4,50.0
Henry Gutierrez,MIA,M,27,23,1994,3,8,31,16,2/3,9.7,51.6
