Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
David Villa,NYC,F,31,28,2556,22,9,136,55,4/5,16.2,40.4
Sebastian Giovinco,TOR,F,25,25,2057,16,6,128,52,1/3,12.5,40.6
Nemanja Nikolic,CHI,F,34,34,2946,24,4,118,59,4/5,20.3,50.0
Clint Dempsey,SEA,F,29,25,2276,12,5,116,39,2/3,10.3,33.6
Maximiliano Urruti,DAL,F,32,31,2749,12,5,103,39,1/1,11.7,37.9
Joao Plata,RSL,F,29,27,2318,7,5,95,30,2/2,7.4,31.6
Romain Alessandrini,LA,M,30,27,2441,13,12,95,41,2/2,13.7,43.2
Diego Valeri,POR,M,32,32,2828,21,11,93,39,6/7,22.6,41.9
Ola Kamara,LA,F,34,33,2867,18,3,89,39,2/3,20.2,43.8
Kei Kamara,VAN,F,31,27,2365,12,5,88,35,0/0,13.6,39.8
Fredy Montero,VAN,F,33,26,2469,13,6,86,35,2/4,15.1,40.7
Hector Villalba,ATL,F,34,34,2762,13,11,86,44,0/0,15.1,51.2
Sebastian Blanco,POR,M-F,33,32,2783,8,8,86,32,0/0,9.3,37.2
Albert Rusnak,RSL,M,30,29,2579,7,14,85,30,0/0,8.2,35.3
Miguel Almiron,ATL,M,30,27,2394,9,14,84,35,1/1,10.7,41.7
Bradley Wright-Phillips,RBNY,F,32,29,2560,17,1,83,36,0/0,20.5,43.4
Chris Wondolowski,SJ,F,34,34,3041,13,8,79,28,1/1,16.5,35.4
Carlos Rivas,RBNY,F,30,21,1960,5,5,76,19,0/0,6.6,25.0
Ignacio Piatti,MTL,M,28,26,2368,17,6,75,38,4/5,22.7,50.7
Dom Dwyer,ORL,F,27,25,2246,9,5,74,36,0/0,12.2,48.6
Erick Torres,HOU,F,27,23,2001,14,3,72,26,5/6,19.4,36.1
Diego Fagundez,NE,M,32,27,2435,7,8,72,35,0/0,9.7,48.6
Alberth Elis,HOU,F,26,18,1645,10,4,71,28,1/1,14.1,39.4
Mauro Manotas,HOU,F,33,24,2063,10,5,71,35,0/1,14.1,49.3
Danny Hoesen,SJ,F,32,20,1838,5,5,70,24,0/0,7.1,34.3
Jozy Altidore,TOR,F,27,25,2194,15,6,68,30,3/5,22.1,44.1
Josef Martinez,ATL,F,20,17,1528,19,1,67,32,2/2,28.4,47.8
CJ Sapong,PHI,F,33,30,2794,16,5,67,34,3/3,23.9,50.7
Nicolás Lodeiro,SEA,M,33,33,2965,7,12,67,19,3/3,10.4,28.4
Fanendo Adi,POR,F,22,22,1885,10,3,66,28,3/3,15.2,42.4
Blerim Dzemaili,MTL,M,22,22,1941,7,10,66,17,0/0,10.6,25.8
David Accam,PHI,M,30,24,2177,14,8,66,36,2/2,21.2,54.5
Jack Harrison,NYC,F,34,33,2757,10,6,65,31,0/0,15.4,47.7
Benny Feilhaber,LAFC,M,30,24,2269,5,3,64,20,2/2,7.8,31.3
Gerso Fernandes,SKC,F,32,26,2238,8,2,62,25,0/0,12.9,40.3
Justin Meram,ORL,M,34,32,2588,13,7,61,28,0/0,21.3,45.9
Christian Ramirez,MIN,F,30,27,2392,14,3,60,34,0/0,23.3,56.7
Michael Barrios,DAL,M,34,28,2566,3,14,60,18,0/0,5.0,30.0
Giovani dos Santos,LA,F,25,25,2189,6,3,59,17,3/3,10.2,28.8
Luis Silva,RSL,F,30,20,1775,7,3,58,20,1/1,12.1,34.5
Jefferson Savarino,RSL,F,22,19,1673,6,5,57,25,0/0,10.5,43.9
Cristian Techera,VAN,M,29,24,2043,6,7,56,17,1/2,10.7,30.4
Dominique Badji,COL,F,33,29,2540,9,6,56,28,0/1,16.1,50.0
Cyle Larin,ORL,F,28,24,2169,12,3,55,32,0/1,21.8,58.2
Kevin Doyle,COL,F,25,23,1966,5,4,54,18,1/1,9.3,33.3
Yamil Asad,DC,M-F,32,31,2765,7,13,53,23,1/1,13.2,43.4
Will Bruin,SEA,F,31,20,1824,11,2,52,20,0/0,21.2,38.5
Daniel Royer,RBNY,M,26,23,1868,12,3,52,22,4/4,23.1,42.3
Rodney Wallace,NYC,F,26,23,1935,4,6,52,19,0/0,7.7,36.5
Giles Barnes,ORL,M,34,23,2137,3,2,52,16,0/0,5.8,30.8
Federico Higuain,CLB,M,26,26,2238,9,14,52,24,2/3,17.3,46.2
Matteo Mancosu,MTL,F,26,20,1745,6,2,49,20,1/1,12.2,40.8
Marcos Ureña,LAFC,F,25,22,1766,5,3,49,24,0/0,10.2,49.0
Kellyn Acosta,DAL,M,23,20,1895,3,2,49,15,0/0,6.1,30.6
Jimmy Medranda,SKC,D-M,33,24,2086,2,1,49,10,0/0,4.1,20.4
Lee Nguyen,NE,M,31,30,2542,11,15,49,23,3/3,22.4,46.9
Roger Espinoza,SKC,M,30,30,2677,1,3,48,10,0/0,2.1,20.8
Teal Bunbury,NE,F,28,13,1279,7,1,46,22,0/0,15.2,47.8
Fafa Picault,PHI,M,28,23,1894,7,3,46,22,0/0,15.2,47.8
Luciano Acosta,DC,M-F,31,30,2419,5,5,46,24,1/1,10.9,52.2
Kevin Molino,MIN,M,30,30,2512,7,9,46,16,3/4,15.2,34.8
Yura Movsisyan,RSL,F,28,16,1416,7,0,45,19,1/1,15.6,42.2
Jahmir Hyka,SJ,M,30,21,1871,3,5,45,12,0/0,6.7,26.7
Luis Solignac,CHI,F,33,26,2153,7,4,45,15,0/0,15.6,33.3
Romell Quioto,HOU,F,22,14,1281,7,3,44,15,0/0,15.9,34.1
Luke Mulholland,RSL,M,27,22,1949,3,4,44,8,0/0,6.8,18.2
Roland Lamah,DAL,M,32,29,2157,11,3,44,23,0/0,25.0,52.3
Maximiliano Moralez,NYC,M,29,28,2523,5,9,44,17,0/1,11.4,38.6
Chris Pontius,LA,F,30,27,2253,2,6,43,17,0/0,4.7,39.5
Daniel Salloi,SKC,F,22,12,1172,3,2,42,19,0/0,7.1,45.2
Tommy Thompson,SJ,M,32,16,1534,1,4,42,12,0/0,2.4,28.6
David Guzman,POR,M,25,24,2028,1,6,42,9,0/1,2.4,21.4
Darlington Nagbe,ATL,M,27,27,2332,3,5,42,10,0/0,7.1,23.8
Victor Vazquez,TOR,M,31,28,2382,8,16,41,20,3/3,19.5,48.8
Sacha Kljestan,ORL,M,32,28,2582,2,17,41,11,0/0,4.9,26.8
Cristian Colman,DAL,F,26,10,959,2,1,40,15,0/0,5.0,37.5
Alex,HOU,M,32,28,2309,2,11,40,14,0/0,5.0,35.0
Cristian Roldan,SEA,M,33,33,2960,6,3,40,17,0/0,15.0,42.5
Valeri Qazaishvili,SJ,M,13,8,784,5,2,38,14,0/0,13.2,36.8
Patrick Mullins,DC,F,20,12,1075,5,0,38,14,0/0,13.2,36.8
Ilsinho,PHI,M,27,24,1848,6,5,38,11,0/0,15.8,28.9
Ethan Finlay,MIN,F,30,25,2262,4,4,38,11,0/0,10.5,28.9
Diego Rubio,SKC,F,16,11,1010,6,2,37,14,0/1,16.2,37.8
Abu Danladi,MIN,F,27,15,1391,8,3,37,13,0/0,21.6,35.1
Latif Blessing,LAFC,F,25,16,1419,3,1,37,15,0/0,8.1,40.5
Graham Zusi,SKC,D-M,24,23,2114,0,8,37,11,0/0,0.0,29.7
Michael de Leeuw,CHI,F,30,26,2189,3,8,37,13,0/0,8.1,35.1
Felipe,VAN,M,33,33,2961,2,5,37,12,0/0,5.4,32.4
Dairon Asprilla,POR,M-F,27,17,1395,2,4,36,7,0/0,5.6,19.4
Juan Agudelo,NE,F,28,20,1821,8,1,36,17,0/0,22.2,47.2
Alex Muyl,RBNY,M,30,21,1938,3,4,36,14,0/0,8.3,38.9
Alejandro Bedoya,PHI,M,28,28,2509,2,4,36,10,0/1,5.6,27.8
Haris Medunjanin,PHI,M,34,34,3057,2,12,36,10,0/0,5.6,27.8
Julian Gressel,ATL,M,32,24,2048,5,9,35,9,0/0,14.3,25.7
Jordan Morris,SEA,F,23,22,1801,3,1,34,14,0/0,8.8,41.2
Kelyn Rowe,NE,M,23,21,1897,1,7,34,10,0/0,2.9,29.4
Maynor Figueroa,DAL,D,26,26,2325,3,1,34,6,0/0,8.8,17.6
Kyle Beckerman,RSL,M,26,26,2242,4,0,33,13,0/0,12.1,39.4
Anthony Jackson-Hamel,MTL,F,21,11,1137,9,4,32,14,0/0,28.1,43.8
Johan Venegas,MIN,M,22,12,1226,2,5,32,10,0/0,6.3,31.3
Will Johnson,ORL,M,26,23,2057,2,3,32,13,0/0,6.3,40.6
Kofi Opare,DC,D,26,25,2214,2,1,32,8,0/0,6.3,25.0
Roland Alberg,PHI,M,24,9,871,7,1,31,13,2/3,22.6,41.9
Tosaint Ricketts,TOR,F,22,9,1003,7,1,31,15,0/0,22.6,48.4
Darren Mattocks,DC,F,24,11,1075,4,2,31,14,0/0,12.9,45.2
Lamar Neagle,SEA,M,30,9,1204,3,0,31,15,1/2,9.7,48.4
Kaká,ORL,M,23,18,1564,6,5,31,10,0/0,19.4,32.3
Sebastian Saucedo,RSL,M,20,5,573,0,2,29,8,0/0,0.0,27.6
Kekuta Manneh,CLB,M-F,22,11,974,4,3,29,12,0/0,13.8,41.4
Christian Bolaños,VAN,M,21,18,1626,0,7,29,7,0/0,0.0,24.1
Gyasi Zardes,CLB,F,24,23,1987,2,2,29,10,0/0,6.9,34.5
