day,date,home_team,result,away_team
Saturday,March 4,LA,1-2,FC Dallas
Sunday,March 12,LA,0-1,Portland
Saturday,March 18,Real Salt Lake,1-2,LA
Saturday,April 1,Vancouver,4-2,LA
Friday,April 7,LA,2-0,Montreal
Saturday,April 15,Orlando,2-1,LA
Sunday,April 23,Seattle,0-3,LA
Saturday,April 29,LA,0-0,Philadelphia
Saturday,May 6,LA,2-2,Chicago
Sunday,May 14,NY Red Bulls,1-3,LA
Sunday,May 21,Minnesota,1-2,LA
Saturday,May 27,San Jose,2-4,LA
Saturday,June 3,D.C. United,0-0,LA
Saturday,June 17,LA,2-2,Houston
Wednesday,June 21,Colorado,1-3,LA
Saturday,June 24,LA,1-2,Sporting KC
Saturday,July 1,San Jose,2-1,LA
Tuesday,July 4,LA,2-6,Real Salt Lake
Wednesday,July 19,LA,0-1,Vancouver
Saturday,July 22,New England,4-3,LA
Saturday,July 29,Seattle,0-0,LA
Sunday,August 6,Portland,3-1,LA
Saturday,August 12,LA,0-2,NYCFC
Wednesday,August 23,Columbus,2-0,LA
Sunday,August 27,LA,0-3,San Jose
Saturday,September 2,LA,3-0,Colorado
Sunday,September 10,Seattle,1-1,LA
Saturday,September 16,LA,0-4,Toronto FC
Wednesday,September 20,Atlanta,4-0,LA
Sunday,September 24,Sporting KC,2-1,LA
Wednesday,September 27,Houston,3-3,LA
Saturday,September 30,LA,1-1,Real Salt Lake
Sunday,October 15,LA,3-0,Minnesota
Sunday,October 22,FC Dallas,5-1,LA
