day,date,home_team,result,away_team
Sunday,March 5,ORL,1-0,NYCFC
Saturday,March 18,ORL,2-1,Philadelphia
Saturday,April 1,Columbus,2-0,ORL
Sunday,April 9,ORL,1-0,NY Red Bulls
Saturday,April 15,ORL,2-1,LA Galaxy
Sunday,April 23,NYCFC,1-2,ORL
Saturday,April 29,ORL,2-0,Colorado
Wednesday,May 3,Toronto FC,2-1,ORL
Saturday,May 6,Houston,4-0,ORL
Saturday,May 13,ORL,2-2,Sporting KC
Wednesday,May 17,San Jose,1-1,ORL
Sunday,May 21,ORL,0-3,NYCFC
Saturday,May 27,Minnesota,1-0,ORL
Wednesday,May 31,ORL,2-0,D.C. United
Sunday,June 4,ORL,0-0,Chicago
Saturday,June 17,ORL,3-3,Montreal
Wednesday,June 21,Seattle,1-1,ORL
Saturday,June 24,Chicago,4-0,ORL
Friday,June 30,Real Salt Lake,0-1,ORL
Wednesday,July 5,ORL,1-3,Toronto FC
Friday,July 21,ORL,0-1,Atlanta
Saturday,July 29,Atlanta,1-1,ORL
Saturday,August 5,Montreal,2-1,ORL
Saturday,August 12,NY Red Bulls,3-1,ORL
Saturday,August 19,ORL,1-1,Columbus
Saturday,August 26,ORL,1-2,Vancouver
Saturday,September 2,New England,4-0,ORL
Saturday,September 9,D.C. United,1-2,ORL
Saturday,September 16,Atlanta,3-3,ORL
Sunday,September 24,Portland,3-0,ORL
Wednesday,September 27,ORL,6-1,New England
Saturday,September 30,ORL,0-0,FC Dallas
Sunday,October 15,ORL,0-1,Columbus
Sunday,October 22,Philadelphia,6-1,ORL
