day,date,home_team,result,away_team
Sunday,March 5,Vancouver,0-0,PHI
Saturday,March 11,PHI,2-2,Toronto FC
Saturday,March 18,Orlando,2-1,PHI
Saturday,April 1,D.C. United,2-1,PHI
Saturday,April 8,PHI,1-3,Portland
Friday,April 14,PHI,0-2,NYCFC
Saturday,April 22,PHI,3-3,Montreal
Saturday,April 29,LA Galaxy,0-0,PHI
Saturday,May 6,PHI,3-0,NY Red Bulls
Saturday,May 13,D.C. United,0-4,PHI
Wednesday,May 17,PHI,2-0,Houston
Saturday,May 20,PHI,2-1,Colorado
Saturday,May 27,Real Salt Lake,1-0,PHI
Saturday,June 3,NYCFC,2-1,PHI
Sunday,June 18,PHI,0-2,NY Red Bulls
Saturday,June 24,PHI,1-0,D.C. United
Sunday,July 2,PHI,3-0,New England
Thursday,July 6,Sporting KC,1-1,PHI
Wednesday,July 19,Montreal,2-1,PHI
Saturday,July 22,Columbus,1-0,PHI
Wednesday,July 26,PHI,3-0,Columbus
Saturday,July 29,New England,3-0,PHI
Saturday,August 5,PHI,3-1,FC Dallas
Saturday,August 12,PHI,0-3,Montreal
Saturday,August 19,San Jose,2-2,PHI
Wednesday,August 23,Toronto FC,3-0,PHI
Saturday,August 26,PHI,2-2,Atlanta
Saturday,September 9,Minnesota,1-1,PHI
Sunday,September 17,NY Red Bulls,0-0,PHI
Saturday,September 23,PHI,3-1,Chicago
Wednesday,September 27,Atlanta,3-0,PHI
Sunday,October 1,Seattle,2-0,PHI
Sunday,October 15,Chicago,3-2,PHI
Sunday,October 22,PHI,6-1,Orlando
