Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Joe Bendik,ORL,GK,33,33,2970,173,118,52,1.58,4/5,68.2
Bobby Shuttleworth,MIN,GK,33,32,2838,174,116,60,1.88,6/8,66.7
Luis Robles,RBNY,GK,34,34,3060,149,99,47,1.38,8/9,66.4
Bill Hamid,DC,GK,24,24,2160,132,98,35,1.46,3/4,74.2
Zack Steffen,CLB,GK,34,34,3060,150,98,49,1.44,4/7,65.3
Sean Johnson,NYC,GK,32,32,2880,137,96,39,1.22,3/4,70.1
Tim Melia,SKC,GK,31,31,2759,116,91,24,0.77,2/5,78.4
David Ousted,DC,GK,28,28,2453,132,90,39,1.39,4/4,68.2
Andre Blake,PHI,GK,26,26,2340,125,88,34,1.31,4/5,70.4
Stefan Frei,SEA,GK,33,33,2970,121,84,36,1.09,5/6,69.4
Tim Howard,COL,GK,25,25,2250,126,84,39,1.56,5/6,66.7
Evan Bush,MTL,GK,31,31,2790,136,84,50,1.61,3/3,61.8
Tyler Deric,HOU,GK,26,26,2340,109,76,31,1.19,2/2,69.7
Jesse Gonzalez,DAL,GK,29,29,2610,118,75,40,1.38,1/1,63.6
Nick Rimando,RSL,GK,28,28,2488,110,73,33,1.18,1/3,66.4
Alex Bono,TOR,GK,29,28,2570,104,72,32,1.14,3/5,69.2
Cody Cropper,NE,GK,28,28,2520,124,71,50,1.79,4/4,57.3
Matt Lampson,MIN,GK,24,24,2160,91,58,31,1.29,3/3,63.7
David Bingham,LA,GK,23,23,2070,94,58,35,1.52,2/2,61.7
Alec Kann,ATL,GK,18,18,1620,83,56,25,1.39,4/4,67.5
Clement Diop,MTL,GK,15,15,1331,89,54,31,2.07,1/1,60.7
Jake Gleeson,POR,GK,21,21,1818,83,52,30,1.43,3/3,62.7
Jeff Attinella,POR,GK,14,13,1242,64,45,20,1.54,0/1,70.3
Andrew Tarbell,SJ,GK,11,11,990,65,40,25,2.27,0/1,61.5
Brad Guzan,ATL,GK,14,14,1260,47,38,10,0.71,1/1,80.9
Brian Rowe,VAN,GK,14,12,1157,60,35,23,1.92,2/2,58.3
John McCarthy,PHI,GK,8,8,720,49,34,13,1.63,2/2,69.4
Zac MacMath,COL,GK,9,9,810,40,27,12,1.33,2/2,67.5
Jon Kempin,CLB,GK,7,7,570,40,27,13,1.86,0/2,67.5
Matt Van Oekel,RSL,GK,7,6,572,47,25,22,3.67,1/1,53.2
Stefan Marinovic,VAN,GK,5,5,450,27,21,5,1.0,0/1,77.8
Jorge Rodrigo Bava,CHI,GK,8,8,720,31,20,12,1.5,0/0,64.5
Brad Knighton,NE,GK,6,6,540,31,20,11,1.83,1/1,64.5
Joe Willis,HOU,GK,8,8,720,31,17,14,1.75,1/1,54.8
Clint Irwin,TOR,GK,6,6,490,18,13,5,0.83,0/1,72.2
Steve Clark,DC,GK,5,5,450,27,13,11,2.2,2/3,48.1
Chris Seitz,HOU,GK,5,5,450,20,12,8,1.6,2/3,60.0
Richard Sanchez,CHI,GK,2,2,180,15,11,4,2.0,0/0,73.3
Travis Worra,DC,GK,5,5,450,26,11,14,2.8,0/0,42.3
Andrew Dykstra,COL,GK,4,3,301,14,10,5,1.67,0/0,71.4
Maxime Crepeau,MTL,GK,3,3,270,19,10,8,2.67,1/2,52.6
Tyler Miller,LAFC,GK,1,1,90,8,5,3,3.0,0/0,62.5
John Alvbage,MIN,GK,3,2,222,15,5,10,5.0,1/1,33.3
Paolo Tornaghi,VAN,GK,1,0,65,7,4,3,3.0,0/0,57.1
Eirik Johansen,NYC,GK,2,2,180,7,3,4,2.0,0/0,42.9
Kyle Reynish,ATL,GK,2,2,150,5,2,3,1.5,0/0,40.0
Alexander Tambakis,ATL,GK,1,0,28,3,1,2,2.0,0/0,33.3
Spencer Richey,VAN,GK,1,1,90,3,1,2,2.0,0/0,33.3
Earl Edwards Jr.,ORL,GK,1,1,90,7,1,6,6.0,0/0,14.3
Cody Mizell,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Brad Stuver,NYC,GK,0,0,0,0,0,0,0,0/0,0.0
Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0,0/0,0.0
Patrick McLain,MIN,GK,0,0,0,0,0,0,0,0/0,0.0
Ryan Meara,RBNY,GK,0,0,0,0,0,0,0,0/0,0.0
Mark Pais,TOR,GK,0,0,0,0,0,0,0,0/0,0.0
Matt Bersano,SJ,GK,0,0,0,0,0,0,0,0/0,0.0
John Berner,COL,GK,0,0,0,0,0,0,0,0/0,0.0
Calle Brown,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Jacob Lissek,DAL,GK,0,0,0,0,0,0,0,0/0,0.0
Adrian Zendejas,SKC,GK,0,0,0,0,0,0,0,0/0,0.0
Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0,0/0,0.0
Connor Sparrow,RSL,GK,0,0,0,0,0,0,0,0/0,0.0
Andre Rawls,NYC,GK,0,0,0,0,0,0,0,0/0,0.0
Matt Turner,NE,GK,0,0,0,0,0,0,0,0/0,0.0
Eduardo Cortes,DAL,GK,0,0,0,0,0,0,0,0/0,0.0
Evan Louro,RBNY,GK,0,0,0,0,0,0,0,0/0,0.0
Eric Klenofsky,DC,GK,0,0,0,0,0,0,0,0/0,0.0
Stefan Cleveland,CHI,GK,0,0,0,0,0,0,0,0/0,0.0
Logan Ketterer,CLB,GK,0,0,0,0,0,0,0,0/0,0.0
Alex Kapp,MIN,GK,0,0,0,0,0,0,0,0/0,0.0
Bryan Meredith,SEA,GK,0,0,0,0,0,0,0,0/0,0.0
Jimmy Maurer,DAL,GK,0,0,0,0,0,0,0,0/0,0.0
Eric Kronberg,MTL,GK,0,0,0,0,0,0,0,0/0,0.0
Josh Saunders,ORL,GK,0,0,0,0,0,0,0,0/0,0.0
Kendall McIntosh,POR,GK,0,0,0,0,0,0,0,0/0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
