Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Stefan Frei,SEA,GK,33,33,2970,36,1.09,5/6,13,9,11,13,39.4
Alex Bono,TOR,GK,29,28,2570,32,1.14,3/5,19,4,6,10,65.5
Tim Melia,SKC,GK,31,31,2759,24,0.77,2/5,12,7,11,10,38.7
Luis Robles,RBNY,GK,34,34,3060,47,1.38,8/9,14,12,8,10,41.2
Andre Blake,PHI,GK,26,26,2340,34,1.31,4/5,9,10,7,9,34.6
Jesse Gonzalez,DAL,GK,29,29,2610,40,1.38,1/1,8,8,13,9,27.6
Zack Steffen,CLB,GK,34,34,3060,49,1.44,4/7,16,12,6,9,47.1
Brad Guzan,ATL,GK,14,14,1260,10,0.71,1/1,6,1,7,8,42.9
Matt Lampson,MIN,GK,24,24,2160,31,1.29,3/3,12,7,5,8,50.0
Nick Rimando,RSL,GK,28,28,2488,33,1.18,1/3,13,10,5,8,46.4
Cody Cropper,NE,GK,28,28,2520,50,1.79,4/4,10,14,4,8,35.7
David Bingham,LA,GK,23,23,2070,35,1.52,2/2,9,9,5,7,39.1
Sean Johnson,NYC,GK,32,32,2880,39,1.22,3/4,15,8,9,7,46.9
Joe Bendik,ORL,GK,33,33,2970,52,1.58,4/5,10,14,9,7,30.3
Bill Hamid,DC,GK,24,24,2160,35,1.46,3/4,8,12,4,6,33.3
Tyler Deric,HOU,GK,26,26,2340,31,1.19,2/2,10,6,10,6,38.5
David Ousted,DC,GK,28,28,2453,39,1.39,4/4,13,8,6,6,46.4
Tim Howard,COL,GK,25,25,2250,39,1.56,5/6,7,14,4,5,28.0
Evan Bush,MTL,GK,31,31,2790,50,1.61,3/3,11,14,6,5,35.5
Bobby Shuttleworth,MIN,GK,33,32,2838,60,1.88,6/8,10,16,5,5,30.3
Jeff Attinella,POR,GK,14,13,1242,20,1.54,0/1,7,5,2,4,50.0
Alec Kann,ATL,GK,18,18,1620,25,1.39,4/4,8,7,3,4,44.4
Jorge Rodrigo Bava,CHI,GK,8,8,720,12,1.5,0/0,3,3,2,3,37.5
Jake Gleeson,POR,GK,21,21,1818,30,1.43,3/3,8,6,6,3,38.1
Clint Irwin,TOR,GK,6,6,490,5,0.83,0/1,1,1,3,2,16.7
Jon Kempin,CLB,GK,7,7,570,13,1.86,0/2,1,4,1,2,14.3
Joe Willis,HOU,GK,8,8,720,14,1.75,1/1,3,4,1,2,37.5
Andrew Tarbell,SJ,GK,11,11,990,25,2.27,0/1,4,5,2,2,36.4
Brian Rowe,VAN,GK,14,12,1157,23,1.92,2/2,3,6,4,2,21.4
Clement Diop,MTL,GK,15,15,1331,31,2.07,1/1,4,8,3,2,26.7
Andrew Dykstra,COL,GK,4,3,301,5,1.67,0/0,0,2,2,1,0.0
Stefan Marinovic,VAN,GK,5,5,450,5,1.0,0/1,2,2,1,1,40.0
Steve Clark,DC,GK,5,5,450,11,2.2,2/3,1,3,1,1,20.0
Brad Knighton,NE,GK,6,6,540,11,1.83,1/1,3,1,2,1,50.0
Matt Van Oekel,RSL,GK,7,6,572,22,3.67,1/1,0,5,1,1,0.0
John McCarthy,PHI,GK,8,8,720,13,1.63,2/2,2,4,2,1,25.0
Zac MacMath,COL,GK,9,9,810,12,1.33,2/2,2,5,2,1,22.2
Bryan Meredith,SEA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jimmy Maurer,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
