day,date,home_team,result,away_team
Sunday,March 5,Atlanta,1-2,RBNY
Saturday,March 11,RBNY,1-0,Colorado
Sunday,March 19,Seattle,3-1,RBNY
Saturday,March 25,RBNY,0-0,Real Salt Lake
Saturday,April 1,Houston,4-1,RBNY
Sunday,April 9,Orlando,1-0,RBNY
Saturday,April 15,RBNY,2-0,D.C. United
Saturday,April 22,RBNY,2-0,Columbus
Saturday,April 29,RBNY,2-1,Chicago
Wednesday,May 3,Sporting KC,2-0,RBNY
Saturday,May 6,Philadelphia,3-0,RBNY
Sunday,May 14,RBNY,1-3,LA Galaxy
Friday,May 19,RBNY,1-1,Toronto FC
Saturday,May 27,RBNY,2-1,New England
Saturday,June 3,Montreal,1-0,RBNY
Sunday,June 18,Philadelphia,0-2,RBNY
Saturday,June 24,RBNY,0-2,NYCFC
Wednesday,July 5,New England,2-3,RBNY
Wednesday,July 19,RBNY,5-1,San Jose
Saturday,July 22,Minnesota,0-3,RBNY
Saturday,July 29,RBNY,4-0,Montreal
Sunday,August 6,NYCFC,3-2,RBNY
Saturday,August 12,RBNY,3-1,Orlando
Friday,August 18,Portland,2-0,RBNY
Friday,August 25,RBNY,1-1,NYCFC
Saturday,September 2,FC Dallas,2-2,RBNY
Saturday,September 9,Chicago,1-1,RBNY
Sunday,September 17,RBNY,0-0,Philadelphia
Saturday,September 23,Columbus,3-2,RBNY
Wednesday,September 27,RBNY,3-3,D.C. United
Saturday,September 30,Toronto FC,4-2,RBNY
Saturday,October 7,RBNY,3-0,Vancouver
Sunday,October 15,RBNY,0-0,Atlanta
Sunday,October 22,D.C. United,1-2,RBNY
