day,date,home_team,result,away_team
Saturday,March 29,RSL,1-1,Chicago
Saturday,April 5,Chivas USA,3-1,RSL
Saturday,April 12,RSL,4-0,D.C. United
Saturday,April 19,Toronto FC,1-0,RSL
Saturday,April 26,D.C. United,4-1,RSL
Saturday,May 3,RSL,2-2,LA Galaxy
Saturday,May 10,RSL,2-1,FC Dallas
Thursday,May 15,Colorado,2-0,RSL
Saturday,May 24,FC Dallas,2-1,RSL
Saturday,May 31,RSL,3-1,San Jose
Saturday,June 7,RSL,0-0,Sporting KC
Saturday,June 14,Chivas USA,0-1,RSL
Wednesday,June 18,RSL,0-0,San Jose
Saturday,June 21,RSL,2-1,New England
Saturday,June 28,Sporting KC,1-0,RSL
Thursday,July 3,RSL,0-0,Houston
Saturday,July 12,RSL,2-0,Columbus
Saturday,July 19,Chicago,0-0,RSL
Monday,July 28,RSL,2-1,Toronto FC
Saturday,August 16,Houston,4-3,RSL
Saturday,August 23,Columbus,3-0,RSL
Friday,August 29,RSL,2-0,Colorado
Saturday,September 6,LA Galaxy,2-2,RSL
Saturday,September 13,NY Red Bulls,2-1,RSL
Saturday,September 20,RSL,0-1,Chivas USA
Saturday,September 27,San Jose,2-3,RSL
Saturday,October 4,New England,2-2,RSL
Thursday,October 9,RSL,1-1,NY Red Bulls
Saturday,October 18,RSL,3-1,FC Dallas
Saturday,October 25,Colorado,1-1,RSL
