day,date,home_team,result,away_team
Saturday,April 5,RBNY,2-0,Columbus
Saturday,April 12,FC Dallas,2-0,RBNY
Saturday,April 19,RBNY,1-1,New England
Sunday,April 27,RBNY,2-0,San Jose
Thursday,May 1,Toronto FC,1-1,RBNY
Saturday,May 10,LA Galaxy,1-2,RBNY
Saturday,May 17,RBNY,1-1,Sporting KC
Sunday,May 25,RBNY,1-5,Chicago
Saturday,May 31,Houston,1-0,RBNY
Thursday,June 5,RBNY,1-0,Chivas USA
Saturday,June 14,D.C. United,4-1,RBNY
Wednesday,June 18,New England,1-1,RBNY
Saturday,June 21,RBNY,1-0,FC Dallas
Saturday,June 28,Chivas USA,1-1,RBNY
Friday,July 4,Colorado,4-0,RBNY
Thursday,July 10,Sporting KC,2-1,RBNY
Saturday,July 19,RBNY,2-2,LA Galaxy
Sunday,July 27,San Jose,1-1,RBNY
Sunday,August 10,RBNY,4-1,D.C. United
Sunday,August 17,RBNY,2-0,Toronto FC
Sunday,August 24,RBNY,3-0,Houston
Saturday,August 30,D.C. United,0-0,RBNY
Saturday,September 6,Chicago,1-0,RBNY
Saturday,September 13,RBNY,2-1,Real Salt Lake
Thursday,September 18,Columbus,3-1,RBNY
Saturday,September 27,RBNY,4-5,Colorado
Saturday,October 4,RBNY,1-3,Toronto FC
Thursday,October 9,Real Salt Lake,1-1,RBNY
Saturday,October 18,RBNY,3-1,Columbus
Thursday,October 23,Chicago,5-2,RBNY
