Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
I2,01/09/00,Torino,Ancona,0,2,A,0,1,A,,,,,,,1.3,4,8
I2,03/09/00,Cagliari,Crotone,4,0,H,2,0,H,,,,1.35,3.2,7,1.4,3.25,8.5
I2,03/09/00,Chievo,Genoa,1,0,H,1,0,H,,,,2.5,2.3,2.9,2.5,2.45,3
I2,03/09/00,Cittadella,Piacenza,0,2,A,0,2,A,,,,3.7,2.4,1.9,3.5,2.65,2.1
I2,03/09/00,Cosenza,Pescara,1,0,H,1,0,H,,,,1.9,2.3,3.8,2.15,2.55,3.55
I2,03/09/00,Empoli,Pistoiese,0,2,A,0,1,A,,,,1.7,2.6,4.4,1.75,2.7,5
I2,03/09/00,Monza,Venezia,2,3,A,1,1,D,,,,2.9,2.3,2.5,3.1,2.45,2.45
I2,03/09/00,Ravenna,Salernitana,1,1,D,0,0,D,,,,2.5,2.3,2.9,2.35,2.5,3.2
I2,03/09/00,Sampdoria,Ternana,2,1,H,0,0,D,,,,1.6,2.7,5,1.55,2.9,6.8
I2,03/09/00,Siena,Treviso,2,0,H,1,0,H,,,,2.4,2.3,3,2.3,2.4,3.5
I2,10/09/00,Ancona,Monza,1,0,H,0,0,D,,,,1.8,2.5,4,1.9,2.55,4.5
I2,10/09/00,Crotone,Ravenna,2,1,H,1,0,H,,,,2.5,2.3,2.9,2.35,2.5,3.2
I2,10/09/00,Genoa,Siena,1,1,D,1,1,D,,,,1.5,2.9,5.5,1.45,3.25,7
I2,10/09/00,Pescara,Empoli,1,3,A,0,2,A,,,,1.7,2.5,4.5,1.75,2.6,5.5
I2,10/09/00,Piacenza,Cosenza,2,0,H,2,0,H,,,,1.5,2.9,5.5,1.4,3.45,7.5
I2,10/09/00,Pistoiese,Torino,1,1,D,0,1,A,,,,2.7,2.5,2.5,3,2.45,2.5
I2,10/09/00,Ternana,Chievo,1,0,H,0,0,D,,,,1.8,2.4,4.2,1.8,2.6,5
I2,10/09/00,Treviso,Cagliari,2,3,A,1,1,D,,,,2.6,2.3,2.6,2.6,2.45,2.9
I2,10/09/00,Venezia,Cittadella,2,2,D,1,1,D,,,,1.25,3.8,9,1.3,3.9,9
I2,11/09/00,Salernitana,Sampdoria,2,3,A,0,1,A,,,,2.1,2.4,3.4,2.2,2.55,3.4
I2,15/09/00,Chievo,Treviso,2,1,H,1,0,H,,,,2,2.3,3.9,2,2.4,4.5
I2,17/09/00,Cagliari,Pescara,2,1,H,0,1,A,,,,1.55,2.9,5.2,1.5,3.15,6.5
I2,17/09/00,Cittadella,Ternana,3,1,H,1,1,D,,,,2.8,2.5,2.4,2.35,2.5,3.2
I2,17/09/00,Cosenza,Crotone,3,0,H,2,0,H,,,,1.7,2.6,4.5,1.65,2.65,6.5
I2,17/09/00,Empoli,Genoa,0,0,D,0,0,D,,,,2.2,2.6,3,2.3,2.4,3.5
I2,17/09/00,Siena,Ancona,4,1,H,2,1,H,,,,2.1,2.5,3.2,2.05,2.45,4.1
I2,20/09/00,Monza,Salernitana,1,0,H,1,0,H,,,,2.4,2.7,2.6,2.4,2.4,3.3
I2,20/09/00,Ravenna,Piacenza,0,2,A,0,0,D,,,,2.7,2.6,2.4,2.75,2.4,2.8
I2,20/09/00,Sampdoria,Pistoiese,2,2,D,1,1,D,,,,1.4,3.1,6.5,1.35,3.7,8
I2,20/09/00,Torino,Venezia,0,1,A,0,1,A,,,,2,2.5,3.5,2,2.5,4.2
I2,24/09/00,Crotone,Chievo,0,2,A,0,0,D,,,,2.3,2.6,2.7,2.05,2.5,4
I2,24/09/00,Pescara,Monza,1,2,A,0,1,A,,,,1.45,3,5.5,1.7,2.7,5.5
I2,24/09/00,Pistoiese,Cittadella,0,1,A,0,0,D,,,,1.8,2.6,4,1.75,2.6,5.5
I2,24/09/00,Ternana,Empoli,2,0,H,2,0,H,,,,2.4,2.8,2.5,,,
I2,25/09/00,Genoa,Ravenna,1,1,D,0,0,D,,,,1.7,2.7,4.3,1.8,2.6,5
I2,26/09/00,Salernitana,Cagliari,2,1,H,2,0,H,,,,1.5,3,5,1.5,3.1,6.7
I2,27/09/00,Ancona,Sampdoria,0,0,D,0,0,D,,,,2.4,2.7,2.6,,,
I2,27/09/00,Piacenza,Siena,2,3,A,1,1,D,,,,1.3,4,7,,,
I2,27/09/00,Treviso,Torino,1,1,D,1,0,H,,,,2.9,2.7,2.2,,,
I2,27/09/00,Venezia,Cosenza,2,2,D,2,2,D,,,,1.4,3,6.5,,,
I2,01/10/00,Ancona,Venezia,0,0,D,0,0,D,,,,2.5,2.7,2.5,2.9,2.5,2.55
I2,01/10/00,Cagliari,Chievo,1,1,D,0,0,D,,,,1.5,2.8,5.5,1.45,3.2,7.3
I2,01/10/00,Cittadella,Pescara,1,1,D,0,0,D,,,,1.75,2.9,3.8,2.1,2.55,3.7
I2,01/10/00,Cosenza,Monza,1,0,H,0,0,D,,,,1.7,2.7,4.2,1.75,2.6,5.5
I2,01/10/00,Empoli,Piacenza,1,0,H,1,0,H,,,,2.7,2.7,2.3,3.1,2.4,2.5
I2,01/10/00,Genoa,Salernitana,1,2,A,1,0,H,,,,1.8,2.7,3.8,1.9,2.55,4.4
I2,01/10/00,Ravenna,Pistoiese,1,4,A,0,1,A,,,,1.8,2.6,4,1.75,2.6,5.5
I2,01/10/00,Siena,Ternana,0,0,D,0,0,D,,,,1.9,2.6,3.5,1.9,2.45,4.8
I2,01/10/00,Treviso,Crotone,3,2,H,1,0,H,,,,1.6,2.9,4.5,1.65,2.7,6.2
I2,02/10/00,Torino,Sampdoria,1,0,H,1,0,H,,,,2.2,2.4,3.4,2.15,2.5,3.65
I2,06/10/00,Piacenza,Cagliari,0,0,D,0,0,D,,,,2,2.3,3.6,2.1,2.6,3.6
I2,08/10/00,Chievo,Cittadella,2,2,D,2,1,H,,,,1.8,2.3,4.2,1.75,2.75,5
I2,08/10/00,Cosenza,Ancona,3,2,H,1,0,H,,,,1.7,2.4,4.5,1.8,2.65,4.8
I2,08/10/00,Monza,Torino,2,3,A,0,1,A,,,,2.8,2.3,2.6,2.85,2.45,2.65
I2,08/10/00,Pescara,Ravenna,1,1,D,1,1,D,,,,1.8,2.3,4.2,1.8,2.6,5
I2,08/10/00,Pistoiese,Treviso,0,1,A,0,1,A,,,,1.7,2.4,4.5,1.75,2.6,5.5
I2,08/10/00,Salernitana,Siena,3,0,H,1,0,H,,,,1.6,2.5,5,1.75,2.7,6
I2,08/10/00,Sampdoria,Empoli,0,1,A,0,0,D,,,,1.5,2.6,5.5,1.5,3.15,6.5
I2,08/10/00,Venezia,Crotone,1,1,D,0,1,A,,,,1.4,2.8,6.5,1.4,3.2,9
I2,09/10/00,Ternana,Genoa,1,0,H,0,0,D,,,,2,2.3,3.6,2.1,2.5,3.8
I2,20/10/00,Siena,Pescara,0,0,D,0,0,D,1.91,2.7,4.1,1.7,2.7,4.5,2,2.5,4.1
I2,22/10/00,Ancona,Pistoiese,2,1,H,1,0,H,2.05,2.55,3.8,1.9,2.5,3.8,2,2.5,4.1
I2,22/10/00,Cagliari,Monza,2,1,H,2,0,H,1.41,3.5,6.25,1.45,3,6,1.4,3.5,7
I2,22/10/00,Cittadella,Sampdoria,2,2,D,1,2,A,2.75,2.5,2.6,2.7,2.5,2.5,2.7,2.5,2.7
I2,22/10/00,Crotone,Piacenza,2,0,H,0,0,D,3.35,2.55,2.2,3,2.5,2.3,3.1,2.5,2.4
I2,22/10/00,Empoli,Cosenza,0,1,A,0,1,A,1.97,2.6,3.9,2.1,2.5,3.4,1.9,2.5,4.5
I2,22/10/00,Genoa,Venezia,1,1,D,0,1,A,2.45,2.7,2.8,2.5,2.5,2.7,2.4,2.6,2.9
I2,22/10/00,Ravenna,Chievo,0,0,D,0,0,D,2.35,2.5,3.1,2.3,2.4,3.2,2.25,2.6,3.2
I2,22/10/00,Torino,Ternana,1,1,D,0,1,A,1.57,2.9,6,1.5,3.2,5,1.55,3.2,5.5
I2,23/10/00,Treviso,Salernitana,1,0,H,1,0,H,2.41,2.5,3.1,2.4,2.5,2.8,2.35,2.5,3.1
I2,27/10/00,Empoli,Ravenna,3,2,H,1,1,D,1.8,3,4.2,1.75,2.4,4.4,1.75,2.65,5.3
I2,29/10/00,Chievo,Ancona,1,0,H,1,0,H,1.85,2.8,4.2,1.7,2.7,4.5,1.85,2.55,4.8
I2,29/10/00,Cosenza,Siena,3,1,H,2,0,H,1.85,2.65,4.8,1.7,2.6,4.7,1.8,2.55,5.2
I2,29/10/00,Monza,Cittadella,1,0,H,1,0,H,2.25,2.5,3.6,2.2,2.2,3.7,2.1,2.6,3.6
I2,29/10/00,Pescara,Genoa,1,1,D,0,0,D,2.3,2.6,3.2,2.3,2.3,3.2,2.2,2.5,3.5
I2,29/10/00,Piacenza,Torino,3,1,H,0,0,D,2.3,2.6,3.2,2.2,2.3,3.3,2.25,2.4,3.6
I2,29/10/00,Pistoiese,Crotone,0,4,A,0,1,A,1.85,2.7,4.75,1.8,2.4,4.6,1.85,2.5,5
I2,29/10/00,Sampdoria,Cagliari,2,1,H,0,0,D,2.35,2.45,3.4,2.2,2.4,3.2,2.25,2.5,3.4
I2,29/10/00,Ternana,Salernitana,0,0,D,0,0,D,2.2,2.4,3.9,2,2.4,3.7,2,2.55,4
I2,29/10/00,Venezia,Treviso,3,0,H,1,0,H,1.7,3,5,1.65,2.7,4.7,1.75,2.6,5.5
I2,01/11/00,Cagliari,Pistoiese,0,0,D,0,0,D,1.5,3.2,6.8,1.4,3.3,6,1.4,3.4,7.5
I2,01/11/00,Chievo,Empoli,1,0,H,0,0,D,2,2.6,4,1.8,2.5,4.3,1.9,2.55,4.5
I2,01/11/00,Cittadella,Torino,2,1,H,0,1,A,2.8,2.75,2.45,2.8,2.4,2.5,2.85,2.55,2.55
I2,01/11/00,Crotone,Sampdoria,1,1,D,1,0,H,2.8,2.5,2.7,2.8,2.4,2.5,2.8,2.5,2.65
I2,01/11/00,Genoa,Cosenza,2,1,H,2,0,H,2.25,2.6,3.3,2.2,2.4,3.2,2.1,2.55,3.7
I2,01/11/00,Pescara,Ancona,2,3,A,2,1,H,2.3,2.6,3.2,1.9,2.6,3.7,1.9,2.65,4.2
I2,01/11/00,Salernitana,Piacenza,3,0,H,1,0,H,2.3,2.6,3.2,2.1,2.4,3.5,2.4,2.5,3.1
I2,01/11/00,Siena,Venezia,1,3,A,1,1,D,2.6,2.6,2.8,2.8,2.4,2.5,2.7,2.5,2.7
I2,01/11/00,Ternana,Monza,4,1,H,3,1,H,1.7,2.8,5.4,1.6,2.7,5.2,1.6,2.85,6.2
I2,01/11/00,Treviso,Ravenna,0,0,D,0,0,D,1.8,2.8,4.6,1.8,2.5,4.3,1.65,2.8,5.7
I2,05/11/00,Ancona,Salernitana,4,1,H,3,0,H,2.3,2.6,3.25,2.3,2.3,3.2,2.35,2.5,3.2
I2,05/11/00,Cosenza,Cittadella,1,0,H,0,0,D,1.66,2.9,5.45,1.6,2.7,5.2,1.65,2.75,6
I2,05/11/00,Empoli,Treviso,2,1,H,2,0,H,1.85,2.65,4.7,1.65,2.7,5,1.9,2.5,4.7
I2,05/11/00,Monza,Crotone,0,1,A,0,0,D,2.05,2.8,3.5,2,2.5,3.6,2.05,2.5,4
I2,05/11/00,Piacenza,Ternana,3,0,H,3,0,H,1.85,2.7,4.65,1.75,2.5,4.7,1.7,2.65,5.8
I2,05/11/00,Pistoiese,Chievo,1,0,H,0,0,D,2.5,2.6,2.9,2.7,2.4,2.6,2.45,2.5,3
I2,05/11/00,Ravenna,Cagliari,2,4,A,0,2,A,2.8,2.5,2.65,2.8,2.4,2.5,2.8,2.5,2.6
I2,05/11/00,Torino,Siena,1,1,D,0,1,A,1.55,3.05,6.5,1.55,2.7,5.5,1.45,3.25,7
I2,05/11/00,Venezia,Pescara,1,1,D,0,1,A,1.5,2.95,7.5,1.45,3,6.5,1.45,3.15,7.5
I2,07/11/00,Sampdoria,Genoa,2,0,H,0,0,D,2.25,2.65,3.2,2.1,2.5,3.3,2.25,2.5,3.4
I2,10/11/00,Salernitana,Venezia,0,1,A,0,1,A,2.35,2.55,3.2,2.3,2.4,3,2.35,2.4,3.3
I2,12/11/00,Chievo,Torino,4,2,H,2,1,H,2.3,2.5,3.35,2.2,2.6,3,2.25,2.4,3.6
I2,12/11/00,Cittadella,Empoli,2,2,D,2,0,H,2.25,2.5,3.55,2.1,2.5,3.3,2.2,2.45,3.6
I2,12/11/00,Crotone,Ancona,1,0,H,0,0,D,2.1,2.55,3.9,2,2.6,3.4,2.1,2.45,3.9
I2,12/11/00,Genoa,Monza,3,1,H,0,0,D,1.66,2.8,5.7,1.55,2.9,5,1.6,2.7,7
I2,12/11/00,Pescara,Piacenza,0,0,D,0,0,D,2.55,2.5,3,2.4,2.5,2.8,2.6,2.5,2.85
I2,12/11/00,Siena,Ravenna,5,1,H,3,0,H,1.8,2.7,5,1.8,2.5,4.3,1.85,2.55,4.8
I2,12/11/00,Ternana,Pistoiese,3,2,H,3,1,H,1.7,2.85,5,1.7,2.6,4.7,1.6,2.8,6.5
I2,12/11/00,Treviso,Sampdoria,0,2,A,0,0,D,2.5,2.5,3,2.6,2.4,2.7,2.55,2.4,3
I2,13/11/00,Cagliari,Cosenza,1,1,D,0,1,A,1.8,2.7,4.75,1.75,2.6,4.3,1.7,2.65,5.8
