Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
I1,25/08/01,Bologna,Atalanta,1,0,H,1,0,H,,,,1.9,2.8,3.3,,,,,,,1.91,3,3.75,1.9,3,3.75
I1,26/08/01,Brescia,Milan,2,2,D,2,0,H,,,,3,2.8,2.1,,,,,,,3.2,3,2.1,3.3,2.87,2.1
I1,26/08/01,Fiorentina,Chievo,0,2,A,0,1,A,,,,1.45,3.5,5,,,,,,,1.4,3.75,7,1.44,3.75,6
I1,26/08/01,Inter,Perugia,4,1,H,2,0,H,,,,1.4,3.6,5.5,,,,,,,1.29,4.33,8.5,1.25,4.5,10
I1,26/08/01,Juventus,Venezia,4,0,H,3,0,H,,,,1.2,4.7,9,,,,,,,1.2,5,11,1.2,5,11
I1,26/08/01,Lazio,Piacenza,1,1,D,0,0,D,,,,1.2,4.7,9,,,,,,,1.22,5,9,1.25,4.5,10
I1,26/08/01,Lecce,Parma,1,1,D,1,0,H,,,,2.8,2.8,2.2,,,,,,,2.8,2.88,2.38,2.6,2.8,2.6
I1,26/08/01,Udinese,Torino,2,2,D,0,2,A,,,,1.75,3.1,3.6,,,,,,,1.8,3.2,4,1.9,3,3.75
I1,26/08/01,Verona,Roma,1,1,D,0,1,A,,,,3.8,2.9,1.75,,,,,,,4.33,3,1.8,4.5,3.1,1.72
I1,08/09/01,Perugia,Lazio,0,0,D,0,0,D,,,,3.2,2.9,1.9,,,,3.25,3,2.1,3.2,3,2.1,3.6,2.87,2
I1,08/09/01,Roma,Udinese,1,1,D,0,0,D,,,,1.35,3.8,6.2,,,,1.3,4.33,8.5,1.29,4.33,8.5,1.25,4.5,10
I1,09/09/01,Atalanta,Juventus,0,2,A,0,1,A,,,,3.6,2.9,1.8,,,,3.6,3.1,1.95,3.75,3,1.91,3.75,3.2,1.83
I1,09/09/01,Chievo,Bologna,2,0,H,1,0,H,,,,2.45,2.8,2.45,,,,2.4,2.9,2.8,2.38,2.8,2.88,2.37,2.9,2.8
I1,09/09/01,Milan,Fiorentina,5,2,H,3,1,H,,,,1.35,3.8,6.2,,,,1.4,3.75,7,1.4,3.75,7,1.36,3.75,8
I1,09/09/01,Parma,Inter,2,2,D,1,2,A,,,,2.3,2.7,2.7,,,,2.38,3,2.75,2.38,2.88,2.8,2.4,2.9,2.75
I1,09/09/01,Piacenza,Lecce,1,2,A,1,0,H,,,,1.9,2.7,3.4,,,,1.91,3,3.75,1.91,3,3.75,1.9,3,3.75
I1,09/09/01,Torino,Brescia,1,3,A,1,1,D,,,,1.9,2.7,3.4,,,,2.2,2.9,3.1,2.1,3,3.2,2.1,2.87,3.3
I1,09/09/01,Venezia,Verona,0,1,A,0,0,D,,,,2.1,2.8,3,,,,2.25,2.9,3,2.2,3,3,2.2,2.8,3.2
I1,15/09/01,Juventus,Chievo,3,2,H,2,2,D,,,,1.2,4.7,9,,,,1.22,5,10,1.2,5.5,9,1.2,5,11
I1,16/09/01,Bologna,Parma,1,0,H,0,0,D,,,,2.4,2.7,2.6,,,,2.5,3,2.6,2.5,2.88,2.62,2.4,2.87,2.8
I1,16/09/01,Brescia,Lecce,1,1,D,0,1,A,,,,1.7,3.1,3.8,,,,1.73,3.2,4.33,1.8,3.1,4,1.72,3.1,4.5
I1,16/09/01,Fiorentina,Atalanta,3,1,H,2,1,H,,,,1.9,2.7,3.4,,,,2,3.2,3.3,2,3,3.4,2,3,3.4
I1,16/09/01,Inter,Venezia,2,1,H,0,0,D,,,,1.2,4.7,9,,,,1.2,5.25,10,1.22,5,9,1.22,5,9.5
I1,16/09/01,Lazio,Torino,0,0,D,0,0,D,,,,1.3,4,7,,,,1.29,4.33,8.5,1.29,4.5,8,1.3,4.2,8.5
I1,16/09/01,Piacenza,Roma,2,0,H,1,0,H,,,,3.5,2.8,1.85,,,,4,3,1.85,4,3,1.83,4,2.87,1.9
I1,16/09/01,Udinese,Milan,1,2,A,0,1,A,,,,3,2.8,2.1,,,,3.25,3,2.1,3,3,2.2,3.25,2.9,2.1
I1,16/09/01,Verona,Perugia,1,1,D,0,1,A,,,,1.8,2.9,3.6,,,,1.91,3,3.75,1.91,3,3.75,1.9,2.87,4
I1,22/09/01,Lecce,Juventus,0,0,D,0,0,D,,,,3.3,2.8,1.9,,,,3.75,3.2,1.85,4,3.1,1.8,4,2.87,1.9
I1,23/09/01,Atalanta,Verona,1,0,H,1,0,H,,,,2.1,2.8,3,,,,2,3,3.5,2,3,3.4,2,2.9,3.6
I1,23/09/01,Chievo,Piacenza,4,2,H,2,1,H,,,,2.1,2.8,3,,,,2,3,3.5,2,3,3.4,1.9,3,3.75
I1,23/09/01,Milan,Lazio,2,0,H,1,0,H,,,,2,2.7,3.2,,,,1.85,3.2,3.75,1.83,3.2,3.75,1.83,3.2,3.75
I1,23/09/01,Parma,Brescia,1,0,H,0,0,D,,,,1.75,3.1,3.6,,,,1.7,3.2,4.5,1.62,3.25,5,1.61,3.1,5.5
I1,23/09/01,Perugia,Udinese,1,2,A,1,1,D,,,,2,2.8,3.1,,,,2,3,3.5,2.1,3,3.2,2.1,2.75,3.5
I1,23/09/01,Roma,Fiorentina,2,1,H,1,1,D,,,,1.45,3.5,5,,,,1.4,3.75,7,1.36,4,7,1.4,3.6,7.5
I1,23/09/01,Torino,Inter,0,1,A,0,0,D,,,,3,2.8,2.1,,,,3.4,3.1,2,3.2,3,2.1,3.4,2.8,2.1
I1,23/09/01,Venezia,Bologna,0,1,A,0,0,D,,,,2.4,2.7,2.6,,,,2.38,3,2.75,2.38,2.88,2.8,2.37,2.8,2.87
I1,29/09/01,Juventus,Roma,0,2,A,0,1,A,,,,1.9,2.8,3.3,,,,1.91,3.1,3.75,1.91,3,3.75,1.83,3,4
I1,30/09/01,Brescia,Atalanta,3,3,D,1,3,A,,,,1.7,2.9,4.2,1.8,3.2,4,1.85,3,4,1.91,3,3.75,1.83,3,4
I1,30/09/01,Fiorentina,Venezia,3,1,H,1,0,H,,,,1.5,3.2,5,1.44,3.6,6.5,1.44,3.6,6.5,1.44,3.6,6.5,1.5,3.6,5.5
I1,30/09/01,Inter,Bologna,1,0,H,1,0,H,,,,1.45,3.5,5,1.4,3.75,7,1.44,3.6,7,1.4,3.75,7,1.44,3.6,6.5
I1,30/09/01,Lazio,Parma,0,0,D,0,0,D,,,,1.7,3,4,1.8,3.2,4,2,3.1,3.4,1.83,3,4,1.9,3.1,3.6
I1,30/09/01,Perugia,Milan,3,1,H,0,0,D,,,,3.3,2.8,1.9,4,3.2,1.8,4.2,3.1,1.8,4,3,1.83,4,2.87,1.9
I1,30/09/01,Piacenza,Torino,3,1,H,2,0,H,,,,2,2.6,3.4,2,2.8,3.75,2,2.9,3.6,2,2.88,3.6,1.9,2.87,4
I1,30/09/01,Udinese,Chievo,1,2,A,1,2,A,,,,1.65,3.1,4,1.83,3.2,3.75,2,2.9,3.6,2,2.88,3.6,1.9,3.2,3.5
I1,30/09/01,Verona,Lecce,2,1,H,1,1,D,,,,2,2.6,3.4,2.1,3,3.2,2,2.9,3.6,1.91,3,3.75,1.9,2.87,4
I1,13/10/01,Lazio,Atalanta,2,0,H,1,0,H,,,,1.5,3.5,5.5,,,,,,,1.5,3.25,6.5,1.4,3.6,7.5
I1,13/10/01,Perugia,Roma,0,0,D,0,0,D,,,,3.4,2.9,2,3.2,3,2.1,,,,3.75,3,1.91,3.6,2.87,2
I1,14/10/01,Brescia,Chievo,2,2,D,0,1,A,,,,1.9,2.9,3.8,2.1,3,3.2,,,,2.1,2.8,3.4,2,3.1,3.3
I1,14/10/01,Juventus,Torino,3,3,D,3,0,H,,,,1.5,3.5,5.5,1.5,3.4,6,,,,1.44,3.5,7,1.4,3.5,8
I1,14/10/01,Lecce,Fiorentina,4,1,H,2,1,H,,,,2.2,2.8,3.1,2.25,2.87,3,,,,2.2,2.8,3.2,2.1,2.87,3.3
I1,14/10/01,Milan,Venezia,1,1,D,1,0,H,,,,1.2,5,10,1.2,5,11,,,,1.2,5,11,1.2,5,11
I1,14/10/01,Parma,Piacenza,2,2,D,1,0,H,,,,1.55,3.4,5,1.5,3.4,6,,,,1.53,3.25,6,1.5,3.25,6.5
I1,14/10/01,Udinese,Inter,1,1,D,0,0,D,,,,3.3,2.8,2.1,3.2,3,2.1,,,,3.4,3,2,3.75,2.8,2
I1,14/10/01,Verona,Bologna,0,1,A,0,1,A,,,,2.1,2.8,3.3,2.25,2.87,3,,,,2.25,2.88,3,2.2,2.8,3.2
I1,20/10/01,Bologna,Juventus,0,0,D,0,0,D,3.05,3,2.2,3.2,2.9,2.1,,,,,,,3,3,2.2,3.1,2.8,2.25
I1,21/10/01,Atalanta,Udinese,1,5,A,0,1,A,1.95,3,3.7,2.1,2.9,3.2,2.1,2.8,3.4,,,,1.91,3,3.75,2,2.9,3.6
I1,21/10/01,Chievo,Parma,1,0,H,1,0,H,2.45,2.85,2.8,2.5,2.8,2.7,2.25,3,2.87,,,,2.38,2.88,2.8,2.4,2.8,2.87
I1,21/10/01,Fiorentina,Verona,0,2,A,0,1,A,1.75,3.2,4.3,1.75,3.2,4,1.61,3.25,5,,,,1.73,3.2,4.33,1.72,3.1,4.5
I1,21/10/01,Inter,Milan,2,4,A,1,0,H,,,,2.3,2.8,2.9,2.5,2.87,2.62,,,,2.5,2.88,2.62,2.5,2.8,2.7
I1,21/10/01,Piacenza,Brescia,0,1,A,0,1,A,2.1,2.9,3.4,2.2,2.8,3.1,2.2,2.75,3.25,,,,2.1,3,3.2,2.1,2.8,3.4
I1,21/10/01,Roma,Lecce,5,1,H,2,0,H,1.32,4.1,8,1.35,4,7,1.3,4.33,8,,,,1.3,4.33,8,1.33,4,8
I1,21/10/01,Torino,Perugia,1,0,H,1,0,H,2.1,2.9,3.4,2,2.9,3.4,2,3,3.4,,,,2,2.88,3.6,2.1,2.8,3.4
I1,21/10/01,Venezia,Lazio,0,0,D,0,0,D,3.4,3,2.05,3.6,3,1.9,4,3,1.83,,,,3.2,3,2.1,3.6,2.9,2
I1,27/10/01,Juventus,Inter,0,0,D,0,0,D,2,3.05,3.45,2,2.9,3.4,,,,2,3.1,3.3,1.91,3,3.75,1.9,3.1,3.6
I1,27/10/01,Roma,Lazio,2,0,H,0,0,D,2.2,3,3.05,2.1,2.9,3.2,,,,2.2,3.1,2.9,2.2,3,3,2.2,2.87,3.1
I1,28/10/01,Brescia,Venezia,3,2,H,0,0,D,1.63,3.2,5.25,1.55,3.4,5,1.67,3.2,5,1.67,3.2,4.75,1.57,3.25,5.5,1.66,3.1,5
I1,28/10/01,Chievo,Torino,3,0,H,1,0,H,1.68,3.15,4.9,1.8,3,4,1.73,3.2,4.33,1.73,3.1,4.5,1.73,3.2,4.33,1.66,2.9,5.5
I1,28/10/01,Lecce,Atalanta,0,2,A,0,1,A,1.83,3.05,4.15,1.85,3,3.8,1.73,2.87,5,1.83,3.1,4,1.83,2.88,4.33,1.8,2.9,4.5
I1,28/10/01,Milan,Bologna,0,0,D,0,0,D,1.45,3.6,6.5,1.4,3.7,6.4,1.4,3.75,7,1.44,3.6,6.5,1.4,3.75,7,1.44,3.5,7
I1,28/10/01,Parma,Verona,2,2,D,1,2,A,1.6,3.25,5.4,1.6,3.2,5,1.61,3.25,5,1.6,3.3,5,1.57,3.25,5.5,1.61,3.1,5.5
I1,28/10/01,Perugia,Piacenza,1,0,H,0,0,D,1.93,3,3.75,1.85,3,3.8,1.91,3,3.75,1.85,3.1,3.8,2,2.8,3.75,1.9,2.87,4
