day,date,home_team,result,away_team
Saturday,March 23,FC Dallas,0-2,SJ
Saturday,March 30,Colorado,1-0,SJ
Saturday,April 6,SJ,2-1,New England
Saturday,April 13,Sporting KC,2-0,SJ
Saturday,April 20,SJ,2-0,Colorado
Saturday,April 27,NY Red Bulls,1-1,SJ
Saturday,May 4,SJ,3-2,Columbus
Saturday,May 11,SJ,2-1,NY Red Bulls
Saturday,May 18,Columbus,2-0,SJ
Sunday,May 26,Chicago,1-1,SJ
Saturday,June 1,New England,0-2,SJ
Saturday,June 8,SJ,3-0,Sporting KC
Saturday,June 15,Columbus,2-1,SJ
Saturday,June 22,SJ,4-0,Colorado
Saturday,June 29,SJ,2-1,Sporting KC
Thursday,July 4,LA Galaxy,2-1,SJ
Sunday,July 7,SJ,1-0,LA Galaxy
Saturday,July 13,FC Dallas,2-1,SJ
Saturday,July 20,SJ,4-0,FC Dallas
Wednesday,July 24,SJ,1-0,Chicago
Saturday,July 27,Sporting KC,2-1,SJ
Saturday,August 17,SJ,2-2,D.C. United
Wednesday,August 21,SJ,3-1,FC Dallas
Saturday,August 24,Colorado,3-0,SJ
Saturday,August 31,D.C. United,4-2,SJ
Saturday,September 7,SJ,4-3,Columbus
Saturday,September 14,LA Galaxy,1-0,SJ
Saturday,September 21,SJ,0-1,LA Galaxy
