Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Carlos Ruiz,LA,F,26,26,2376,24,1,100,56,71,71,38,9,0
Oscar Pareja,DAL,M,24,23,2000,1,6,31,15,64,58,5,7,0
Ramiro Corrales,SJ,M,28,26,2354,3,9,38,16,59,34,2,6,0
Brian Maisonneuve,CLB,M,26,26,2238,1,6,29,9,57,52,3,5,0
Richie Williams,DC,M,26,25,2307,0,3,8,6,57,31,0,8,0
Jesse Marsch,CHI,M,28,28,2557,1,7,21,6,57,56,1,4,0
Ariel Graziani,SJ,F,28,26,2289,14,5,69,39,56,39,25,6,0
Alexi Lalas,LA,D,26,26,2364,4,4,25,16,56,18,0,6,0
Taylor Twellman,NE,F,28,26,2418,23,6,92,58,55,87,14,2,0
Wes Hart,COL,D-M,27,25,2063,0,2,18,6,54,27,4,7,0
Jason Kreis,DAL,M,27,26,2303,13,4,81,38,54,36,15,5,0
Ryan Suarez,DAL,D,24,24,2061,1,2,19,10,52,45,2,6,1
Daniel Hernandez,MET,M,28,25,2301,3,3,34,9,52,34,1,6,1
Petter Villegas,DC,M,25,21,1953,2,8,41,14,49,31,10,2,0
C.J. Brown,CHI,D,24,24,2153,0,3,6,3,48,29,0,6,0
Rick Titus,COL,D,25,25,2202,0,1,5,3,48,16,0,9,0
Danny Califf,LA,D,25,23,2118,1,0,15,4,47,15,0,7,1
Jay Heaps,NE,D,27,26,2389,2,6,23,13,46,34,1,7,0
Stephen Armstrong,KC,M,26,15,1791,3,6,31,14,45,36,10,2,0
Joe Franchino,NE,M,23,23,2015,1,5,16,4,45,30,0,9,0
Daniel Torres,CLB,D,25,23,2085,0,1,3,1,45,35,1,7,1
Milton Reyes,DC,D-M,24,24,2204,0,2,9,3,45,42,1,6,1
Ronnie Ekelund,SJ,M,27,27,2347,6,8,43,20,45,24,0,2,1
Chris Henderson,COL,M,28,28,2414,11,7,56,28,44,43,33,3,0
Ante Razov,CHI,F,25,24,2120,14,8,115,56,42,50,35,4,1
Dwayne De Rosario,SJ,M,27,18,1637,4,8,56,29,41,26,34,3,0
Andy Williams,MET,M,24,19,1814,2,15,54,18,41,86,3,5,0
Dema Kovalenko,CHI,M,23,23,2034,1,8,38,12,41,48,3,6,1
Mike Petke,MET,D,27,27,2398,0,0,8,2,41,35,1,6,1
Jorge Rodriguez,DAL,M-D,22,17,1693,4,2,30,13,39,11,0,4,1
Richard Mulrooney,SJ,M,26,26,2312,1,8,22,5,39,73,1,2,1
Ivan McKinley,DC,D-M,23,23,1786,1,2,20,7,38,16,2,7,1
Jimmy Conrad,SJ,D,25,25,2248,1,3,13,6,38,18,0,9,0
Robin Fraser,COL,D,28,27,2453,0,1,4,0,38,13,0,5,0
Mamadou Diallo,MET,F,24,21,1623,12,5,81,51,37,62,54,2,1
Rodrigo Faria,MET,F,28,25,2285,12,5,90,49,37,50,30,4,0
Eddie Robinson,SJ,D,19,16,1427,2,1,11,5,36,16,0,5,0
Mike Clark,CLB,D,21,19,1599,1,0,7,6,36,16,1,7,0
Jeff Stewart,COL,D,23,20,1723,0,3,6,3,36,31,0,6,0
Diego Gutierrez,KC,D,22,21,1914,1,3,25,4,36,40,4,6,0
Brian West,CLB,M-F,24,22,1944,1,8,32,11,36,31,13,3,0
Chad Deering,DAL,M,27,22,2168,1,4,24,4,36,23,0,5,0
Brandon Prideaux,DC,D,27,26,2389,0,0,3,1,36,26,0,6,0
Ross Paule,MET,M,26,26,2207,2,2,29,11,35,31,0,4,1
Bobby Convey,DC,M,26,25,2248,5,3,39,25,35,26,8,3,1
Carlos Bocanegra,CHI,D,26,26,2291,2,3,16,9,35,23,1,4,1
Steve Jolley,MET,D,27,26,2327,1,1,7,3,35,21,0,4,0
Raul Palacios,COL,M,16,8,836,0,5,12,2,34,6,0,5,0
DaMarcus Beasley,HOU,D,19,19,1719,3,4,26,12,34,83,5,1,0
Dario Fabbro,KC,F,16,16,1116,6,3,35,19,32,22,21,5,0
Jim Rooney,NE,M,20,20,1715,1,2,19,5,32,13,0,4,1
Tyrone Marshall,LA,D,24,19,1838,0,5,9,5,32,15,1,4,0
Ted Chronopoulos,MET,D,23,21,1877,0,6,10,4,32,26,6,5,0
Kerry Zavagnin,KC,M,27,27,2484,1,2,12,5,32,54,1,4,1
