Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Ante Razov,CHI,F,25,24,2120,14,8,115,56,2/2,12.2,48.7
Carlos Ruiz,LA,F,26,26,2376,24,1,100,56,3/4,24.0,56.0
Taylor Twellman,NE,F,28,26,2418,23,6,92,58,3/3,25.0,63.0
Rodrigo Faria,MET,F,28,25,2285,12,5,90,49,2/3,13.3,54.4
Preki,KC,M,25,24,2141,7,10,84,44,2/2,8.3,52.4
Mark Chung,COL,M,27,27,2401,11,10,83,33,2/2,13.3,39.8
Mamadou Diallo,MET,F,24,21,1623,12,5,81,51,3/5,14.8,63.0
Jason Kreis,DAL,M,27,26,2303,13,4,81,38,0/0,16.0,46.9
Jeff Cunningham,CLB,F,27,21,1962,16,5,78,37,1/1,20.5,47.4
Ariel Graziani,SJ,F,28,26,2289,14,5,69,39,0/0,20.3,56.5
Dwayne De Rosario,SJ,M,27,18,1637,4,8,56,29,0/0,7.1,51.8
Chris Henderson,COL,M,28,28,2414,11,7,56,28,1/1,19.6,50.0
Igor Simutenkov,KC,M-F,19,17,1480,4,5,55,23,1/2,7.3,41.8
Andy Williams,MET,M,24,19,1814,2,15,54,18,0/0,3.7,33.3
Chris Carrieri,COL,F,25,18,1830,11,5,54,23,0/0,20.4,42.6
Edson Buddle,CLB,F,21,13,1304,9,5,51,19,0/0,17.6,37.3
John Spencer,COL,F,16,13,1149,5,4,49,21,3/3,10.2,42.9
Bobby Rhine,DAL,M,27,19,1686,7,6,44,19,0/0,15.9,43.2
Joselito Vaca,DAL,M,25,23,2005,1,9,44,20,0/0,2.3,45.5
Ronnie Ekelund,SJ,M,27,27,2347,6,8,43,20,2/3,14.0,46.5
Landon Donovan,SJ,M-F,20,18,1681,7,3,42,23,0/0,16.7,54.8
Wolde Harris,NE,F,22,11,1117,4,0,41,24,0/1,9.8,58.5
Petter Villegas,DC,M,25,21,1953,2,8,41,14,0/0,4.9,34.1
Clint Mathis,MET,M,14,14,1106,4,2,40,20,0/0,10.0,50.0
Ronald Cerritos,DAL,F,23,11,1209,4,6,40,25,0/0,10.0,62.5
Simon Elliott,LA,M,26,26,2347,1,10,40,11,0/0,2.5,27.5
Hristo Stoitchkov,CHI,F,16,6,693,2,3,39,18,0/1,5.1,46.2
Bobby Convey,DC,M,26,25,2248,5,3,39,25,0/0,12.8,64.1
Dema Kovalenko,CHI,M,23,23,2034,1,8,38,12,0/0,2.6,31.6
Ramiro Corrales,SJ,M,28,26,2354,3,9,38,16,0/0,7.9,42.1
Brian McBride,CLB,F,14,14,1239,5,5,37,14,1/1,13.5,37.8
Manny Lagos,SJ,M,26,20,1683,3,4,37,16,0/0,8.1,43.2
Dante Washington,CLB,F,21,12,1122,6,2,36,19,0/0,16.7,52.8
Dario Fabbro,KC,F,16,16,1116,6,3,35,19,1/2,17.1,54.3
Chris Brown,KC,M-F,28,14,1512,4,3,35,17,0/0,11.4,48.6
Diego Serna,MET,F,13,10,944,2,4,34,14,0/0,5.9,41.2
Chris Klein,KC,M,25,25,2171,7,5,34,17,0/0,20.6,50.0
Daniel Hernandez,MET,M,28,25,2301,3,3,34,9,0/0,8.8,26.5
Brian West,CLB,M-F,24,22,1944,1,8,32,11,0/0,3.1,34.4
Francisco Gomez,KC,M,20,13,1249,0,4,31,8,0/0,0.0,25.8
Cobi Jones,LA,M,19,18,1638,3,13,31,21,0/0,9.7,67.7
Stephen Armstrong,KC,M,26,15,1791,3,6,31,14,0/0,9.7,45.2
Oscar Pareja,DAL,M,24,23,2000,1,6,31,15,0/0,3.2,48.4
Josh Wolff,CHI,F,14,14,1223,5,5,30,12,0/1,16.7,40.0
Jorge Rodriguez,DAL,M-D,22,17,1693,4,2,30,13,3/3,13.3,43.3
Jaime Moreno,DC,F,16,14,1157,3,4,29,13,1/3,10.3,44.8
Ross Paule,MET,M,26,26,2207,2,2,29,11,1/1,6.9,37.9
Brian Maisonneuve,CLB,M,26,26,2238,1,6,29,9,0/0,3.4,31.0
Kyle Martino,CLB,M,22,15,1455,2,5,28,11,1/1,7.1,39.3
Steve Ralston,NE,M,27,27,2460,5,19,27,13,0/0,18.5,48.1
DaMarcus Beasley,HOU,D,19,19,1719,3,4,26,12,0/0,11.5,46.2
Mauricio Cienfuegos,LA,M,23,22,1879,2,8,26,13,0/1,7.7,50.0
Marco Etcheverry,DC,M,24,23,2146,3,8,26,12,0/1,11.5,46.2
Ali Curtis,DC,F,20,6,806,5,1,25,12,0/0,20.0,48.0
Diego Gutierrez,KC,D,22,21,1914,1,3,25,4,0/0,4.0,16.0
Sasha Victorine,LA,M,25,22,1985,2,5,25,8,0/0,8.0,32.0
Alexi Lalas,LA,D,26,26,2364,4,4,25,16,0/0,16.0,64.0
Chris Albright,LA,D,15,9,814,0,1,24,12,0/0,0.0,50.0
Santino Quaranta,DC,M-F,11,11,949,3,4,24,11,0/0,12.5,45.8
Eric Quill,KC,F,16,13,992,0,1,24,10,0/0,0.0,41.7
Antonio Martinez,DAL,F-M,26,19,1774,4,10,24,9,0/0,16.7,37.5
Chad Deering,DAL,M,27,22,2168,1,4,24,4,0/0,4.2,16.7
Brian Mullan,LA,D,21,10,1019,3,2,23,13,0/0,13.0,56.5
Peter Nowak,CHI,M,16,16,1377,3,4,23,9,0/0,13.0,39.1
Jay Heaps,NE,D,27,26,2389,2,6,23,13,0/0,8.7,56.5
Brad Davis,MET,M,24,12,1246,4,3,22,10,0/0,18.2,45.5
Richard Mulrooney,SJ,M,26,26,2312,1,8,22,5,0/0,4.5,22.7
John Wilmar Perez,CLB,M,20,13,1256,1,4,21,6,0/0,4.8,28.6
