Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,Sv%
Tim Howard,COL,GK,27,27,2463,195,140,44,1.63,2/4,71.8
Nick Rimando,RSL,GK,28,28,2588,183,131,40,1.43,5/6,71.6
Zach Thornton,CHI,GK,27,27,2483,164,124,34,1.26,3/3,75.6
Matt Jordan,DAL,GK,27,27,2511,158,109,42,1.56,5/6,69.0
Joe Cannon,SJ,GK,26,26,2375,136,100,29,1.12,4/5,73.5
Kevin Hartman,LA,GK,18,18,1648,108,83,20,1.11,2/3,76.9
Tom Presthus,CLB,GK,15,15,1365,103,73,28,1.87,2/3,70.9
Adin Brown,NE,GK,16,16,1460,102,72,20,1.25,2/3,70.6
Tony Meola,KC,GK,17,17,1519,88,65,21,1.24,0/2,73.9
Jon Busch,CLB,GK,14,13,1236,80,63,15,1.15,0/2,78.8
Scott Garlick,COL,GK,15,15,1374,92,61,24,1.6,1/1,66.3
Bo Oshoniyi,KC,GK,13,11,1096,80,55,24,2.18,1/2,68.8
Juergen Sommer,NE,GK,12,12,1090,87,53,29,2.42,1/1,60.9
David Kramer,COL,GK,13,13,1195,75,49,24,1.85,2/3,65.3
Matt Reis,LA,GK,11,10,929,47,33,13,1.3,1/1,70.2
Jon Conway,SJ,GK,3,2,181,17,11,6,3.0,1/1,64.7
D.J. Countess,DAL,GK,1,1,100,7,6,1,1.0,0/0,85.7
Paul Grafer,MET,GK,2,1,91,7,3,3,3.0,1/1,42.9
Henry Ring,CHI,GK,1,1,90,7,3,4,4.0,0/0,42.9
Jeff Cassar,MET,GK,0,0,0,0,0,0,0.0,0/0,0.0
Taly Goode,KC,GK,0,0,0,0,0,0,0.0,0/0,0.0
Greg Sutton,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Rich Cullen,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Bryheem Hancock,DAL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Jon Lowery,COL,GK,0,0,0,0,0,0,0.0,0/0,0.0
Josh Lynk,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Mike McGinty,DC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Matt Napoleon,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Dan Sirota,LA,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Dmitri Strunkin,NE,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Michael Ueltschey,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Scott Vallow,DAL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Chris Wanamaker,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0
Mike Ammann,nan,GK,nan,nan,nan,nan,nan,nan,nan,/,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
