Player,Club,POS,GP,GS,MINS,GA,GAA,PKG/A,W,L,T,ShO,W%
Joe Cannon,SJ,GK,26,26,2375,29,1.12,4/5,13,10,3,8,50.0
Zach Thornton,CHI,GK,27,27,2483,34,1.26,3/3,10,13,4,7,37.0
Nick Rimando,RSL,GK,28,28,2588,40,1.43,5/6,9,14,5,7,32.1
Jon Busch,CLB,GK,14,13,1236,15,1.15,0/2,8,3,2,5,57.1
Adin Brown,NE,GK,16,16,1460,20,1.25,2/3,9,6,1,5,56.3
Kevin Hartman,LA,GK,18,18,1648,20,1.11,2/3,11,6,1,5,61.1
Scott Garlick,COL,GK,15,15,1374,24,1.6,1/1,6,7,2,4,40.0
Tim Howard,COL,GK,27,27,2463,44,1.63,2/4,11,14,2,4,40.7
Tony Meola,KC,GK,17,17,1519,21,1.24,0/2,6,5,5,3,35.3
Matt Jordan,DAL,GK,27,27,2511,42,1.56,5/6,12,9,6,3,44.4
Matt Reis,LA,GK,11,10,929,13,1.3,1/1,5,3,2,2,45.5
Juergen Sommer,NE,GK,12,12,1090,29,2.42,1/1,3,8,1,2,25.0
David Kramer,COL,GK,13,13,1195,24,1.85,2/3,7,4,2,2,53.8
Tom Presthus,CLB,GK,15,15,1365,28,1.87,2/3,3,9,3,2,20.0
Bo Oshoniyi,KC,GK,13,11,1096,24,2.18,1/2,3,5,4,1,23.1
Taly Goode,KC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jeff Cassar,MET,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Jon Lowery,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Josh Lynk,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Mike McGinty,DC,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Matt Napoleon,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Dan Sirota,LA,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Dmitri Strunkin,NE,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Michael Ueltschey,COL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Scott Vallow,DAL,GK,0,0,0,0,0.0,0/0,0,0,0,0,0.0
Chris Wanamaker,CLB,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Greg Sutton,DAL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Rich Cullen,COL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Bryheem Hancock,DAL,GK,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0,0.0
Henry Ring,CHI,GK,1.0,1.0,90.0,4.0,4.0,0/0,1.0,0.0,0.0,0.0,100.0
D.J. Countess,DAL,GK,1.0,1.0,100.0,1.0,1.0,0/0,0.0,0.0,1.0,0.0,0.0
Paul Grafer,MET,GK,2.0,1.0,91.0,3.0,3.0,1/1,0.0,1.0,0.0,0.0,0.0
Jon Conway,SJ,GK,3.0,2.0,181.0,6.0,3.0,1/1,1.0,1.0,0.0,0.0,33.3
Mike Ammann,nan,GK,nan,nan,nan,nan,nan,/,nan,nan,nan,nan,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
