Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Steve Ralston,NE,M,27,27,19,5,6,13,0.7
Carlos Valderrama,COL,M,27,27,16,6,10,6,0.58
Andy Williams,MET,M,24,19,15,4,9,6,0.74
Cobi Jones,LA,M,19,18,13,4,10,3,0.71
Antonio Martinez,DAL,F-M,26,19,10,2,7,3,0.51
Preki,KC,M,25,24,10,2,5,5,0.42
Simon Elliott,LA,M,26,26,10,5,6,4,0.38
Mark Chung,COL,M,27,27,10,2,6,4,0.37
Joselito Vaca,DAL,M,25,23,9,4,3,6,0.4
Ramiro Corrales,SJ,M,28,26,9,3,7,2,0.34
Dwayne De Rosario,SJ,M,27,18,8,4,7,1,0.44
Mauricio Cienfuegos,LA,M,23,22,8,3,3,5,0.38
Brian West,CLB,M-F,24,22,8,2,3,5,0.37
Petter Villegas,DC,M,25,21,8,1,6,2,0.37
Dema Kovalenko,CHI,M,23,23,8,3,5,3,0.35
Ezra Hendrickson,LA,D,23,23,8,1,6,2,0.35
Ante Razov,CHI,F,25,24,8,4,4,4,0.34
Marco Etcheverry,DC,M,24,23,8,3,6,2,0.34
Richard Mulrooney,SJ,M,26,26,8,2,3,5,0.31
Ronnie Ekelund,SJ,M,27,27,8,2,6,2,0.31
Chris Henderson,COL,M,28,28,7,2,4,3,0.26
Jesse Marsch,CHI,M,28,28,7,1,2,5,0.25
Ronald Cerritos,DAL,F,23,11,6,3,4,2,0.45
Brian Kamler,MET,M,24,20,6,2,4,2,0.32
Bobby Rhine,DAL,M,27,19,6,1,3,3,0.32
Stephen Armstrong,KC,M,26,15,6,2,4,2,0.3
Ted Chronopoulos,MET,D,23,21,6,1,4,2,0.29
Oscar Pareja,DAL,M,24,23,6,4,4,2,0.27
Brian Maisonneuve,CLB,M,26,26,6,3,4,2,0.24
Jay Heaps,NE,D,27,26,6,0,2,4,0.23
Taylor Twellman,NE,F,28,26,6,1,3,3,0.22
Wade Barrett,SJ,D,28,28,6,3,5,1,0.21
Raul Palacios,COL,M,16,8,5,3,5,0,0.54
Josh Wolff,CHI,F,14,14,5,2,3,2,0.37
Brian McBride,CLB,F,14,14,5,1,2,3,0.36
Edson Buddle,CLB,F,21,13,5,1,1,4,0.35
Kyle Martino,CLB,M,22,15,5,1,3,2,0.31
Igor Simutenkov,KC,M-F,19,17,5,1,1,4,0.3
Mamadou Diallo,MET,F,24,21,5,2,2,3,0.28
Kelly Gray,CHI,D-M,25,20,5,2,3,2,0.25
Chris Carrieri,COL,F,25,18,5,1,5,0,0.25
Tyrone Marshall,LA,D,24,19,5,1,2,3,0.24
Jeff Cunningham,CLB,F,27,21,5,3,2,3,0.23
Sasha Victorine,LA,M,25,22,5,1,3,2,0.23
Joe Franchino,NE,M,23,23,5,1,3,2,0.22
Chris Klein,KC,M,25,25,5,1,5,0,0.21
Rodrigo Faria,MET,F,28,25,5,3,3,2,0.2
Ariel Graziani,SJ,F,28,26,5,1,3,2,0.2
Gavin Glinton,LA,F,22,6,4,0,3,1,0.46
Diego Serna,MET,F,13,10,4,0,4,0,0.38
Santino Quaranta,DC,M-F,11,11,4,0,3,1,0.38
John Spencer,COL,F,16,13,4,0,2,2,0.31
Jaime Moreno,DC,F,16,14,4,1,4,0,0.31
Francisco Gomez,KC,M,20,13,4,2,3,1,0.29
John Wilmar Perez,CLB,M,20,13,4,1,1,3,0.29
Peter Nowak,CHI,M,16,16,4,1,3,1,0.26
Duncan Oughton,CLB,D,20,17,4,0,3,1,0.22
Manny Lagos,SJ,M,26,20,4,1,2,2,0.21
DaMarcus Beasley,HOU,D,19,19,4,1,3,1,0.21
Eric Denton,CLB,D,23,22,4,1,1,3,0.19
Chad Deering,DAL,M,27,22,4,2,2,2,0.17
Jason Kreis,DAL,M,27,26,4,2,3,1,0.16
Paul Broome,DAL,M,25,25,4,1,2,2,0.16
Alexi Lalas,LA,D,26,26,4,1,2,2,0.15
Ian Fuller,NE,F,11,5,3,2,2,1,0.61
Hristo Stoitchkov,CHI,F,16,6,3,2,2,1,0.39
Tab Ramos,MET,M,14,12,3,0,2,1,0.29
Dario Fabbro,KC,F,16,16,3,0,1,2,0.24
Brad Davis,MET,M,24,12,3,1,2,1,0.22
Pablo Mastroeni,COL,M,15,15,3,1,2,1,0.2
Peter Vagenas,LA,M,17,16,3,1,1,2,0.19
Jeff Moore,MET,M,18,17,3,1,1,2,0.18
Chris Brown,KC,M-F,28,14,3,0,2,1,0.18
Ryan Nelsen,DC,D,20,17,3,0,3,0,0.17
Landon Donovan,SJ,M-F,20,18,3,2,3,0,0.16
Jeff Stewart,COL,D,23,20,3,2,3,0,0.16
Diego Gutierrez,KC,D,22,21,3,2,3,0,0.14
C.J. Brown,CHI,D,24,24,3,0,1,2,0.13
Bobby Convey,DC,M,26,25,3,2,3,0,0.12
Jimmy Conrad,SJ,D,25,25,3,1,2,1,0.12
Carlos Bocanegra,CHI,D,26,26,3,0,2,1,0.12
Daniel Hernandez,MET,M,28,25,3,0,2,1,0.12
Richie Williams,DC,M,26,25,3,1,2,1,0.12
Freddy Garcia,CLB,M,5,1,2,0,0,2,0.84
Robert Warzycha,CLB,M,15,3,2,1,1,1,0.36
Ronnie O'Brien,DAL,M,11,4,2,0,1,1,0.36
