day,date,home_team,result,away_team
Saturday,March 23,Columbus,0-2,CHI
Saturday,March 30,D.C. United,2-0,CHI
Saturday,April 6,LA Galaxy,2-1,CHI
Saturday,April 20,NY Red Bulls,0-2,CHI
Saturday,April 27,CHI,2-2,New England
Saturday,May 4,D.C. United,0-3,CHI
Saturday,May 11,CHI,0-1,LA Galaxy
Sunday,May 19,New England,1-3,CHI
Sunday,May 26,CHI,1-1,San Jose
Sunday,June 2,CHI,5-4,Columbus
Saturday,June 8,LA Galaxy,1-0,CHI
Saturday,June 15,CHI,1-3,FC Dallas
Saturday,June 22,CHI,0-1,NY Red Bulls
Thursday,July 4,Colorado,3-2,CHI
Sunday,July 7,CHI,2-1,Colorado
Saturday,July 13,NY Red Bulls,2-3,CHI
Saturday,July 20,CHI,0-0,D.C. United
Wednesday,July 24,San Jose,1-0,CHI
Saturday,July 27,CHI,3-0,NY Red Bulls
Wednesday,July 31,CHI,0-0,D.C. United
Saturday,August 10,FC Dallas,3-1,CHI
Wednesday,August 14,CHI,5-1,Sporting KC
Sunday,August 18,New England,0-2,CHI
Saturday,August 24,CHI,1-2,New England
Saturday,August 31,Sporting KC,2-1,CHI
Saturday,September 7,CHI,1-2,LA Galaxy
Saturday,September 14,Columbus,2-0,CHI
Sunday,September 22,CHI,2-1,Columbus
