Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,,,,,
SP1,28/08/04,Ath Madrid,Malaga,2,0,H,1,0,H,1.72,3.25,4.33,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.25,4.2,1.72,3.2,4.33,1.85,1.85,2.05,1.75,1.85,1.85,-0.5,1.82,2.02,-0.5,1.8,2.1,-0.5,,,,,
SP1,28/08/04,Espanol,La Coruna,1,1,D,1,0,H,2.87,3.2,2.4,3.4,3.25,2,3,3.3,2.25,2.9,3,2.2,2.6,3.2,2.38,3,3.2,2.2,2.62,3.1,2.37,1.9,1.79,2.05,1.75,1.77,2.1,0.25,1.76,2.08,0.25,1.8,2.1,0.25,,,,,
SP1,28/08/04,Numancia,Betis,1,1,D,1,1,D,2.5,3.2,2.5,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5,1.95,1.75,2.1,1.7,1.95,1.9,0,2.02,1.82,0,2,1.9,0,,,,,
SP1,29/08/04,Mallorca,Real Madrid,0,1,A,0,0,D,5,3.4,1.72,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,4.33,3.4,1.73,4.2,3.25,1.72,1.71,2,1.75,2.05,1.95,1.9,0.75,1.9,1.94,0.75,1.95,1.95,0.75,,,,,
SP1,29/08/04,Osasuna,Ath Bilbao,1,1,D,1,1,D,2.3,3.2,2.7,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.1,2.75,2.3,3.1,2.75,2,1.71,2.05,1.75,1.8,2.05,0,2.1,1.74,-0.25,2.125,1.775,-0.25,,,,,
SP1,29/08/04,Santander,Barcelona,0,2,A,0,0,D,5,3.4,1.72,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,4.33,3.4,1.73,3.8,3.25,1.8,1.75,1.95,1.85,1.95,1.95,1.9,0.75,1.92,1.92,0.75,2,1.9,0.75,,,,,
SP1,29/08/04,Sevilla,Albacete,1,0,H,0,0,D,1.66,3.4,4.5,1.7,3.4,4.5,1.72,3.4,5,1.75,3.2,4,1.62,3.25,5,1.67,3.4,4.75,1.6,3.4,4.8,1.9,1.79,2.1,1.7,1.8,2.05,-0.75,1.76,2.08,-0.75,1.8,2.1,-0.75,,,,,
SP1,29/08/04,Sociedad,Levante,1,1,D,0,1,A,1.72,3.25,4.33,1.7,3.4,4.5,1.73,3.3,5,1.7,3.1,4.4,1.67,3.25,4.5,1.67,3.4,4.75,1.61,3.1,5.5,1.9,1.79,2,1.8,2.1,1.77,-0.75,2.12,1.72,-0.75,2.15,1.75,-0.75,,,,,
SP1,29/08/04,Zaragoza,Getafe,3,1,H,1,1,D,1.72,3.25,4.33,1.85,3.25,4,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5,1.73,3.4,4.33,1.72,3.2,4.33,1.9,1.79,2.1,1.7,2,1.85,-0.75,,,,,,,,,,,
SP1,30/08/04,Valencia,Villarreal,2,1,H,2,0,H,1.61,3.4,5,1.45,3.75,7,1.63,3.3,6,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.6,6,,,,1.9,1.79,1.9,1.9,1.85,2,-0.75,1.9,1.94,-0.75,1.925,1.975,-0.75,,,,,
SP1,11/09/04,Ath Bilbao,Valencia,2,2,D,2,0,H,2.7,3.2,2.3,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3,2.5,2.6,3.2,2.375,2.8,3.1,2.37,2.5,3.1,2.5,2,1.71,2.05,1.75,2.3,1.55,-0.25,2.1,1.74,0,2.1,1.8,0,,,,,
SP1,11/09/04,Barcelona,Sevilla,2,0,H,1,0,H,1.444,4,7.5,1.4,4,7.25,1.45,4,7.25,1.4,3.7,6.5,1.364,3.75,8,1.44,3.75,7,1.4,3.6,7.5,1.65,2.05,1.75,2.05,1.75,2,-1,1.72,2.12,-1,2.1,1.8,-1.25,,,,,
SP1,11/09/04,Real Madrid,Numancia,1,0,H,1,0,H,1.2,6,13,1.2,5.5,11.5,1.2,5.9,13,1.2,5,10,1.2,5,11,1.2,5.5,12,1.2,5,11,1.4,2.65,1.53,2.4,1.8,1.95,-2,1.9,1.94,-2,2.15,1.75,0,,,,,
SP1,12/09/04,Albacete,Ath Madrid,0,2,A,0,0,D,2.75,3.2,2.5,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3,2.5,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5,2,1.71,2.1,1.7,2.3,1.55,-0.25,2.04,1.8,0,2.075,1.825,0,,,,,
